NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
9,B. Sajonia,,16:02,18,5-9,55.6,2-4,50,3-5,60,5-7,71.4,3,2,5,2,2,0,1,0,10,27
8,J. Bonzalida,,10:10,7,3-5,60,2-2,100,1-3,33.3,0-0,0,0,1,1,0,1,1,0,2,2,-6
1,J. Puno,,19:25,6,1-5,20,0-4,0,1-1,100,3-4,75,1,8,9,2,2,2,0,0,2,28
27,M. Songcuya,,14:54,5,1-4,25,1-4,25,0-0,0,3-4,75,2,4,6,2,1,0,2,3,3,1
0,Z. Estacio,,13:11,3,1-3,33.3,1-1,100,0-2,0,1-2,50,0,3,3,2,0,0,0,1,2,11
10,R. Jalbuena,,09:41,2,1-2,50,1-2,50,0-0,0,0-2,0,1,1,2,1,2,0,0,3,2,9
77,J. Royo,,08:44,2,1-1,100,1-1,100,0-0,0,0-0,0,0,2,2,0,2,0,0,0,0,4
3,R. Calimag,,08:34,0,0-2,0,0-1,0,0-1,0,0-0,0,1,0,1,0,0,0,0,1,0,-18
4,O. Tagle,,06:17,0,0-5,0,0-1,0,0-4,0,0-0,0,0,0,0,0,1,0,0,1,0,-11
2,K. Culdora,,02:55,0,0-1,0,0-0,0,0-1,0,0-2,0,0,0,0,0,0,0,0,1,1,-5
,starters ,,,,,,,,,,,,,,,,,,,,,
21,Y. Andrada,,25:50,13,5-8,62.5,2-3,66.7,3-5,60,0-0,0,2,4,6,1,1,0,0,2,0,13
18,J. Payosing,,18:19,8,4-6,66.7,4-5,80,0-1,0,0-0,0,2,2,4,3,0,1,1,1,0,14
13,RC. Calimag,,15:43,8,3-6,50,1-2,50,2-4,50,0-0,0,0,2,2,2,0,0,0,4,0,2
12,N. Gonzales,,17:44,5,2-5,40,1-4,25,1-1,100,0-0,0,2,6,8,3,3,0,0,1,3,4
33,D. Celzo,,12:24,2,1-2,50,1-2,50,0-0,0,0-0,0,1,2,3,0,0,1,1,2,0,7
,,,,,,,,,,,,,,,,,,,,,,
7,M. Guadana,,29:46,22,8-15,53.3,7-8,87.5,1-7,14.3,5-7,71.4,1,8,9,1,3,1,0,2,7,-2
3,J. Barba,,31:31,13,4-11,36.4,2-6,33.3,2-5,40,3-4,75,1,2,3,1,1,1,0,0,2,-7
13,G. Montano,,19:19,5,1-9,11.1,0-3,0,1-6,16.7,2-2,100,1,1,2,1,0,0,0,3,3,4
18,V. Cunanan,,22:06,3,1-4,25,0-0,0,1-4,25,0-0,0,1,1,2,2,1,1,0,2,1,-23
15,G. Aviles,,13:03,2,1-2,50,1-2,50,0-0,0,0-0,0,0,0,0,0,0,0,0,2,1,-15
,bench ,,,,,,,,,,,,,,,,,,,,,
20,R. Villegas,,18:04,8,2-7,28.6,1-5,20,1-2,50,3-4,75,0,4,4,1,1,0,0,1,2,6
26,J. Bravo,,14:01,5,1-10,10,1-6,16.7,0-4,0,3-4,75,2,3,5,0,3,0,0,4,2,-9
12,N. Moralejo,,04:32,2,1-1,100,1-1,100,0-0,0,0-1,0,0,1,1,0,0,0,0,2,1,0
10,L. Pallingayan,,01:36,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,4
14,J. Panelo,,13:46,1,0-2,0,0-2,0,0-0,0,1-2,50,3,4,7,1,0,1,0,0,2,4
4,D. Paulo,,08:26,0,0-1,0,0-1,0,0-0,0,0-2,0,1,0,1,1,0,0,0,0,1,-6
22,O. Gordon,,09:48,0,0-2,0,0-2,0,0-0,0,0-0,0,1,1,2,0,1,2,0,2,0,-15
17,S. Penafiel,,08:57,0,0-2,0,0-1,0,0-1,0,0-0,0,0,1,1,0,0,0,0,3,0,-18
11,K. Caduyac,,01:28,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,2,0,-5
