NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
0,C. Escamis,,33:04,16,6-17,35.3,4-8,50,2-9,22.2,2-3,66.7,0,3,3,2,3,4,0,1,4,-16
12,L. Mangubat,,19:46,9,3-8,37.5,2-4,50,1-4,25,2-2,100,1,4,5,2,1,1,0,2,2,-6
72,C. Hubilla,,20:06,9,3-6,50,3-5,60,0-1,0,3-5,60,1,1,2,1,1,0,0,3,4,-5
1,M. Igliane,,16:06,2,1-3,33.3,1-1,100,0-2,0,0-0,0,1,2,3,1,1,0,0,4,1,-3
5,J. Recto,,17:25,0,0-1,0,0-1,0,0-0,0,0-0,0,0,4,4,2,3,3,1,3,1,-1
,bench ,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,27:21,9,3-10,30,1-4,25,2-6,33.3,1-2,50,1,1,2,3,3,1,0,3,1,-16
7,J. Jabonete,,17:37,5,2-7,28.6,1-3,33.3,1-4,25,0-0,0,1,2,3,1,1,2,0,1,0,-12
2,N. Agemenyi,,12:21,5,2-4,50,2-3,66.7,0-1,0,1-2,50,2,2,4,0,1,0,0,2,1,1
35,E. Ryan,,11:12,4,2-5,40,2-4,50,0-1,0,0-0,0,3,2,5,1,0,0,1,0,0,-7
11,A. Fermin,,06:01,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,4
3,S. Abdulla,,03:50,2,1-2,50,1-2,50,0-0,0,0-0,0,0,0,0,0,0,1,0,0,0,-2
6,J. Garcia,,06:47,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,1,1,0,0,0,0,-1
18,J. Bancale,,06:45,0,0-3,0,0-2,0,0-1,0,0-0,0,1,1,2,0,1,0,0,0,1,0
34,Y. Concepcion,,01:33,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-1
,,,,,,,,,,,,,,,,,,,,,,
34,A. Liwag,,33:04,23,9-14,64.3,9-14,64.3,0-0,0,5-6,83.3,3,15,18,1,5,0,3,1,6,16
39,W. Ynot,,31:03,9,4-9,44.4,4-8,50,0-1,0,1-3,33.3,0,5,5,8,3,4,0,2,2,18
17,J. Ancheta,,20:16,9,3-7,42.9,2-4,50,1-3,33.3,2-2,100,1,0,1,0,2,2,0,3,3,11
20,J. Sanchez,,26:53,6,1-5,20,1-4,25,0-1,0,4-4,100,2,4,6,1,3,0,2,2,4,6
22,J. Eusebio,,07:40,3,1-4,25,1-2,50,0-2,0,1-2,50,2,1,3,0,0,0,0,2,1,-3
,bench ,,,,,,,,,,,,,,,,,,,,,
72,G. Cometa,,20:54,17,8-17,47.1,7-11,63.6,1-6,16.7,0-0,0,1,3,4,2,2,1,0,0,1,17
9,M. Sangco,,20:21,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,0,4,4,1,1,1,0,1,1,11
6,J. Morales,,11:32,3,1-3,33.3,0-1,0,1-2,50,0-0,0,0,0,0,0,1,1,0,2,1,1
11,J. Cajucom,,09:17,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,1,0,0,0,2,1,-2
13,I. Torres,,11:06,2,1-4,25,1-2,50,0-2,0,0-0,0,1,2,3,0,2,1,0,0,0,-2
8,A. Turco,,04:49,0,0-1,0,0-1,0,0-0,0,0-0,0,1,1,2,0,0,0,0,0,1,-5
14,R. Ondoa,,02:51,0,0-0,0,0-0,0,0-0,0,0-0,0,1,0,1,0,1,0,0,0,0,-3
63,E. Serrano,,00:07,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
