NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
4,L. Capulong,,20:42,18,7-13,53.8,6-11,54.5,1-2,50,3-5,60,2,11,13,2,0,1,0,5,6,7
5,T. Valencia,,37:10,16,6-17,35.3,5-13,38.5,1-4,25,3-6,50,1,4,5,1,1,0,0,1,5,0
14,M. Vinoya,,31:54,13,6-14,42.9,6-11,54.5,0-3,0,1-3,33.3,1,10,11,1,4,0,0,2,2,-4
1,J. Ongotan,,33:59,10,4-18,22.2,4-16,25,0-2,0,2-3,66.7,2,1,3,1,0,1,0,1,3,0
16,A. De Leon,,11:41,4,1-1,100,0-0,0,1-1,100,1-2,50,0,2,2,3,1,0,0,0,2,2
,bench ,,,,,,,,,,,,,,,,,,,,,
42,C. Hernal,,20:27,5,2-5,40,2-4,50,0-1,0,1-4,25,3,7,10,2,1,1,0,2,3,-3
13,A. Acop,,07:01,5,2-3,66.7,2-2,100,0-1,0,1-2,50,1,0,1,1,0,0,0,1,2,-8
9,J. Camay,,17:26,5,2-3,66.7,1-1,100,1-2,50,0-0,0,0,0,0,0,0,1,0,4,1,9
47,X. Estacio,,08:43,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,1,0,1,0,0,0,0,1,0,2
10,W. Miller,,04:45,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,0,0,0,0,1,0,1,0,-2
25,G. Borromeo,,13:24,0,0-3,0,0-1,0,0-2,0,0-2,0,1,3,4,1,1,0,0,5,1,-11
45,J. Espiritu,,04:14,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,1,0,0,0,1,0,-4
24,J. Dela Cruz,,01:43,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,1,0,0,1,0,-5
41,J. Libang,,08:01,0,0-3,0,0-3,0,0-0,0,0-2,0,2,4,6,0,1,2,0,2,1,-10
3,E. Geronimo,,03:44,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-8
,,,,,,,,,,,,,,,,,,,,,,
3,K. Gurtiza,,28:27,18,7-18,38.9,4-11,36.4,3-7,42.9,1-3,33.3,2,2,4,3,1,0,1,1,2,-3
9,H. Pagsanjan,,29:46,13,6-14,42.9,6-11,54.5,0-3,0,1-2,50,1,8,9,3,2,0,1,3,2,14
61,A. Doromal,,21:45,8,2-11,18.2,2-8,25,0-3,0,4-5,80,0,0,0,5,1,1,0,1,4,3
8,J. Luciano,,19:24,0,0-2,0,0-2,0,0-0,0,0-0,0,2,5,7,1,1,1,0,2,2,-14
15,E. Umpad,,09:17,0,0-1,0,0-1,0,0-0,0,0-0,0,2,2,4,0,2,0,2,2,1,0
,bench ,,,,,,,,,,,,,,,,,,,,,
71,N. Lucero,,17:03,11,2-6,33.3,2-6,33.3,0-0,0,7-10,70,0,2,2,3,0,0,0,4,8,-3
14,G. Quinal,,16:44,9,3-11,27.3,0-4,0,3-7,42.9,0-0,0,0,3,3,2,1,0,0,2,0,15
91,W. Oftana,,22:50,9,3-6,50,0-0,0,3-6,50,0-0,0,0,5,5,0,0,1,4,3,0,16
88,N. Ochavo,,12:41,7,1-5,20,0-2,0,1-3,33.3,4-6,66.7,1,1,2,4,0,1,0,0,5,6
28,G. Loristo,,25:28,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,0,4,4,0,1,0,3,3,0,9
10,J. Manacho,,03:37,4,2-2,100,2-2,100,0-0,0,0-0,0,0,2,2,0,1,0,0,1,0,3
12,B. Angeles,,04:01,2,1-2,50,1-1,100,0-1,0,0-0,0,0,2,2,1,0,0,0,2,0,-3
81,P. Bagay,,06:35,2,1-2,50,1-2,50,0-0,0,0-2,0,0,0,0,0,0,0,0,1,2,-2
13,J. Bacud,,07:15,0,0-0,0,0-0,0,0-0,0,0-0,0,0,4,4,0,0,0,0,2,0,-6
