NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
91,J. Boral,,21:56,17,6-12,50,6-8,75,0-4,0,5-6,83.3,5,5,10,2,0,0,1,2,3,7
20,E. Pizarro,,17:07,7,3-5,60,3-5,60,0-0,0,1-2,50,1,0,1,1,0,2,0,3,3,7
33,J. Manuel,,16:59,7,3-5,60,3-4,75,0-1,0,1-2,50,0,1,1,1,1,0,0,2,1,-1
25,A. Gelsano,,12:02,5,2-2,100,2-2,100,0-0,0,1-3,33.3,1,3,4,1,2,0,0,3,3,7
13,H. Montemayor,,07:59,3,1-3,33.3,0-1,0,1-2,50,0-0,0,0,0,0,2,2,0,0,3,0,-7
28,R. Cauguiran,,07:30,3,0-3,0,0-3,0,0-0,0,3-4,75,3,4,7,0,1,0,1,2,3,5
12,N. Sevilla,,05:21,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,1,1,0,1,0,0,1,0,-3
7,A. Javier,,00:56,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,0,0,0
77,R. Danag,,00:56,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
17,R. Movida,,01:30,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-1
,starters ,,,,,,,,,,,,,,,,,,,,,
19,M. Gojo Cruz,,23:02,15,5-8,62.5,4-5,80,1-3,33.3,4-4,100,1,4,5,3,0,2,1,1,3,22
8,C. Pagaran,,24:24,11,3-10,30,1-3,33.3,2-7,28.6,3-6,50,0,2,2,1,1,1,1,1,3,9
9,S. Orgo,,22:04,7,3-6,50,2-3,66.7,1-3,33.3,0-0,0,1,1,2,2,2,2,0,2,1,17
14,C. Abis,,24:15,3,1-9,11.1,1-7,14.3,0-2,0,1-2,50,5,1,6,1,2,1,1,1,2,10
21,J. Nunez,,13:52,2,1-1,100,1-1,100,0-0,0,0-0,0,0,3,3,1,0,0,0,5,0,8
,,,,,,,,,,,,,,,,,,,,,,
5,J. Guiab,,27:12,15,3-6,50,3-5,60,0-1,0,9-13,69.2,1,5,6,2,0,2,0,0,8,-17
14,M. Barrera,,26:58,10,4-8,50,3-5,60,1-3,33.3,1-2,50,0,0,0,2,0,0,0,1,1,-9
3,P. Ramos,,10:41,5,1-6,16.7,0-4,0,1-2,50,2-4,50,0,0,0,1,1,0,0,2,3,-12
27,I. Panapanaan,,24:00,4,1-1,100,1-1,100,0-0,0,2-4,50,4,3,7,2,1,1,0,4,2,-9
26,J. Medina,,13:24,1,0-3,0,0-3,0,0-0,0,1-2,50,1,1,2,2,1,0,0,0,2,-3
,bench ,,,,,,,,,,,,,,,,,,,,,
7,J. Pangilinan,,12:17,8,2-3,66.7,1-1,100,1-2,50,3-5,60,1,0,1,1,2,0,0,0,3,1
94,J. Lozano,,12:08,7,3-5,60,2-3,66.7,1-2,50,0-0,0,0,3,3,0,0,0,0,3,0,-14
9,S. Argente,,10:05,5,2-5,40,1-3,33.3,1-2,50,0-0,0,1,2,3,1,1,1,0,0,0,0
8,W. De Leon,,08:13,4,1-1,100,1-1,100,0-0,0,2-2,100,0,1,1,0,2,0,0,2,1,1
17,R. Samontanes,,12:47,3,1-5,20,0-1,0,1-4,25,0-0,0,1,1,2,3,2,1,0,0,0,-1
31,M. Raymundo,,19:28,2,1-8,12.5,1-8,12.5,0-0,0,0-0,0,2,2,4,1,3,2,1,3,2,-15
1,S. Mosqueda,,02:53,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,1,1,0,0,0,0,0,0,3
21,L. Benitez,,12:25,0,0-0,0,0-0,0,0-0,0,0-0,0,0,2,2,0,1,0,2,5,1,-6
16,V. Sarmiento,,04:15,0,0-1,0,0-1,0,0-0,0,0-2,0,0,1,1,0,2,0,0,2,3,-1
55,C. Ferrer,,03:08,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,2
