NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
17,J. Ancheta,,27:20,14,5-12,41.7,3-7,42.9,2-5,40,2-3,66.7,0,2,2,5,1,0,0,2,6,9
39,W. Ynot,,33:33,13,5-16,31.3,2-4,50,3-12,25,0-0,0,2,5,7,5,3,1,0,2,2,9
34,A. Liwag,,39:27,12,6-11,54.5,6-11,54.5,0-0,0,0-4,0,3,11,14,2,0,0,3,5,5,9
9,M. Sangco,,29:48,7,3-4,75,2-3,66.7,1-1,100,0-0,0,3,3,6,2,1,0,0,0,0,10
0,M. Oli,,07:57,5,1-3,33.3,1-1,100,0-2,0,3-4,75,3,0,3,0,0,0,0,2,2,4
,bench ,,,,,,,,,,,,,,,,,,,,,
72,G. Cometa,,21:08,6,2-6,33.3,2-4,50,0-2,0,2-4,50,2,0,2,2,1,0,0,1,2,-1
13,I. Torres,,10:34,4,2-3,66.7,2-2,100,0-1,0,0-0,0,0,0,0,1,0,0,0,1,1,-3
6,J. Morales,,07:54,4,1-3,33.3,0-0,0,1-3,33.3,1-2,50,2,2,4,0,0,0,0,2,1,3
20,J. Sanchez,,14:27,3,1-4,25,1-2,50,0-2,0,1-2,50,0,2,2,0,2,1,0,3,1,-10
22,J. Eusebio,,11:33,2,1-6,16.7,1-3,33.3,0-3,0,0-0,0,0,2,2,0,0,1,0,2,0,-8
11,J. Cajucom,,16:20,0,0-2,0,0-1,0,0-1,0,0-0,0,1,2,3,0,0,1,0,1,1,7
8,A. Turco,,04:55,0,0-1,0,0-1,0,0-0,0,0-2,0,0,0,0,0,0,0,1,0,1,-4
,,,,,,,,,,,,,,,,,,,,,,
9,B. Sajonia,,29:37,19,7-22,31.8,5-14,35.7,2-8,25,3-5,60,1,4,5,3,2,1,0,3,5,4
1,J. Puno,,29:30,7,2-6,33.3,2-5,40,0-1,0,3-5,60,4,7,11,0,1,1,0,1,5,-1
13,RC. Calimag,,13:11,5,2-6,33.3,1-3,33.3,1-3,33.3,0-0,0,0,1,1,0,0,0,1,1,0,6
27,M. Songcuya,,09:27,2,1-2,50,1-1,100,0-1,0,0-0,0,1,1,2,0,0,0,0,3,0,0
77,J. Royo,,12:06,0,0-1,0,0-1,0,0-0,0,0-0,0,1,0,1,2,1,0,1,3,1,-6
8,J. Bonzalida,,03:11,0,0-1,0,0-0,0,0-1,0,0-0,0,0,2,2,0,0,0,0,1,0,-2
0,Z. Estacio,,02:26,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-4
10,R. Jalbuena,,02:46,0,0-1,0,0-0,0,0-1,0,0-2,0,0,0,0,0,0,0,0,1,1,-5
,starters ,,,,,,,,,,,,,,,,,,,,,
21,Y. Andrada,,37:46,13,4-10,40,3-7,42.9,1-3,33.3,4-7,57.1,2,3,5,1,0,0,2,0,5,7
18,J. Payosing,,29:49,10,5-12,41.7,5-9,55.6,0-3,0,0-3,0,5,4,9,0,2,0,0,2,2,-14
12,N. Gonzales,,31:43,6,2-6,33.3,0-2,0,2-4,50,0-0,0,2,2,4,2,3,2,0,4,1,4
33,D. Celzo,,18:47,3,1-2,50,1-2,50,0-0,0,1-2,50,1,2,3,1,0,0,0,3,1,-7
4,O. Tagle,,04:36,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,0,0,0,0,0,0,-7
