NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
4,R. Are,,36:30,25,6-16,37.5,2-7,28.6,4-9,44.4,9-11,81.8,4,4,8,13,1,2,0,2,8,6
11,R. Escobido,,31:40,23,9-18,50,8-12,66.7,1-6,16.7,4-6,66.7,1,2,3,4,2,1,0,4,5,3
18,T. Felebrico,,28:59,14,5-13,38.5,5-11,45.5,0-2,0,4-6,66.7,5,10,15,1,2,1,0,4,5,4
17,R. Gabat,,27:16,6,3-11,27.3,3-4,75,0-7,0,0-0,0,1,3,4,0,0,0,0,3,0,7
13,H. Ricio,,12:28,2,1-1,100,1-1,100,0-0,0,0-0,0,0,1,1,0,1,1,0,4,0,4
,bench ,,,,,,,,,,,,,,,,,,,,,
24,L. Velasco,,17:54,12,4-5,80,4-5,80,0-0,0,4-6,66.7,3,5,8,0,0,1,0,2,4,-12
7,L. Gabat,,10:35,6,2-6,33.3,2-5,40,0-1,0,2-2,100,0,0,0,0,0,0,0,2,2,7
52,A. Aguilar,,13:24,3,1-5,20,0-0,0,1-5,20,0-0,0,1,3,4,1,1,0,0,3,2,-6
25,I. Suico,,07:02,2,1-1,100,1-1,100,0-0,0,0-2,0,2,0,2,0,0,0,0,2,1,-1
26,J. Lintol,,03:02,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,-3
12,M. Pascual,,05:32,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,2,0,0
0,J. Barroga,,03:28,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,3
2,R. Maliwat,,02:05,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,1,-2
,,,,,,,,,,,,,,,,,,,,,,
3,J. Barba,,27:55,25,9-17,52.9,6-10,60,3-7,42.9,4-7,57.1,1,5,6,6,5,1,0,4,6,7
26,J. Bravo,,27:24,13,5-12,41.7,4-6,66.7,1-6,16.7,2-2,100,2,4,6,1,2,0,0,3,3,-11
7,M. Guadana,,28:42,12,3-10,30,1-3,33.3,2-7,28.6,4-5,80,0,0,0,4,0,0,0,2,3,-11
18,V. Cunanan,,23:12,8,3-6,50,3-3,100,0-3,0,2-4,50,4,5,9,5,0,1,1,5,4,2
15,G. Aviles,,04:46,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,1,0,0,3,0,-5
,bench ,,,,,,,,,,,,,,,,,,,,,
12,N. Moralejo,,14:23,10,3-4,75,2-3,66.7,1-1,100,3-3,100,0,2,2,2,0,0,0,1,2,6
13,G. Montano,,20:31,7,2-5,40,1-3,33.3,1-2,50,2-2,100,1,1,2,3,1,1,0,4,1,11
24,J. Daileg,,10:31,6,2-3,66.7,2-2,100,0-1,0,2-2,100,0,6,6,2,2,0,0,2,2,4
20,R. Villegas,,13:41,6,2-4,50,0-2,0,2-2,100,0-0,0,2,1,3,2,1,0,0,2,1,-1
14,J. Panelo,,09:35,5,1-3,33.3,1-3,33.3,0-0,0,3-4,75,0,0,0,0,0,0,0,1,2,3
22,O. Gordon,,09:31,1,0-3,0,0-2,0,0-1,0,1-2,50,0,2,2,1,2,0,0,0,3,-1
17,S. Penafiel,,07:56,0,0-4,0,0-2,0,0-2,0,0-0,0,1,1,2,1,0,0,0,1,1,-9
4,D. Paulo,,01:46,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-5
