NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
9,H. Pagsanjan,,23:25,14,6-13,46.2,6-11,54.5,0-2,0,2-4,50,1,6,7,0,1,0,0,3,3,11
3,K. Gurtiza,,24:30,11,3-11,27.3,1-5,20,2-6,33.3,3-6,50,1,1,2,2,2,2,1,2,4,-13
91,W. Oftana,,20:48,8,2-4,50,1-1,100,1-3,33.3,3-4,75,0,8,8,0,1,2,0,4,2,-2
88,N. Ochavo,,17:22,2,0-4,0,0-3,0,0-1,0,2-2,100,0,1,1,6,2,0,0,2,2,-2
15,E. Umpad,,05:22,0,0-1,0,0-1,0,0-0,0,0-0,0,2,0,2,0,0,0,1,0,2,-6
,bench ,,,,,,,,,,,,,,,,,,,,,
28,G. Loristo,,18:53,6,1-5,20,1-4,25,0-1,0,4-4,100,1,4,5,0,2,0,0,1,3,-2
81,P. Bagay,,05:43,6,2-3,66.7,0-1,0,2-2,100,0-0,0,0,0,0,0,0,0,0,1,0,5
71,N. Lucero,,12:03,5,0-5,0,0-5,0,0-0,0,5-6,83.3,0,1,1,6,3,1,0,3,3,1
13,J. Bacud,,16:13,4,2-2,100,2-2,100,0-0,0,0-0,0,3,4,7,3,0,1,0,0,1,3
61,A. Doromal,,18:58,4,1-8,12.5,0-5,0,1-3,33.3,1-2,50,0,1,1,1,0,1,0,0,3,-2
14,G. Quinal,,14:35,4,2-5,40,2-3,66.7,0-2,0,0-0,0,0,1,1,0,1,0,0,1,0,1
10,J. Manacho,,03:43,1,0-1,0,0-1,0,0-0,0,1-4,25,0,0,0,0,0,0,0,0,2,-4
19,J. Devera,,05:44,1,0-0,0,0-0,0,0-0,0,1-2,50,0,0,0,0,0,0,0,1,1,3
8,J. Luciano,,07:08,0,0-3,0,0-2,0,0-1,0,0-0,0,0,1,1,0,0,0,0,0,1,-11
12,B. Angeles,,05:27,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,1,3
,,,,,,,,,,,,,,,,,,,,,,
12,L. Mangubat,,28:12,15,5-12,41.7,0-1,0,5-11,45.5,0-0,0,0,3,3,0,3,1,0,3,0,12
10,M. Cuenco,,29:32,6,3-8,37.5,3-5,60,0-3,0,0-0,0,3,4,7,3,0,1,0,1,3,9
1,M. Igliane,,20:21,6,1-3,33.3,0-1,0,1-2,50,3-6,50,3,6,9,2,2,0,0,4,3,12
35,E. Ryan,,06:01,1,0-0,0,0-0,0,0-0,0,1-4,25,1,0,1,0,0,0,0,0,2,-3
2,N. Agemenyi,,07:11,0,0-1,0,0-0,0,0-1,0,0-0,0,1,3,4,1,0,0,0,2,0,2
34,Y. Concepcion,,02:13,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,1,0,0,-6
11,A. Fermin,,01:47,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-3
,starters ,,,,,,,,,,,,,,,,,,,,,
5,J. Recto,,15:16,12,5-7,71.4,3-4,75,2-3,66.7,0-2,0,0,1,1,3,0,0,0,4,1,6
0,C. Escamis,,29:47,10,3-16,18.8,2-8,25,1-8,12.5,3-3,100,0,4,4,6,3,3,0,2,3,-5
72,C. Hubilla,,22:05,9,1-8,12.5,1-8,12.5,0-0,0,7-10,70,4,6,10,0,1,0,0,5,5,7
7,J. Jabonete,,13:56,6,3-9,33.3,3-8,37.5,0-1,0,0-0,0,2,4,6,1,1,1,1,4,0,-7
18,J. Bancale,,23:33,4,1-5,20,1-2,50,0-3,0,2-2,100,3,3,6,2,1,1,0,3,1,-9
