NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
9,S. Argente,,20:05,18,6-14,42.9,2-2,100,4-12,33.3,2-2,100,0,3,3,0,1,0,0,3,2,6
7,J. Pangilinan,,15:18,8,3-9,33.3,2-4,50,1-5,20,1-2,50,0,1,1,0,0,0,0,0,2,-6
17,R. Samontanes,,08:41,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,1,1,0,0,1,0,-5
21,L. Benitez,,08:53,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,1,0,2,1,0,-8
8,W. De Leon,,07:11,0,0-2,0,0-2,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,1,-7
19,K. De Jesus,,04:35,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,2,1,-8
26,J. Medina,,04:40,0,0-2,0,0-2,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-6
,starters ,,,,,,,,,,,,,,,,,,,,,
5,J. Guiab,,29:23,12,5-9,55.6,5-8,62.5,0-1,0,2-2,100,2,5,7,2,2,1,0,1,1,7
31,M. Raymundo,,29:39,9,3-15,20,2-12,16.7,1-3,33.3,2-2,100,5,2,7,4,1,2,0,2,3,-4
3,P. Ramos,,19:13,6,1-6,16.7,1-5,20,0-1,0,4-4,100,1,1,2,3,1,2,1,3,4,-5
27,I. Panapanaan,,29:41,5,0-4,0,0-4,0,0-0,0,5-8,62.5,5,0,5,2,1,0,2,4,6,0
14,M. Barrera,,22:36,4,1-6,16.7,1-4,25,0-2,0,2-2,100,2,1,3,1,1,0,0,2,2,-4
,,,,,,,,,,,,,,,,,,,,,,
26,S. Estrada,,32:08,22,9-15,60,9-15,60,0-0,0,4-4,100,1,8,9,2,4,1,1,4,3,6
2,J. Miller,,23:00,16,6-7,85.7,4-4,100,2-3,66.7,2-2,100,0,2,2,5,2,2,0,0,6,3
8,R. Go,,20:10,8,3-4,75,3-4,75,0-0,0,2-2,100,3,0,3,2,0,0,0,3,2,-4
29,V. Cuajao,,22:03,6,2-9,22.2,0-0,0,2-9,22.2,0-0,0,0,0,0,0,0,0,0,2,0,8
19,J. Pradella,,08:04,4,2-2,100,2-2,100,0-0,0,0-0,0,0,1,1,0,0,0,0,1,1,4
91,J. Baliling,,06:47,3,1-2,50,0-0,0,1-2,50,0-0,0,0,1,1,1,0,0,0,1,0,4
7,N. Montecillo,,12:40,0,0-3,0,0-1,0,0-2,0,0-2,0,0,2,2,3,0,2,0,1,1,7
1,J. Nunag,,11:07,0,0-1,0,0-1,0,0-0,0,0-0,0,0,5,5,0,0,0,2,0,0,11
,starters ,,,,,,,,,,,,,,,,,,,,,
15,I. Dimaano,,24:18,5,2-4,50,2-3,66.7,0-1,0,1-2,50,1,3,4,1,1,0,0,2,3,5
20,J. Jumao-os,,09:24,3,1-2,50,1-2,50,0-0,0,1-2,50,0,0,0,0,2,1,0,3,2,-2
4,K. Santos,,15:55,2,0-3,0,0-2,0,0-1,0,2-2,100,0,1,1,0,2,0,2,2,1,4
39,K. Monje,,10:00,1,0-2,0,0-2,0,0-0,0,1-2,50,0,3,3,0,0,0,0,1,1,-4
17,C. Delfino,,04:18,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,1,1,2,0,-2
