NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
19,M. Gojo Cruz,,28:56,20,6-10,60,2-3,66.7,4-7,57.1,4-4,100,0,3,3,2,3,3,0,0,2,14
8,C. Pagaran,,26:55,10,4-13,30.8,4-11,36.4,0-2,0,2-3,66.7,0,3,3,2,2,0,1,0,3,-12
9,S. Orgo,,29:54,8,3-11,27.3,1-4,25,2-7,28.6,0-0,0,2,3,5,5,3,1,0,2,2,12
14,C. Abis,,18:09,7,3-6,50,2-5,40,1-1,100,0-0,0,4,4,8,1,3,0,0,4,1,-2
21,J. Nunez,,18:40,1,0-2,0,0-2,0,0-0,0,1-2,50,3,4,7,2,3,0,0,3,1,13
,bench ,,,,,,,,,,,,,,,,,,,,,
91,J. Boral,,24:23,11,4-13,30.8,2-8,25,2-5,40,1-2,50,1,3,4,1,1,1,0,1,1,5
25,A. Gelsano,,18:51,7,2-4,50,1-2,50,1-2,50,2-2,100,2,3,5,3,1,1,1,2,1,14
33,J. Manuel,,11:22,3,1-3,33.3,1-2,50,0-1,0,1-3,33.3,1,0,1,1,3,0,0,0,1,-12
20,E. Pizarro,,12:27,2,1-2,50,1-2,50,0-0,0,0-1,0,2,1,3,0,1,1,0,3,1,-8
13,H. Montemayor,,10:20,0,0-2,0,0-1,0,0-1,0,0-0,0,1,1,2,1,0,0,0,3,0,-14
,,,,,,,,,,,,,,,,,,,,,,
9,J. Camay,,24:43,12,5-8,62.5,4-5,80,1-3,33.3,1-1,100,0,2,2,3,1,2,0,3,2,2
42,C. Hernal,,25:32,10,4-7,57.1,4-6,66.7,0-1,0,2-4,50,6,6,12,1,0,3,0,3,4,7
1,J. Ongotan,,12:34,6,3-8,37.5,3-7,42.9,0-1,0,0-0,0,0,3,3,2,1,1,0,0,0,-3
12,R. Abiera,,12:56,6,2-6,33.3,2-3,66.7,0-3,0,2-2,100,0,2,2,0,0,0,0,0,1,-10
3,E. Geronimo,,13:57,5,2-3,66.7,2-3,66.7,0-0,0,1-2,50,0,0,0,0,1,0,0,1,2,6
4,L. Capulong,,17:54,4,2-6,33.3,2-6,33.3,0-0,0,0-2,0,0,1,1,1,0,1,0,2,2,-15
10,W. Miller,,05:04,2,1-2,50,1-2,50,0-0,0,0-0,0,1,0,1,0,1,2,0,0,1,-1
13,A. Acop,,15:47,0,0-3,0,0-2,0,0-1,0,0-0,0,2,1,3,2,1,3,0,2,0,7
47,X. Estacio,,02:38,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-3
45,J. Espiritu,,00:47,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
,starters ,,,,,,,,,,,,,,,,,,,,,
25,G. Borromeo,,20:38,8,4-7,57.1,4-6,66.7,0-1,0,0-0,0,1,3,4,2,3,0,0,0,1,9
14,M. Vinoya,,17:58,8,3-6,50,2-3,66.7,1-3,33.3,1-2,50,0,5,5,0,3,1,0,1,1,-7
5,T. Valencia,,18:30,4,2-7,28.6,2-5,40,0-2,0,0-0,0,0,2,2,1,4,1,1,0,3,-2
24,J. Dela Cruz,,06:21,2,1-3,33.3,1-3,33.3,0-0,0,0-1,0,0,1,1,0,0,0,0,0,1,1
16,A. De Leon,,04:33,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,1
