NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
9,B. Sajonia,,30:05,26,6-12,50,5-9,55.6,1-3,33.3,13-19,68.4,1,7,8,4,3,2,1,2,10,11
21,Y. Andrada,,27:23,21,7-14,50,2-3,66.7,5-11,45.5,2-4,50,1,10,11,0,4,1,0,1,3,4
18,J. Payosing,,17:19,7,2-3,66.7,2-2,100,0-1,0,3-4,75,0,5,5,1,1,1,1,5,3,-8
77,J. Royo,,24:10,4,1-4,25,1-3,33.3,0-1,0,2-4,50,0,1,1,3,3,1,0,0,6,2
33,D. Celzo,,16:39,0,0-3,0,0-3,0,0-0,0,0-0,0,3,1,4,0,2,0,0,3,0,4
,bench ,,,,,,,,,,,,,,,,,,,,,
1,J. Puno,,27:14,12,4-9,44.4,3-7,42.9,1-2,50,3-5,60,3,5,8,0,1,0,0,1,4,16
0,Z. Estacio,,14:21,6,2-2,100,0-0,0,2-2,100,0-0,0,1,1,2,2,1,0,0,2,0,15
13,RC. Calimag,,11:52,4,2-7,28.6,2-4,50,0-3,0,0-0,0,0,1,1,1,0,0,0,0,0,0
3,R. Calimag,,07:28,3,1-1,100,0-0,0,1-1,100,0-2,0,0,3,3,1,1,0,0,1,2,-4
2,K. Culdora,,02:38,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,2
27,M. Songcuya,,11:40,0,0-2,0,0-1,0,0-1,0,0-0,0,1,0,1,1,1,0,0,2,1,8
8,J. Bonzalida,,09:06,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,1,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,
17,R. Gabat,,22:32,19,8-15,53.3,5-6,83.3,3-9,33.3,0-2,0,1,2,3,0,1,1,0,4,3,-2
11,R. Escobido,,29:03,14,6-20,30,4-9,44.4,2-11,18.2,0-0,0,4,3,7,2,2,2,0,2,0,-9
4,R. Are,,24:58,9,2-11,18.2,1-6,16.7,1-5,20,4-4,100,0,2,2,4,3,2,0,5,3,-5
18,T. Felebrico,,33:34,9,1-4,25,0-0,0,1-4,25,6-6,100,5,7,12,2,1,3,0,2,6,-6
24,L. Velasco,,17:13,2,1-4,25,1-4,25,0-0,0,0-1,0,1,2,3,1,0,0,3,3,2,1
,bench ,,,,,,,,,,,,,,,,,,,,,
52,A. Aguilar,,18:45,11,4-15,26.7,2-2,100,2-13,15.4,1-2,50,0,4,4,1,0,0,0,2,2,3
7,L. Gabat,,15:05,8,3-10,30,1-5,20,2-5,40,0-0,0,1,0,1,1,1,1,0,5,0,-12
13,H. Ricio,,13:47,3,1-4,25,1-1,100,0-3,0,1-2,50,2,1,3,0,1,0,0,4,1,-18
2,R. Maliwat,,06:16,0,0-1,0,0-1,0,0-0,0,0-0,0,1,0,1,1,0,1,0,2,1,-2
26,J. Lintol,,04:29,0,0-0,0,0-0,0,0-0,0,0-0,0,1,1,2,0,0,0,0,0,0,7
12,M. Pascual,,07:57,0,0-2,0,0-0,0,0-2,0,0-0,0,0,1,1,0,0,0,0,0,0,-3
25,I. Suico,,03:01,0,0-1,0,0-0,0,0-1,0,0-0,0,1,0,1,0,1,0,0,0,0,-4
0,J. Barroga,,03:14,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
