NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
39,W. Ynot,,23:43,16,6-15,40,3-8,37.5,3-7,42.9,1-1,100,3,4,7,2,2,1,0,3,0,19
17,J. Ancheta,,15:16,10,4-6,66.7,3-3,100,1-3,33.3,1-2,50,0,3,3,2,3,3,0,2,2,9
22,J. Eusebio,,12:15,9,3-6,50,1-3,33.3,2-3,66.7,1-2,50,0,4,4,0,1,0,0,2,1,11
34,A. Liwag,,30:47,7,3-11,27.3,3-11,27.3,0-0,0,1-2,50,7,8,15,3,2,1,2,2,3,25
14,R. Ondoa,,09:33,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,9
,bench ,,,,,,,,,,,,,,,,,,,,,
20,J. Sanchez,,21:19,14,6-9,66.7,6-8,75,0-1,0,2-3,66.7,2,4,6,1,1,1,1,1,5,12
1,Z. Jarque,,07:42,7,2-2,100,1-1,100,1-1,100,2-2,100,2,2,4,0,2,0,0,1,1,1
72,G. Cometa,,14:10,7,3-6,50,3-6,50,0-0,0,1-2,50,2,1,3,0,2,1,0,1,1,2
9,M. Sangco,,13:59,4,2-7,28.6,2-5,40,0-2,0,0-0,0,1,0,1,1,0,2,0,3,0,6
63,E. Serrano,,03:12,2,0-0,0,0-0,0,0-0,0,2-2,100,0,0,0,0,0,0,1,1,1,1
11,J. Cajucom,,10:20,1,0-1,0,0-1,0,0-0,0,1-2,50,1,0,1,2,0,1,0,0,3,3
13,I. Torres,,14:41,0,0-4,0,0-1,0,0-3,0,0-0,0,0,0,0,3,1,1,0,2,2,10
6,J. Morales,,12:48,0,0-4,0,0-0,0,0-4,0,0-0,0,0,2,2,0,1,0,0,2,0,5
0,M. Oli,,04:08,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,0,0,0,1,0,1
8,A. Turco,,06:00,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,1,1,0,-4
,,,,,,,,,,,,,,,,,,,,,,
3,K. Gurtiza,,22:44,13,4-9,44.4,3-5,60,1-4,25,4-4,100,0,3,3,3,0,0,0,0,3,-21
9,H. Pagsanjan,,22:34,10,4-9,44.4,4-9,44.4,0-0,0,2-2,100,0,1,1,0,0,3,0,3,2,-13
8,J. Luciano,,20:45,2,1-4,25,1-2,50,0-2,0,0-0,0,0,2,2,1,1,0,0,2,0,-15
28,G. Loristo,,09:21,1,0-0,0,0-0,0,0-0,0,1-4,25,1,3,4,0,2,0,0,2,2,-3
71,N. Lucero,,14:15,0,0-7,0,0-5,0,0-2,0,0-0,0,0,2,2,2,2,0,1,4,1,-18
,bench ,,,,,,,,,,,,,,,,,,,,,
88,N. Ochavo,,11:15,4,0-3,0,0-1,0,0-2,0,4-4,100,0,1,1,2,1,0,0,0,3,8
15,E. Umpad,,15:26,4,2-3,66.7,2-3,66.7,0-0,0,0-2,0,2,2,4,1,2,0,1,2,2,-8
14,G. Quinal,,13:50,4,2-7,28.6,2-3,66.7,0-4,0,0-0,0,2,1,3,0,2,1,0,2,1,-2
17,D. Ednilag,,05:16,4,2-2,100,2-2,100,0-0,0,0-1,0,1,0,1,0,0,0,1,2,1,-4
91,W. Oftana,,21:48,3,1-7,14.3,0-3,0,1-4,25,0-4,0,2,2,4,1,4,2,2,1,4,-7
12,B. Angeles,,09:07,3,1-1,100,0-0,0,1-1,100,0-0,0,0,0,0,1,1,0,0,0,0,-8
61,A. Doromal,,18:13,3,1-7,14.3,1-4,25,0-3,0,1-2,50,0,0,0,1,2,0,0,0,1,-11
13,J. Bacud,,06:38,2,1-3,33.3,1-2,50,0-1,0,0-0,0,3,1,4,0,0,0,0,0,1,-7
81,P. Bagay,,04:33,2,1-4,25,1-3,33.3,0-1,0,0-0,0,1,1,2,0,0,0,0,2,0,0
11,R. Postanes,,04:08,0,0-0,0,0-0,0,0-0,0,0-2,0,0,0,0,0,0,0,0,0,1,-1
