NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
3,J. Barba,,26:48,28,9-16,56.3,4-9,44.4,5-7,71.4,5-6,83.3,2,3,5,3,1,0,0,3,3,7
24,J. Daileg,,20:11,5,2-3,66.7,1-1,100,1-2,50,0-0,0,1,0,1,0,1,1,1,0,1,13
12,N. Moralejo,,09:41,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,0,0,0,1,1,-9
22,O. Gordon,,10:18,1,0-2,0,0-2,0,0-0,0,1-2,50,0,1,1,2,0,1,0,2,2,-3
20,R. Villegas,,08:03,1,0-1,0,0-1,0,0-0,0,1-2,50,0,0,0,0,3,0,0,1,1,-8
14,J. Panelo,,04:04,1,0-0,0,0-0,0,0-0,0,1-2,50,0,0,0,0,0,0,0,0,2,-7
11,K. Caduyac,,04:40,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,1
0,D. Culanay,,02:40,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,2
,starters ,,,,,,,,,,,,,,,,,,,,,
18,V. Cunanan,,30:23,20,8-12,66.7,6-7,85.7,2-5,40,2-3,66.7,1,1,2,4,2,5,0,2,3,14
7,M. Guadana,,29:11,17,6-14,42.9,3-7,42.9,3-7,42.9,2-2,100,1,4,5,5,3,2,1,2,3,11
17,S. Penafiel,,13:48,9,4-6,66.7,4-6,66.7,0-0,0,1-3,33.3,1,2,3,1,0,1,0,2,2,-4
13,G. Montano,,18:17,9,4-8,50,4-6,66.7,0-2,0,1-3,33.3,1,0,1,1,2,1,0,5,3,0
15,G. Aviles,,21:51,4,2-5,40,2-5,40,0-0,0,0-2,0,2,7,9,3,1,0,1,3,1,8
,,,,,,,,,,,,,,,,,,,,,,
26,J. Medina,,29:59,22,9-12,75,7-10,70,2-2,100,2-2,100,0,6,6,3,4,2,2,5,1,1
3,P. Ramos,,23:30,9,3-7,42.9,3-5,60,0-2,0,3-4,75,0,1,1,5,4,0,0,2,2,-6
16,V. Sarmiento,,26:08,9,3-7,42.9,3-7,42.9,0-0,0,3-4,75,4,6,10,2,0,1,1,2,4,-18
14,M. Barrera,,19:00,9,3-5,60,2-3,66.7,1-2,50,2-2,100,2,0,2,1,1,0,1,0,1,-9
8,W. De Leon,,08:49,1,0-0,0,0-0,0,0-0,0,1-2,50,0,2,2,1,1,0,0,1,1,-4
,bench ,,,,,,,,,,,,,,,,,,,,,
5,J. Guiab,,26:17,20,8-13,61.5,8-12,66.7,0-1,0,4-5,80,3,4,7,1,2,0,1,2,5,2
9,S. Argente,,19:33,11,3-13,23.1,0-2,0,3-11,27.3,2-3,66.7,2,2,4,2,2,3,0,2,2,-6
7,J. Pangilinan,,09:49,3,1-2,50,0-0,0,1-2,50,0-0,0,1,1,2,1,0,1,0,3,0,2
15,R. Bernardo,,05:05,3,1-1,100,0-0,0,1-1,100,0-0,0,0,0,0,0,0,0,0,0,0,9
55,C. Ferrer,,04:00,2,1-1,100,1-1,100,0-0,0,0-0,0,0,1,1,1,0,0,0,1,0,6
1,S. Mosqueda,,01:29,2,0-0,0,0-0,0,0-0,0,2-2,100,0,0,0,0,0,0,0,0,1,-4
27,I. Panapanaan,,19:38,1,0-3,0,0-2,0,0-1,0,1-2,50,1,3,4,4,1,1,1,1,1,7
31,M. Raymundo,,03:01,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,3,1,0,2,1,-4
17,R. Samontanes,,03:35,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,1,0,0,1,2,-1
