NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
0,C. Escamis,,32:04,28,9-20,45,5-10,50,4-10,40,6-6,100,0,2,2,2,3,3,1,0,3,9
72,C. Hubilla,,20:36,7,3-6,50,3-6,50,0-0,0,1-2,50,1,5,6,2,2,2,0,3,1,1
18,J. Bancale,,13:24,6,2-3,66.7,0-0,0,2-3,66.7,0-0,0,0,1,1,1,0,0,0,1,0,-9
1,M. Igliane,,25:04,2,1-4,25,1-2,50,0-2,0,0-0,0,2,5,7,1,1,1,0,1,1,5
2,N. Agemenyi,,08:47,2,1-1,100,1-1,100,0-0,0,0-0,0,0,2,2,0,0,0,0,4,1,-13
,bench ,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,34:02,12,4-8,50,0-1,0,4-7,57.1,0-0,0,0,1,1,6,1,0,0,2,3,15
7,J. Jabonete,,19:22,8,3-9,33.3,3-7,42.9,0-2,0,2-3,66.7,2,3,5,0,1,1,1,0,4,15
12,L. Mangubat,,26:28,6,2-8,25,0-1,0,2-7,28.6,0-0,0,2,1,3,2,4,1,0,1,0,15
35,E. Ryan,,10:15,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,1,0,0,0,3,1,1
34,Y. Concepcion,,07:54,0,0-1,0,0-1,0,0-0,0,0-0,0,1,1,2,0,0,0,0,4,0,-3
11,A. Fermin,,01:59,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,-6
,,,,,,,,,,,,,,,,,,,,,,
19,M. Gojo Cruz,,29:05,17,7-15,46.7,4-7,57.1,3-8,37.5,0-0,0,1,6,7,1,0,0,0,3,2,9
8,C. Pagaran,,29:06,12,5-7,71.4,3-4,75,2-3,66.7,0-0,0,1,4,5,2,0,0,0,0,0,-2
14,C. Abis,,29:59,12,5-15,33.3,5-12,41.7,0-3,0,2-2,100,1,3,4,2,1,0,0,0,3,2
9,S. Orgo,,29:24,5,2-7,28.6,1-3,33.3,1-4,25,0-1,0,0,4,4,5,2,0,0,1,1,1
21,J. Nunez,,19:07,1,0-2,0,0-2,0,0-0,0,1-4,25,0,1,1,2,1,0,0,3,4,-11
,bench ,,,,,,,,,,,,,,,,,,,,,
20,E. Pizarro,,13:08,9,4-5,80,4-5,80,0-0,0,1-1,100,0,0,0,1,3,4,1,3,1,4
33,J. Manuel,,10:36,6,1-6,16.7,1-3,33.3,0-3,0,4-5,80,0,0,0,0,1,1,0,1,4,-7
25,A. Gelsano,,09:43,2,1-3,33.3,1-2,50,0-1,0,0-0,0,1,1,2,0,2,0,0,1,0,-8
91,J. Boral,,16:17,1,0-6,0,0-5,0,0-1,0,1-2,50,1,3,4,1,1,1,1,0,3,-17
13,H. Montemayor,,05:48,0,0-0,0,0-0,0,0-0,0,0-0,0,2,1,3,1,0,0,0,1,1,-2
28,R. Cauguiran,,07:44,0,0-1,0,0-1,0,0-0,0,0-0,0,0,3,3,0,0,1,0,1,0,1
