NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
9,P. Javillonar,,28:12,28,11-16,68.8,8-11,72.7,3-5,60,3-3,100,4,4,8,0,0,2,2,3,2,16
39,K. Monje,,14:47,5,2-6,33.3,1-2,50,1-4,25,0-0,0,0,2,2,1,3,0,0,3,0,9
15,I. Dimaano,,21:42,5,1-1,100,1-1,100,0-0,0,3-4,75,2,5,7,0,0,0,1,1,2,1
20,J. Jumao-os,,15:09,4,2-6,33.3,2-4,50,0-2,0,0-0,0,0,1,1,2,0,2,1,3,1,9
17,C. Delfino,,08:42,1,0-1,0,0-0,0,0-1,0,1-2,50,0,0,0,1,1,0,0,1,2,-1
,bench ,,,,,,,,,,,,,,,,,,,,,
26,S. Estrada,,22:49,14,6-11,54.5,6-10,60,0-1,0,2-3,66.7,2,6,8,2,5,0,1,2,2,2
2,J. Miller,,20:52,11,3-6,50,3-4,75,0-2,0,5-5,100,2,3,5,3,3,2,0,2,5,-6
29,V. Cuajao,,24:35,6,2-6,33.3,0-1,0,2-5,40,0-0,0,0,3,3,1,0,1,0,0,0,-2
8,R. Go,,07:52,6,2-6,33.3,2-4,50,0-2,0,2-2,100,1,1,2,1,0,0,1,1,1,-6
1,J. Nunag,,06:54,4,1-1,100,1-1,100,0-0,0,2-2,100,0,0,0,1,0,1,0,2,1,-5
7,N. Montecillo,,17:05,2,1-5,20,1-2,50,0-3,0,0-0,0,1,2,3,2,2,0,0,1,0,18
19,J. Pradella,,07:08,0,0-1,0,0-1,0,0-0,0,0-0,0,0,3,3,0,1,0,0,1,1,6
4,K. Santos,,03:14,0,0-2,0,0-2,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-2
6,K. Tagotongan,,00:54,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-4
,,,,,,,,,,,,,,,,,,,,,,
14,M. Vinoya,,20:29,16,6-11,54.5,2-4,50,4-7,57.1,0-1,0,0,4,4,3,1,2,0,0,1,-7
5,T. Valencia,,22:57,6,3-6,50,3-5,60,0-1,0,0-0,0,0,3,3,1,3,1,0,1,1,-2
25,G. Borromeo,,15:15,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,1,3,4,1,2,1,0,2,1,-14
41,J. Libang,,04:04,2,1-2,50,1-2,50,0-0,0,0-1,0,0,1,1,0,1,0,0,2,1,-3
10,W. Miller,,08:42,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,1,0,0,0,0,1,-6
,bench ,,,,,,,,,,,,,,,,,,,,,
42,C. Hernal,,19:14,11,1-4,25,1-4,25,0-0,0,9-13,69.2,2,2,4,2,3,1,1,2,6,3
4,L. Capulong,,27:44,11,5-15,33.3,5-12,41.7,0-3,0,1-3,33.3,1,2,3,2,0,1,3,1,3,-9
12,R. Abiera,,21:53,10,3-9,33.3,0-3,0,3-6,50,1-3,33.3,0,1,1,1,0,0,0,0,1,-4
1,J. Ongotan,,22:12,10,5-9,55.6,5-7,71.4,0-2,0,0-0,0,3,3,6,0,2,4,0,5,3,5
3,E. Geronimo,,11:42,7,3-3,100,2-2,100,1-1,100,0-0,0,0,0,0,1,2,0,1,2,0,15
9,J. Camay,,14:38,4,2-5,40,2-4,50,0-1,0,0-0,0,2,1,3,1,0,1,0,2,1,-13
16,A. De Leon,,02:31,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,1,0,1,0,4
13,A. Acop,,06:09,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,1,0,0,0,0,0,3
45,J. Espiritu,,02:24,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-7
