NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
9,H. Pagsanjan,,26:06,14,5-11,45.5,2-5,40,3-6,50,1-3,33.3,2,5,7,0,1,1,0,4,4,9
8,J. Luciano,,25:58,13,4-7,57.1,0-3,0,4-4,100,1-2,50,1,7,8,0,0,0,0,3,1,11
3,K. Gurtiza,,32:17,9,3-16,18.8,1-8,12.5,2-8,25,1-2,50,1,4,5,3,1,1,0,1,4,12
61,A. Doromal,,20:35,6,2-7,28.6,0-2,0,2-5,40,0-0,0,0,3,3,6,3,0,0,0,0,12
15,E. Umpad,,10:53,0,0-0,0,0-0,0,0-0,0,0-0,0,1,2,3,0,2,0,0,4,0,13
,bench ,,,,,,,,,,,,,,,,,,,,,
91,W. Oftana,,23:10,9,3-9,33.3,2-4,50,1-5,20,2-2,100,2,5,7,2,0,2,1,5,1,2
14,G. Quinal,,09:11,5,1-2,50,0-0,0,1-2,50,2-2,100,0,0,0,0,0,0,0,2,1,4
88,N. Ochavo,,11:33,4,1-5,20,1-3,33.3,0-2,0,2-2,100,0,0,0,4,1,2,0,1,1,4
81,P. Bagay,,10:51,4,1-2,50,1-1,100,0-1,0,2-2,100,1,0,1,0,1,1,0,1,2,6
71,N. Lucero,,10:13,2,1-6,16.7,1-4,25,0-2,0,0-0,0,2,0,2,2,0,2,0,0,0,-5
28,G. Loristo,,14:10,2,1-2,50,1-1,100,0-1,0,0-0,0,1,1,2,1,0,0,0,3,1,4
12,B. Angeles,,02:31,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,1,0,0,1,0,-8
13,J. Bacud,,02:25,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,
21,Y. Andrada,,27:27,12,5-13,38.5,4-6,66.7,1-7,14.3,1-2,50,4,2,6,1,3,1,0,1,3,-24
18,J. Payosing,,12:35,3,1-4,25,1-3,33.3,0-1,0,1-5,20,3,3,6,2,2,0,0,1,3,-9
33,D. Celzo,,08:43,3,1-3,33.3,1-3,33.3,0-0,0,1-2,50,1,4,5,0,1,0,0,1,2,-7
13,RC. Calimag,,18:05,3,1-7,14.3,1-3,33.3,0-4,0,1-2,50,0,3,3,0,0,0,0,2,1,5
12,N. Gonzales,,14:51,1,0-4,0,0-2,0,0-2,0,1-2,50,0,0,0,1,2,1,0,2,2,-14
,bench ,,,,,,,,,,,,,,,,,,,,,
1,J. Puno,,16:46,9,1-4,25,1-4,25,0-0,0,7-8,87.5,0,1,1,0,1,0,0,0,5,-11
4,O. Tagle,,15:45,7,2-4,50,0-1,0,2-3,66.7,1-2,50,0,0,0,0,1,1,0,0,2,-1
77,J. Royo,,17:06,5,2-3,66.7,1-1,100,1-2,50,0-1,0,2,4,6,1,3,0,0,0,1,10
0,Z. Estacio,,10:44,3,1-4,25,1-3,33.3,0-1,0,1-2,50,1,1,2,2,0,0,0,2,1,-8
27,M. Songcuya,,19:20,3,0-2,0,0-1,0,0-1,0,3-4,75,4,3,7,1,1,1,1,2,5,5
3,R. Calimag,,13:45,3,1-4,25,1-1,100,0-3,0,1-1,100,1,3,4,1,0,0,0,1,1,2
9,B. Sajonia,,15:16,3,1-8,12.5,0-6,0,1-2,50,0-0,0,1,2,3,0,2,0,0,2,0,-6
10,R. Jalbuena,,03:32,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,1,0,-1
11,J. Tagala,,06:00,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-6
