NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
19,M. Gojo Cruz,,27:15,11,4-16,25,4-14,28.6,0-2,0,3-5,60,3,7,10,2,0,1,2,0,4,-13
9,S. Orgo,,24:51,10,4-7,57.1,3-5,60,1-2,50,1-3,33.3,0,3,3,0,3,1,0,1,3,-9
14,C. Abis,,19:49,4,1-6,16.7,1-6,16.7,0-0,0,2-2,100,1,2,3,2,1,1,1,0,1,-19
8,C. Pagaran,,15:03,4,1-6,16.7,1-3,33.3,0-3,0,2-4,50,0,2,2,0,0,0,1,0,2,-14
21,J. Nunez,,25:03,3,1-5,20,1-4,25,0-1,0,1-2,50,1,1,2,0,0,1,0,0,5,-10
,bench ,,,,,,,,,,,,,,,,,,,,,
91,J. Boral,,26:01,9,4-10,40,3-4,75,1-6,16.7,0-0,0,0,4,4,1,1,0,0,1,3,-20
20,E. Pizarro,,12:28,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,2,0,2,2,0,0,0,5,1,-12
33,J. Manuel,,14:16,4,2-9,22.2,2-6,33.3,0-3,0,0-0,0,1,2,3,0,2,1,0,3,0,-13
13,H. Montemayor,,05:33,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,1,1,0,0,0,0,0,0,-2
25,A. Gelsano,,11:38,0,0-5,0,0-2,0,0-3,0,0-2,0,4,0,4,1,2,1,0,4,1,-3
28,R. Cauguiran,,02:28,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,1,0,0,0,-5
12,N. Sevilla,,08:32,0,0-3,0,0-3,0,0-0,0,0-0,0,0,0,0,0,0,1,0,0,2,-5
7,A. Javier,,00:52,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-5
17,R. Movida,,02:28,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-5
11,B. Manuel,,03:37,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
20,J. Sanchez,,20:27,13,4-9,44.4,4-8,50,0-1,0,5-9,55.6,4,4,8,0,0,1,0,3,5,19
72,G. Cometa,,19:41,10,4-8,50,3-5,60,1-3,33.3,1-1,100,1,1,2,4,1,0,0,2,3,18
17,J. Ancheta,,16:45,9,4-7,57.1,3-3,100,1-4,25,0-0,0,0,2,2,1,2,0,0,0,1,16
22,J. Eusebio,,14:58,8,3-7,42.9,1-2,50,2-5,40,0-0,0,1,6,7,0,0,0,0,3,0,10
63,E. Serrano,,10:13,7,3-4,75,3-4,75,0-0,0,1-1,100,3,4,7,0,0,1,1,1,1,6
9,M. Sangco,,12:48,2,1-2,50,1-2,50,0-0,0,0-0,0,1,2,3,0,0,1,0,2,0,11
14,R. Ondoa,,10:19,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,1,1,2,0,2,0,0,1,0,-7
8,A. Turco,,04:23,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,7
0,M. Oli,,08:55,0,0-3,0,0-1,0,0-2,0,0-0,0,0,1,1,0,0,0,0,2,1,4
41,G. Carillo,,03:38,0,0-2,0,0-1,0,0-1,0,0-0,0,1,0,1,0,0,0,0,0,0,2
,starters ,,,,,,,,,,,,,,,,,,,,,
39,W. Ynot,,17:46,12,5-9,55.6,4-4,100,1-5,20,1-1,100,3,5,8,2,4,0,0,1,0,18
13,I. Torres,,18:08,8,3-9,33.3,1-2,50,2-7,28.6,0-0,0,0,1,1,1,1,2,1,2,0,4
34,A. Liwag,,25:23,4,2-9,22.2,2-9,22.2,0-0,0,0-0,0,2,7,9,1,0,1,0,3,3,14
6,J. Morales,,11:39,3,1-3,33.3,0-0,0,1-3,33.3,0-0,0,0,2,2,2,0,0,0,1,0,8
1,Z. Jarque,,04:52,0,0-1,0,0-0,0,0-1,0,0-0,0,0,2,2,0,1,0,1,1,0,5
