NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
14,M. Vinoya,,34:16,22,7-15,46.7,3-11,27.3,4-4,100,4-11,36.4,2,2,4,0,2,1,1,2,6,14
5,T. Valencia,,31:35,18,8-14,57.1,8-11,72.7,0-3,0,2-6,33.3,1,5,6,5,1,3,0,3,5,2
10,W. Miller,,27:21,11,5-11,45.5,5-8,62.5,0-3,0,1-1,100,0,2,2,0,2,0,0,3,3,10
41,J. Libang,,08:39,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,1,1,2,1,0,0,0,1,2,10
25,G. Borromeo,,22:04,2,1-5,20,1-5,20,0-0,0,0-0,0,2,4,6,5,0,1,0,1,0,1
,bench ,,,,,,,,,,,,,,,,,,,,,
1,J. Ongotan,,24:17,13,6-14,42.9,6-10,60,0-4,0,1-1,100,3,8,11,2,2,1,1,0,1,1
3,E. Geronimo,,25:21,10,5-6,83.3,5-6,83.3,0-0,0,0-0,0,0,2,2,0,0,1,0,1,0,8
9,J. Camay,,14:38,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,1,1,2,1,1,0,0,0,-9
42,C. Hernal,,10:43,2,1-5,20,1-5,20,0-0,0,0-0,0,2,2,4,0,1,1,0,1,0,-18
4,L. Capulong,,09:04,1,0-3,0,0-3,0,0-0,0,1-2,50,1,1,2,0,0,0,1,2,2,-16
47,X. Estacio,,05:51,1,0-1,0,0-1,0,0-0,0,1-2,50,0,1,1,0,0,0,0,1,1,0
13,A. Acop,,01:32,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,0,0,0,0,0,-4
12,R. Abiera,,08:13,0,0-5,0,0-2,0,0-3,0,0-0,0,1,0,1,0,0,0,0,0,0,-14
45,J. Espiritu,,01:18,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,-5
,,,,,,,,,,,,,,,,,,,,,,
3,J. Barba,,29:22,25,11-18,61.1,9-11,81.8,2-7,28.6,1-2,50,0,8,8,3,4,0,0,3,4,7
20,R. Villegas,,14:58,10,3-6,50,1-2,50,2-4,50,2-2,100,0,2,2,1,0,0,1,0,1,12
24,J. Daileg,,19:05,8,3-6,50,2-5,40,1-1,100,1-1,100,1,6,7,1,0,0,1,1,1,9
10,L. Pallingayan,,08:46,2,1-1,100,1-1,100,0-0,0,0-0,0,0,2,2,3,2,1,0,0,0,-1
12,N. Moralejo,,03:46,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,0,0,0,0,0,5
0,D. Culanay,,01:55,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-9
44,R. Colian,,01:31,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-10
14,J. Panelo,,05:20,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,3,0,4
22,O. Gordon,,01:55,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,0,1,0,-10
,starters ,,,,,,,,,,,,,,,,,,,,,
13,G. Montano,,27:48,17,7-11,63.6,4-5,80,3-6,50,0-1,0,1,6,7,3,5,0,3,2,2,2
7,M. Guadana,,29:39,12,4-16,25,4-12,33.3,0-4,0,4-5,80,1,3,4,0,0,1,0,1,2,0
17,S. Penafiel,,24:00,11,4-7,57.1,4-5,80,0-2,0,3-4,75,1,1,2,1,2,1,0,1,2,1
18,V. Cunanan,,32:27,3,1-6,16.7,1-4,25,0-2,0,1-2,50,1,6,7,9,2,3,0,4,2,0
15,G. Aviles,,24:21,2,1-4,25,1-3,33.3,0-1,0,0-0,0,1,8,9,1,2,0,0,2,0,10
