NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
26,S. Estrada,,33:42,19,5-14,35.7,5-14,35.7,0-0,0,9-12,75,3,6,9,6,6,0,3,2,6,-16
29,V. Cuajao,,25:55,7,3-7,42.9,2-2,100,1-5,20,0-0,0,0,3,3,1,0,2,0,1,0,-25
8,R. Go,,07:59,3,1-4,25,1-3,33.3,0-1,0,1-2,50,0,1,1,0,0,0,0,1,1,1
17,C. Delfino,,11:29,2,1-6,16.7,1-4,25,0-2,0,0-0,0,2,1,3,1,0,2,1,5,2,12
2,J. Miller,,11:26,1,0-2,0,0-1,0,0-1,0,1-2,50,1,0,1,0,3,0,0,1,2,-3
1,J. Nunag,,09:06,0,0-3,0,0-3,0,0-0,0,0-0,0,2,2,4,1,1,0,0,2,0,1
19,J. Pradella,,03:26,0,0-1,0,0-0,0,0-1,0,0-2,0,0,1,1,1,0,0,0,0,1,3
6,K. Tagotongan,,04:41,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,1,-6
4,K. Santos,,03:47,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
91,J. Baliling,,00:19,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-1
,starters ,,,,,,,,,,,,,,,,,,,,,
9,P. Javillonar,,28:13,11,3-7,42.9,0-2,0,3-5,60,2-4,50,2,5,7,0,2,0,0,3,3,-16
7,N. Montecillo,,22:10,9,3-8,37.5,2-3,66.7,1-5,20,2-2,100,1,2,3,0,3,1,0,3,2,-3
39,K. Monje,,13:25,4,0-7,0,0-6,0,0-1,0,4-6,66.7,1,2,3,1,1,1,0,1,3,-11
15,I. Dimaano,,17:58,3,1-3,33.3,0-1,0,1-2,50,0-0,0,0,3,3,1,0,0,0,4,0,-12
20,J. Jumao-os,,06:17,3,1-1,100,0-0,0,1-1,100,0-0,0,0,1,1,0,0,0,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,
72,C. Hubilla,,22:34,18,6-11,54.5,6-11,54.5,0-0,0,6-11,54.5,5,7,12,0,3,2,0,4,8,11
0,C. Escamis,,34:08,12,3-12,25,1-3,33.3,2-9,22.2,4-4,100,2,3,5,6,4,1,2,3,5,26
5,J. Recto,,26:55,8,4-11,36.4,4-10,40,0-1,0,0-0,0,2,4,6,0,2,1,1,3,1,0
18,J. Bancale,,18:15,7,3-7,42.9,3-6,50,0-1,0,1-2,50,1,2,3,3,0,1,0,3,2,16
1,M. Igliane,,16:24,0,0-1,0,0-0,0,0-1,0,0-0,0,0,3,3,0,0,0,1,2,0,4
,bench ,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,33:57,13,4-11,36.4,1-4,25,3-7,42.9,2-3,66.7,1,4,5,3,0,1,0,2,1,5
12,L. Mangubat,,22:00,13,4-9,44.4,0-1,0,4-8,50,1-2,50,1,2,3,1,1,2,0,5,2,-1
7,J. Jabonete,,18:41,4,2-4,50,2-3,66.7,0-1,0,0-4,0,0,5,5,1,0,0,0,1,3,5
34,Y. Concepcion,,01:30,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,0
2,N. Agemenyi,,02:32,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,3
35,E. Ryan,,02:48,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,4
21,A. Pantaleon,,00:10,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,2
