NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
3,K. Gurtiza,,25:10,17,5-17,29.4,4-10,40,1-7,14.3,6-11,54.5,6,2,8,2,1,1,0,4,5,4
8,J. Luciano,,16:52,4,2-3,66.7,2-2,100,0-1,0,0-2,0,1,0,1,1,2,0,0,2,1,-8
15,E. Umpad,,11:08,4,2-2,100,2-2,100,0-0,0,0-0,0,0,0,0,0,0,0,0,2,0,-10
61,A. Doromal,,19:56,0,0-8,0,0-3,0,0-5,0,0-2,0,1,5,6,1,3,0,1,1,1,-15
9,H. Pagsanjan,,13:53,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,0,0,1,4,0,-19
,bench ,,,,,,,,,,,,,,,,,,,,,
14,G. Quinal,,23:59,16,5-15,33.3,2-3,66.7,3-12,25,3-5,60,3,2,5,1,1,2,0,2,4,12
91,W. Oftana,,19:57,15,5-15,33.3,2-6,33.3,3-9,33.3,2-3,66.7,2,2,4,0,0,3,1,3,4,0
88,N. Ochavo,,18:09,4,1-6,16.7,1-4,25,0-2,0,2-6,33.3,3,2,5,7,2,1,0,3,3,2
81,P. Bagay,,08:22,4,1-4,25,1-3,33.3,0-1,0,2-2,100,0,0,0,0,0,0,0,0,1,2
12,B. Angeles,,09:49,2,1-1,100,1-1,100,0-0,0,0-0,0,0,4,4,3,0,0,0,1,0,6
17,D. Ednilag,,04:08,1,0-0,0,0-0,0,0-0,0,1-4,25,1,2,3,0,2,1,0,1,2,0
10,J. Manacho,,03:52,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,2,0,0,0,0,0,-7
13,J. Bacud,,09:52,0,0-1,0,0-1,0,0-0,0,0-0,0,0,2,2,0,1,0,0,0,0,7
28,G. Loristo,,10:30,0,0-0,0,0-0,0,0-0,0,0-2,0,0,1,1,0,0,0,1,1,2,-5
19,J. Devera,,04:15,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,3,0,1,0,1
,,,,,,,,,,,,,,,,,,,,,,
19,M. Gojo Cruz,,30:06,18,6-15,40,4-6,66.7,2-9,22.2,4-6,66.7,1,4,5,6,3,2,3,2,5,13
8,C. Pagaran,,28:48,15,5-10,50,4-8,50,1-2,50,4-6,66.7,2,7,9,4,0,1,0,2,6,14
14,C. Abis,,12:07,11,5-6,83.3,4-4,100,1-2,50,0-0,0,1,1,2,2,4,0,1,4,0,8
21,J. Nunez,,29:20,2,1-5,20,1-4,25,0-1,0,0-2,0,2,4,6,0,0,0,2,3,2,18
33,J. Manuel,,16:41,0,0-3,0,0-1,0,0-2,0,0-0,0,0,5,5,3,0,1,1,2,0,-5
,bench ,,,,,,,,,,,,,,,,,,,,,
9,S. Orgo,,24:20,9,3-7,42.9,2-4,50,1-3,33.3,2-4,50,3,4,7,2,3,3,0,2,4,5
91,J. Boral,,14:57,5,1-8,12.5,1-5,20,0-3,0,3-4,75,2,3,5,2,0,0,0,1,2,-15
25,A. Gelsano,,21:46,5,1-8,12.5,1-5,20,0-3,0,3-5,60,2,0,2,2,0,0,0,4,3,5
13,H. Montemayor,,09:36,3,1-2,50,0-0,0,1-2,50,0-0,0,0,0,0,0,0,0,0,0,0,-9
20,E. Pizarro,,06:20,2,0-0,0,0-0,0,0-0,0,2-4,50,2,3,5,0,3,0,0,2,2,1
12,N. Sevilla,,04:15,2,1-2,50,1-2,50,0-0,0,0-0,0,0,1,1,0,2,0,0,0,0,0
28,R. Cauguiran,,01:29,1,0-0,0,0-0,0,0-0,0,1-2,50,0,0,0,0,1,0,0,1,1,-5
17,R. Movida,,00:10,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,0
