NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
21,Y. Andrada,,29:44,16,7-9,77.8,6-7,85.7,1-2,50,1-1,100,1,9,10,3,0,0,0,0,1,31
9,B. Sajonia,,20:30,14,4-8,50,2-3,66.7,2-5,40,4-4,100,0,1,1,1,2,0,1,0,4,0
1,J. Puno,,27:14,13,5-9,55.6,4-8,50,1-1,100,2-4,50,1,4,5,1,1,0,0,0,4,-1
27,M. Songcuya,,18:32,3,1-4,25,1-4,25,0-0,0,1-2,50,2,4,6,0,5,1,2,5,3,-3
77,J. Royo,,07:40,0,0-3,0,0-2,0,0-1,0,0-0,0,0,0,0,1,0,0,0,3,1,-8
,bench ,,,,,,,,,,,,,,,,,,,,,
18,J. Payosing,,17:24,13,4-7,57.1,3-6,50,1-1,100,4-5,80,0,4,4,2,0,0,0,0,3,14
4,O. Tagle,,17:09,9,3-4,75,0-0,0,3-4,75,0-0,0,1,3,4,0,0,1,0,2,0,21
0,Z. Estacio,,14:27,5,2-3,66.7,1-2,50,1-1,100,0-0,0,0,2,2,1,0,0,0,0,0,28
10,R. Jalbuena,,07:49,2,1-2,50,1-1,100,0-1,0,0-0,0,0,2,2,1,2,1,1,1,1,14
33,D. Celzo,,08:41,2,0-1,0,0-1,0,0-0,0,2-2,100,1,1,2,0,0,0,0,2,1,4
12,N. Gonzales,,17:54,0,0-4,0,0-3,0,0-1,0,0-0,0,1,2,3,1,1,0,0,3,0,-3
11,J. Tagala,,03:31,0,0-0,0,0-0,0,0-0,0,0-0,0,0,2,2,0,0,1,0,0,0,2
16,A. Sollano,,01:56,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-6
13,RC. Calimag,,06:01,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,0,0,0,0,1,0,-4
2,K. Culdora,,01:20,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,0,1,0,-4
,,,,,,,,,,,,,,,,,,,,,,
9,S. Argente,,25:46,27,8-16,50,4-6,66.7,4-10,40,7-9,77.8,0,2,2,1,1,2,0,3,8,-3
31,M. Raymundo,,20:16,8,2-6,33.3,1-5,20,1-1,100,3-4,75,1,1,2,1,1,0,0,1,3,-24
94,J. Lozano,,17:07,4,1-7,14.3,0-4,0,1-3,33.3,1-2,50,0,1,1,1,0,0,0,0,1,-11
14,M. Barrera,,14:01,2,1-5,20,1-3,33.3,0-2,0,0-0,0,0,0,0,0,0,0,0,2,0,-19
27,I. Panapanaan,,24:46,0,0-2,0,0-2,0,0-0,0,0-0,0,3,4,7,5,1,1,2,1,1,-4
19,K. De Jesus,,04:30,0,0-2,0,0-2,0,0-0,0,0-0,0,0,0,0,1,0,0,0,0,1,-1
8,W. De Leon,,04:52,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,1,0,2,0,-11
7,J. Pangilinan,,02:22,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,0,0,0,0,0,0,-9
,starters ,,,,,,,,,,,,,,,,,,,,,
1,S. Mosqueda,,18:44,7,3-11,27.3,3-9,33.3,0-2,0,1-1,100,1,2,3,1,0,0,1,1,2,1
5,J. Guiab,,26:12,6,3-5,60,3-5,60,0-0,0,0-1,0,1,4,5,2,2,1,0,3,2,2
16,V. Sarmiento,,10:03,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,2,3,5,1,0,0,0,2,0,-9
26,J. Medina,,26:15,2,1-5,20,1-4,25,0-1,0,0-0,0,1,0,1,1,3,0,2,2,0,8
3,P. Ramos,,04:59,0,0-2,0,0-2,0,0-0,0,0-0,0,0,0,0,1,1,0,0,1,0,-5
