NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
39,W. Ynot,,32:26,15,5-19,26.3,2-7,28.6,3-12,25,2-2,100,2,4,6,4,2,2,0,1,2,-5
34,A. Liwag,,34:13,12,5-15,33.3,5-15,33.3,0-0,0,2-6,33.3,5,10,15,5,2,0,0,3,4,-1
9,M. Sangco,,22:21,11,4-8,50,2-6,33.3,2-2,100,1-2,50,1,3,4,0,0,0,1,0,1,-22
17,J. Ancheta,,07:56,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,0,2,2,2,0,0,0,2,1,-5
0,M. Oli,,06:50,2,1-2,50,1-1,100,0-1,0,0-0,0,1,0,1,0,0,0,0,1,1,-3
,bench ,,,,,,,,,,,,,,,,,,,,,
13,I. Torres,,18:17,7,3-5,60,3-3,100,0-2,0,1-3,33.3,0,3,3,2,2,1,0,1,4,21
11,J. Cajucom,,07:38,6,2-3,66.7,2-3,66.7,0-0,0,2-2,100,0,2,2,0,2,0,0,3,1,9
20,J. Sanchez,,28:44,5,2-5,40,2-4,50,0-1,0,1-3,33.3,4,2,6,2,4,3,1,4,4,-2
22,J. Eusebio,,12:27,5,2-9,22.2,1-3,33.3,1-6,16.7,0-0,0,1,1,2,0,0,2,0,0,0,27
72,G. Cometa,,17:59,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,1,1,2,3,0,0,2,0,-21
6,J. Morales,,10:05,0,0-1,0,0-0,0,0-1,0,0-2,0,1,1,2,0,0,0,0,0,1,-5
8,A. Turco,,00:58,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-3
,,,,,,,,,,,,,,,,,,,,,,
29,V. Cuajao,,37:34,20,5-11,45.5,0-0,0,5-11,45.5,5-5,100,1,0,1,2,0,1,0,2,3,6
26,S. Estrada,,32:12,17,8-13,61.5,8-13,61.5,0-0,0,1-2,50,2,3,5,3,6,2,1,5,3,14
9,P. Javillonar,,23:24,13,4-11,36.4,2-3,66.7,2-8,25,3-4,75,0,3,3,0,0,0,0,4,4,-19
7,N. Montecillo,,29:51,8,3-9,33.3,1-3,33.3,2-6,33.3,0-0,0,0,4,4,6,2,1,0,3,1,12
15,I. Dimaano,,17:04,0,0-4,0,0-2,0,0-2,0,0-0,0,1,3,4,0,1,0,0,1,0,-10
,bench ,,,,,,,,,,,,,,,,,,,,,
39,K. Monje,,16:24,8,2-3,66.7,1-2,50,1-1,100,3-3,100,1,1,2,0,2,0,0,2,3,-2
4,K. Santos,,16:35,2,1-6,16.7,1-5,20,0-1,0,0-0,0,3,1,4,1,0,1,2,0,1,21
1,J. Nunag,,06:31,2,1-1,100,1-1,100,0-0,0,0-0,0,0,1,1,0,0,0,1,0,0,14
25,E. Galoy,,04:12,1,0-4,0,0-2,0,0-2,0,1-2,50,1,0,1,0,0,1,0,0,1,-13
17,C. Delfino,,07:32,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,1,0,0,0,0,0,-6
91,J. Baliling,,03:29,0,0-1,0,0-0,0,0-1,0,0-0,0,1,2,3,0,0,0,0,1,1,0
2,J. Miller,,02:54,0,0-3,0,0-0,0,0-3,0,0-0,0,0,1,1,0,0,0,0,1,0,-4
20,J. Jumao-os,,01:59,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,-3
19,J. Pradella,,00:13,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
