NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
8,C. Pagaran,,24:00,12,6-14,42.9,6-7,85.7,0-7,0,0-0,0,1,8,9,3,5,0,1,2,0,2
14,C. Abis,,24:26,12,5-10,50,5-10,50,0-0,0,2-2,100,0,2,2,1,2,3,0,1,3,-3
19,M. Gojo Cruz,,27:06,10,3-7,42.9,1-2,50,2-5,40,2-2,100,0,4,4,1,2,1,0,0,1,6
9,S. Orgo,,28:45,6,2-5,40,1-3,33.3,1-2,50,1-1,100,0,8,8,3,1,2,0,1,4,8
21,J. Nunez,,23:54,0,0-2,0,0-2,0,0-0,0,0-0,0,0,5,5,3,2,0,1,3,2,0
,bench ,,,,,,,,,,,,,,,,,,,,,
25,A. Gelsano,,16:09,8,4-6,66.7,4-5,80,0-1,0,0-0,0,1,6,7,3,1,1,0,0,0,11
91,J. Boral,,23:01,8,2-8,25,2-6,33.3,0-2,0,4-7,57.1,0,9,9,2,2,1,1,2,5,10
20,E. Pizarro,,14:28,4,2-5,40,2-5,40,0-0,0,0-0,0,0,3,3,1,2,1,0,1,0,7
33,J. Manuel,,11:14,0,0-0,0,0-0,0,0-0,0,0-0,0,0,2,2,2,2,0,0,2,1,0
13,H. Montemayor,,06:51,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,1,1,0,0,1,0,-1
,,,,,,,,,,,,,,,,,,,,,,
4,R. Are,,28:57,11,4-12,33.3,4-6,66.7,0-6,0,3-5,60,3,4,7,3,3,3,0,2,5,1
12,M. Pascual,,12:43,5,2-4,50,1-1,100,1-3,33.3,0-0,0,0,3,3,1,1,0,0,0,0,-4
18,T. Felebrico,,31:02,5,1-7,14.3,1-3,33.3,0-4,0,3-4,75,1,3,4,0,2,1,0,2,3,-6
24,L. Velasco,,20:56,4,2-6,33.3,2-5,40,0-1,0,0-1,0,2,2,4,1,0,0,0,0,1,1
13,H. Ricio,,23:11,2,1-8,12.5,1-5,20,0-3,0,0-0,0,2,4,6,0,1,2,0,2,1,0
,bench ,,,,,,,,,,,,,,,,,,,,,
7,L. Gabat,,12:45,8,4-8,50,4-6,66.7,0-2,0,0-0,0,0,1,1,2,1,2,0,4,0,4
11,R. Escobido,,15:10,7,2-13,15.4,1-6,16.7,1-7,14.3,2-2,100,1,3,4,1,1,1,0,0,1,-7
17,R. Gabat,,16:30,5,2-8,25,2-3,66.7,0-5,0,1-2,50,0,3,3,1,0,1,0,2,2,2
2,R. Maliwat,,12:15,3,1-4,25,0-2,0,1-2,50,0-0,0,0,1,1,1,0,0,0,1,0,-9
26,J. Lintol,,06:30,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,2,1,3,0,0,0,0,1,0,-7
52,A. Aguilar,,05:22,0,0-2,0,0-2,0,0-0,0,0-0,0,1,1,2,0,0,0,0,0,0,-2
25,I. Suico,,07:50,0,0-2,0,0-1,0,0-1,0,0-0,0,0,1,1,0,1,0,0,1,0,-7
0,J. Barroga,,06:00,0,0-1,0,0-0,0,0-1,0,0-0,0,1,0,1,0,1,0,0,0,0,-4
77,C. Cruz,,00:44,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,2,0,-2
