NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
3,J. Barba,,24:36,25,8-12,66.7,4-7,57.1,4-5,80,5-7,71.4,1,8,9,1,3,0,0,4,4,14
24,J. Daileg,,21:06,14,4-5,80,2-2,100,2-3,66.7,4-6,66.7,0,4,4,0,0,1,0,0,3,11
20,R. Villegas,,16:24,8,3-5,60,3-5,60,0-0,0,2-3,66.7,1,1,2,5,2,0,0,2,3,5
11,K. Caduyac,,14:18,6,1-4,25,1-1,100,0-3,0,4-5,80,0,0,0,0,0,0,0,2,3,3
14,J. Panelo,,06:20,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,4,0,-1
,starters ,,,,,,,,,,,,,,,,,,,,,
7,M. Guadana,,28:42,16,6-11,54.5,5-8,62.5,1-3,33.3,3-4,75,1,4,5,3,0,2,1,1,4,18
18,V. Cunanan,,28:42,15,5-11,45.5,4-5,80,1-6,16.7,4-4,100,1,5,6,5,1,1,0,1,4,19
17,S. Penafiel,,13:00,5,2-5,40,2-5,40,0-0,0,1-2,50,1,0,1,2,1,0,0,2,1,-8
13,G. Montano,,23:14,5,2-4,50,1-1,100,1-3,33.3,0-0,0,0,1,1,1,2,2,0,4,1,12
15,G. Aviles,,23:34,2,0-3,0,0-3,0,0-0,0,2-4,50,1,2,3,0,0,1,0,2,4,2
,,,,,,,,,,,,,,,,,,,,,,
18,J. Bancale,,18:55,14,5-6,83.3,3-3,100,2-3,66.7,2-2,100,1,2,3,2,1,0,0,3,2,-7
0,C. Escamis,,34:59,13,2-13,15.4,2-6,33.3,0-7,0,9-12,75,2,2,4,6,1,1,0,4,7,-14
72,C. Hubilla,,23:26,13,5-7,71.4,5-7,71.4,0-0,0,3-4,75,0,1,1,0,2,0,0,5,5,-13
1,M. Igliane,,23:44,6,1-5,20,1-4,25,0-1,0,4-4,100,1,3,4,1,0,1,1,1,2,1
5,J. Recto,,19:41,4,2-6,33.3,2-3,66.7,0-3,0,0-0,0,2,7,9,3,3,1,1,2,2,-7
,bench ,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,29:41,11,4-11,36.4,1-3,33.3,3-8,37.5,0-0,0,2,3,5,4,1,0,0,4,0,-14
12,L. Mangubat,,24:46,10,4-12,33.3,3-3,100,1-9,11.1,1-2,50,5,1,6,3,3,1,0,3,1,-16
34,Y. Concepcion,,13:48,5,2-3,66.7,2-3,66.7,0-0,0,1-2,50,1,3,4,0,0,2,0,1,1,-4
35,E. Ryan,,02:38,3,1-1,100,1-1,100,0-0,0,1-2,50,0,1,1,0,0,0,0,1,1,-2
7,J. Jabonete,,05:15,2,1-1,100,1-1,100,0-0,0,0-0,0,1,3,4,0,2,0,0,3,0,-1
2,N. Agemenyi,,03:02,0,0-3,0,0-2,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,1,2
