NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
4,K. Santos,,29:42,17,6-9,66.7,6-9,66.7,0-0,0,5-5,100,1,4,5,0,2,1,6,2,5,1
29,V. Cuajao,,35:04,14,5-11,45.5,2-2,100,3-9,33.3,1-2,50,0,2,2,3,1,1,0,2,1,8
26,S. Estrada,,32:37,11,5-8,62.5,5-7,71.4,0-1,0,1-1,100,1,7,8,7,7,1,1,4,5,7
9,P. Javillonar,,24:32,10,2-6,33.3,1-1,100,1-5,20,5-5,100,0,5,5,2,4,0,0,3,5,-9
7,N. Montecillo,,28:04,9,4-8,50,3-4,75,1-4,25,0-0,0,0,2,2,3,3,1,0,4,2,2
,bench ,,,,,,,,,,,,,,,,,,,,,
2,J. Miller,,07:47,8,2-4,50,2-4,50,0-0,0,4-4,100,1,1,2,0,1,1,0,0,3,4
1,J. Nunag,,18:36,4,2-4,50,2-4,50,0-0,0,0-0,0,0,7,7,0,3,0,0,2,0,10
20,J. Jumao-os,,06:21,2,1-2,50,1-2,50,0-0,0,0-0,0,0,1,1,0,0,0,0,2,0,-14
6,K. Tagotongan,,05:37,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,2,0,0,0,1,-2
25,E. Galoy,,03:33,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,0,1,0
15,I. Dimaano,,03:24,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,0
19,J. Pradella,,03:47,0,0-2,0,0-1,0,0-1,0,0-0,0,0,1,1,0,0,0,0,2,0,2
91,J. Baliling,,00:51,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,
3,K. Gurtiza,,32:26,19,6-21,28.6,3-13,23.1,3-8,37.5,4-4,100,3,2,5,2,1,1,0,2,4,9
91,W. Oftana,,12:40,6,3-9,33.3,3-4,75,0-5,0,0-0,0,1,1,2,2,0,2,0,4,0,14
88,N. Ochavo,,12:42,4,1-2,50,1-1,100,0-1,0,2-2,100,3,0,3,4,1,1,0,3,5,-4
13,J. Bacud,,14:57,3,1-1,100,1-1,100,0-0,0,1-2,50,3,2,5,0,0,0,0,0,2,-7
11,R. Postanes,,04:55,1,0-0,0,0-0,0,0-0,0,1-2,50,0,0,0,0,0,1,0,0,1,-3
,bench ,,,,,,,,,,,,,,,,,,,,,
28,G. Loristo,,18:34,11,4-5,80,3-4,75,1-1,100,2-3,66.7,2,4,6,1,2,1,1,5,2,-4
16,K. Jacob,,16:32,11,4-6,66.7,4-6,66.7,0-0,0,3-4,75,1,0,1,0,0,1,0,1,2,6
61,A. Doromal,,17:20,7,3-8,37.5,2-6,33.3,1-2,50,0-0,0,1,1,2,1,2,0,0,1,0,9
9,H. Pagsanjan,,29:31,4,2-9,22.2,2-7,28.6,0-2,0,0-0,0,1,4,5,1,0,2,0,3,0,1
8,J. Luciano,,12:07,3,0-2,0,0-1,0,0-1,0,3-4,75,0,1,1,1,0,0,0,0,2,-12
71,N. Lucero,,09:53,2,1-7,14.3,1-6,16.7,0-1,0,0-0,0,0,0,0,3,3,1,0,3,1,-9
81,P. Bagay,,02:20,2,1-1,100,1-1,100,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,-1
14,G. Quinal,,08:18,0,0-6,0,0-2,0,0-4,0,0-0,0,1,0,1,1,0,0,0,0,0,-7
19,J. Devera,,03:32,0,0-2,0,0-2,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,1,3
15,E. Umpad,,04:06,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,1,-5
