NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,29:51,26,10-15,66.7,6-8,75,4-7,57.1,2-4,50,1,2,3,3,2,1,1,4,2,21
18,J. Bancale,,16:41,6,1-3,33.3,1-2,50,0-1,0,4-5,80,1,1,2,6,2,0,0,2,2,12
7,J. Jabonete,,14:24,6,3-5,60,3-4,75,0-1,0,0-0,0,1,5,6,0,0,0,0,0,0,8
34,Y. Concepcion,,19:00,6,2-5,40,2-3,66.7,0-2,0,2-2,100,0,3,3,0,0,2,0,2,1,7
3,S. Abdulla,,02:10,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,0,0,-3
11,A. Fermin,,03:23,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,-4
2,N. Agemenyi,,03:39,0,0-0,0,0-0,0,0-0,0,0-2,0,0,0,0,0,0,0,0,2,1,2
,starters ,,,,,,,,,,,,,,,,,,,,,
0,C. Escamis,,27:42,25,8-16,50,6-8,75,2-8,25,7-9,77.8,1,3,4,4,2,2,0,4,9,19
72,C. Hubilla,,21:23,12,5-8,62.5,5-8,62.5,0-0,0,2-4,50,1,1,2,0,1,0,0,4,2,7
1,M. Igliane,,25:47,6,2-4,50,1-3,33.3,1-1,100,1-2,50,5,5,10,2,1,0,0,2,1,19
12,L. Mangubat,,30:41,4,1-5,20,0-0,0,1-5,20,1-2,50,0,5,5,3,1,0,0,2,4,9
21,A. Pantaleon,,05:13,0,0-3,0,0-2,0,0-1,0,0-0,0,0,0,0,0,0,1,0,1,0,-2
,,,,,,,,,,,,,,,,,,,,,,
18,T. Felebrico,,36:46,20,5-11,45.5,2-6,33.3,3-5,60,7-10,70,3,6,9,4,2,0,0,2,7,-17
4,R. Are,,27:33,17,3-10,30,3-6,50,0-4,0,11-14,78.6,1,2,3,1,1,4,0,3,8,-22
52,A. Aguilar,,15:46,9,3-7,42.9,0-0,0,3-7,42.9,0-0,0,0,2,2,2,0,0,0,1,0,-3
77,C. Cruz,,12:53,8,3-3,100,1-1,100,2-2,100,0-0,0,0,2,2,0,0,0,0,2,1,8
7,L. Gabat,,11:40,3,0-3,0,0-1,0,0-2,0,3-4,75,0,0,0,1,1,1,0,2,3,-1
25,I. Suico,,07:28,3,1-3,33.3,0-2,0,1-1,100,0-0,0,1,0,1,0,1,0,0,1,0,-4
26,J. Lintol,,05:03,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,-3
20,K. Ramilo,,06:18,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,1,-1
,starters ,,,,,,,,,,,,,,,,,,,,,
11,R. Escobido,,18:55,7,3-8,37.5,2-5,40,1-3,33.3,0-0,0,0,2,2,1,4,0,0,2,0,-16
24,L. Velasco,,19:38,2,0-2,0,0-2,0,0-0,0,2-2,100,1,2,3,0,0,0,2,2,1,-3
17,R. Gabat,,18:51,1,0-5,0,0-3,0,0-2,0,1-2,50,1,1,2,2,2,0,0,2,2,-22
12,M. Pascual,,13:14,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,1,0,0,0,1,0,-8
13,H. Ricio,,05:49,0,0-1,0,0-1,0,0-0,0,0-0,0,1,2,3,0,0,0,0,3,0,-3
