NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
7,M. Guadana,,27:52,26,10-18,55.6,9-13,69.2,1-5,20,5-10,50,1,2,3,1,1,1,0,1,7,-15
13,G. Montano,,23:35,14,5-9,55.6,2-3,66.7,3-6,50,1-2,50,1,2,3,2,1,0,0,2,2,-12
17,S. Penafiel,,17:13,4,2-6,33.3,2-5,40,0-1,0,0-0,0,2,0,2,1,1,0,0,1,0,-13
15,G. Aviles,,18:11,3,1-4,25,0-2,0,1-2,50,0-0,0,1,2,3,0,0,0,0,2,0,-14
18,V. Cunanan,,23:56,2,0-4,0,0-1,0,0-3,0,2-2,100,1,3,4,4,1,2,0,0,4,-14
,bench ,,,,,,,,,,,,,,,,,,,,,
3,J. Barba,,24:01,12,5-14,35.7,3-6,50,2-8,25,0-0,0,1,2,3,1,2,0,0,4,0,-20
20,R. Villegas,,11:52,6,2-3,66.7,2-2,100,0-1,0,2-3,66.7,0,0,0,0,1,2,0,1,2,-13
0,D. Culanay,,02:23,4,2-3,66.7,2-2,100,0-1,0,0-0,0,0,0,0,0,0,1,0,0,0,4
4,D. Paulo,,02:03,4,2-3,66.7,2-2,100,0-1,0,0-0,0,0,0,0,0,0,0,0,2,0,4
22,O. Gordon,,10:14,2,1-4,25,1-2,50,0-2,0,0-0,0,0,0,0,0,0,1,0,1,1,-4
10,L. Pallingayan,,09:03,1,0-0,0,0-0,0,0-0,0,1-2,50,0,1,1,1,1,0,0,1,1,-5
12,N. Moralejo,,04:27,0,0-2,0,0-1,0,0-1,0,0-0,0,0,2,2,2,1,0,0,0,0,3
24,J. Daileg,,11:35,0,0-3,0,0-2,0,0-1,0,0-0,0,0,1,1,1,0,0,0,0,1,-13
11,K. Caduyac,,06:10,0,0-0,0,0-0,0,0-0,0,0-0,0,1,0,1,0,0,0,0,2,0,-8
14,J. Panelo,,07:18,0,0-2,0,0-2,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,1,-5
,,,,,,,,,,,,,,,,,,,,,,
34,A. Liwag,,29:56,22,10-12,83.3,10-12,83.3,0-0,0,2-6,33.3,3,9,12,0,2,0,1,2,5,23
6,J. Morales,,18:27,10,4-9,44.4,2-2,100,2-7,28.6,0-0,0,0,4,4,3,1,0,1,0,0,19
13,I. Torres,,20:49,9,3-6,50,2-3,66.7,1-3,33.3,2-2,100,0,6,6,4,4,1,0,3,1,19
14,R. Ondoa,,12:07,4,2-5,40,2-4,50,0-1,0,0-0,0,0,0,0,0,1,1,0,1,0,16
39,W. Ynot,,21:59,3,1-1,100,0-0,0,1-1,100,0-0,0,1,5,6,4,2,2,0,1,1,16
,bench ,,,,,,,,,,,,,,,,,,,,,
20,J. Sanchez,,20:48,18,5-5,100,5-5,100,0-0,0,8-8,100,0,3,3,5,1,1,0,1,5,21
72,G. Cometa,,18:33,9,4-7,57.1,3-4,75,1-3,33.3,0-0,0,0,2,2,1,2,0,0,1,0,7
9,M. Sangco,,09:26,8,3-4,75,2-3,66.7,1-1,100,1-2,50,1,0,1,0,0,0,0,3,1,-3
22,J. Eusebio,,07:23,7,3-4,75,2-2,100,1-2,50,0-0,0,2,0,2,0,1,0,1,1,0,3
42,I. Galas,,04:03,7,2-2,100,2-2,100,0-0,0,3-4,75,0,0,0,0,0,0,0,0,3,-3
11,J. Cajucom,,13:49,3,1-5,20,0-2,0,1-3,33.3,0-0,0,0,1,1,1,2,0,0,1,0,12
63,E. Serrano,,04:32,3,1-1,100,1-1,100,0-0,0,1-1,100,0,0,0,1,0,0,0,0,1,3
41,G. Carillo,,07:30,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,1,0,0,0,0,0,-2
8,A. Turco,,04:42,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,3,0,-1
0,M. Oli,,05:49,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,1,0,0,2,0,-5
