NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
8,C. Pagaran,,32:30,14,5-19,26.3,2-10,20,3-9,33.3,1-2,50,1,4,5,2,1,1,0,0,3,0
9,S. Orgo,,41:15,11,3-12,25,1-5,20,2-7,28.6,3-3,100,1,4,5,6,1,0,0,3,3,-13
19,M. Gojo Cruz,,19:44,9,4-13,30.8,3-6,50,1-7,14.3,0-0,0,2,1,3,2,2,0,0,1,0,10
21,J. Nunez,,32:54,4,2-6,33.3,2-6,33.3,0-0,0,0-0,0,7,4,11,1,0,0,3,3,1,-7
14,C. Abis,,34:50,2,1-7,14.3,1-5,20,0-2,0,0-3,0,2,3,5,3,2,1,0,0,3,-6
,bench ,,,,,,,,,,,,,,,,,,,,,
91,J. Boral,,36:31,14,5-15,33.3,3-8,37.5,2-7,28.6,2-2,100,2,6,8,1,4,0,1,2,2,-19
20,E. Pizarro,,13:38,8,4-5,80,4-5,80,0-0,0,0-0,0,1,4,5,1,0,1,0,1,1,4
25,A. Gelsano,,28:27,6,3-8,37.5,3-6,50,0-2,0,0-0,0,0,3,3,6,1,0,0,1,1,-7
13,H. Montemayor,,20:19,3,1-4,25,0-1,0,1-3,33.3,0-0,0,0,4,4,0,1,3,0,1,0,-6
33,J. Manuel,,14:34,2,1-5,20,1-4,25,0-1,0,0-2,0,3,1,4,0,1,2,0,0,1,-1
18,K. Thompson,,00:12,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
29,V. Cuajao,,48:54,19,7-18,38.9,2-3,66.7,5-15,33.3,0-0,0,0,5,5,3,1,2,0,2,0,16
7,N. Montecillo,,31:08,14,4-16,25,0-3,0,4-13,30.8,2-2,100,4,2,6,2,1,1,0,2,3,11
26,S. Estrada,,47:49,12,5-15,33.3,5-13,38.5,0-2,0,2-2,100,1,14,15,7,3,1,0,2,2,16
4,K. Santos,,47:53,12,4-11,36.4,4-10,40,0-1,0,4-4,100,8,7,15,1,4,2,5,2,3,11
9,P. Javillonar,,28:34,6,3-8,37.5,3-4,75,0-4,0,0-0,0,2,1,3,2,1,0,0,1,1,4
,bench ,,,,,,,,,,,,,,,,,,,,,
1,J. Nunag,,27:29,11,5-7,71.4,4-6,66.7,1-1,100,0-1,0,2,4,6,1,2,0,0,3,1,14
2,J. Miller,,24:57,8,3-9,33.3,2-6,33.3,1-3,33.3,1-1,100,2,5,7,3,2,2,0,1,2,-2
15,I. Dimaano,,03:33,0,0-0,0,0-0,0,0-0,0,0-0,0,1,0,1,0,1,0,0,1,0,-4
91,J. Baliling,,01:20,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,0,0,0,0,0,-2
8,R. Go,,02:29,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-7
20,J. Jumao-os,,04:45,0,0-4,0,0-1,0,0-3,0,0-0,0,0,0,0,0,0,0,0,0,0,-5
17,C. Delfino,,06:05,0,0-3,0,0-2,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,-7
