NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
5,J. Guiab,,20:38,17,6-10,60,5-7,71.4,1-3,33.3,4-4,100,0,3,3,2,1,0,0,1,4,11
7,J. Pangilinan,,28:27,12,3-10,30,1-5,20,2-5,40,4-5,80,2,2,4,3,1,2,0,2,3,-13
31,M. Raymundo,,32:14,11,3-13,23.1,3-12,25,0-1,0,5-8,62.5,4,3,7,3,3,2,0,2,4,-3
21,L. Benitez,,24:52,4,2-2,100,2-2,100,0-0,0,0-1,0,1,5,6,2,2,0,1,2,1,-4
1,S. Mosqueda,,06:38,2,1-1,100,1-1,100,0-0,0,0-0,0,1,0,1,1,1,1,0,0,0,-1
,bench ,,,,,,,,,,,,,,,,,,,,,
27,I. Panapanaan,,22:57,15,5-8,62.5,5-8,62.5,0-0,0,5-6,83.3,2,2,4,3,3,1,3,2,4,-14
9,S. Argente,,18:59,11,2-10,20,0-3,0,2-7,28.6,5-6,83.3,0,2,2,2,1,1,0,4,3,-7
32,D. Garcia,,13:39,4,2-5,40,2-4,50,0-1,0,0-0,0,1,3,4,1,0,3,1,1,1,4
19,K. De Jesus,,05:19,2,1-2,50,1-2,50,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,4
14,M. Barrera,,09:51,2,0-2,0,0-1,0,0-1,0,2-2,100,0,0,0,0,1,0,0,0,2,-6
8,W. De Leon,,03:21,1,0-1,0,0-1,0,0-0,0,1-2,50,1,0,1,0,0,0,0,0,1,-8
3,P. Ramos,,02:38,0,0-1,0,0-1,0,0-0,0,0-0,0,1,0,1,1,0,0,0,1,0,-4
17,R. Samontanes,,05:59,0,0-0,0,0-0,0,0-0,0,0-0,0,0,2,2,0,1,0,0,1,0,6
16,V. Sarmiento,,02:40,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,-2
55,C. Ferrer,,01:41,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,2
,,,,,,,,,,,,,,,,,,,,,,
0,C. Escamis,,30:30,19,7-17,41.2,3-6,50,4-11,36.4,1-1,100,1,3,4,2,3,0,0,1,1,9
12,L. Mangubat,,32:41,16,6-13,46.2,4-5,80,2-8,25,2-2,100,1,4,5,1,2,2,0,4,2,10
72,C. Hubilla,,26:22,15,6-10,60,6-9,66.7,0-1,0,3-6,50,0,3,3,3,2,0,0,3,5,3
1,M. Igliane,,16:35,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,0,2,2,1,3,1,1,3,1,13
34,Y. Concepcion,,14:56,4,1-2,50,1-2,50,0-0,0,2-3,66.7,3,0,3,0,1,1,0,4,2,7
,bench ,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,20:15,13,5-9,55.6,4-6,66.7,1-3,33.3,2-3,66.7,0,1,1,1,0,0,0,2,2,4
18,J. Bancale,,15:26,10,4-11,36.4,3-9,33.3,1-2,50,1-1,100,5,3,8,2,1,0,0,3,3,6
7,J. Jabonete,,16:28,4,2-7,28.6,2-5,40,0-2,0,0-0,0,4,5,9,1,1,0,0,1,1,2
6,J. Garcia,,08:48,3,1-4,25,0-0,0,1-4,25,0-0,0,0,0,0,0,0,0,0,1,0,-3
35,E. Ryan,,07:49,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,1,0,1,1,1
11,A. Fermin,,04:32,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,0,0,0,0,1,-5
2,N. Agemenyi,,05:20,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,-8
21,A. Pantaleon,,00:14,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,-4
