NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
3,K. Gurtiza,,30:27,21,7-18,38.9,2-7,28.6,5-11,45.5,2-3,66.7,1,4,5,5,2,1,0,3,1,-4
61,A. Doromal,,17:53,9,3-10,30,1-4,25,2-6,33.3,1-2,50,0,1,1,2,0,1,0,3,1,-3
9,H. Pagsanjan,,21:20,8,4-8,50,4-7,57.1,0-1,0,0-0,0,2,2,4,1,2,0,0,4,0,0
28,G. Loristo,,14:56,8,3-4,75,1-2,50,2-2,100,0-2,0,0,1,1,0,0,0,2,1,1,-2
16,K. Jacob,,23:17,2,1-2,50,1-2,50,0-0,0,0-2,0,0,4,4,0,2,1,0,2,1,9
,bench ,,,,,,,,,,,,,,,,,,,,,
81,P. Bagay,,12:56,11,4-5,80,3-3,100,1-2,50,2-3,66.7,1,2,3,0,1,0,0,1,2,11
14,G. Quinal,,11:03,8,3-8,37.5,1-2,50,2-6,33.3,0-0,0,1,1,2,0,0,0,0,1,0,4
88,N. Ochavo,,12:42,7,2-5,40,0-1,0,2-4,50,1-2,50,3,2,5,1,0,1,0,2,2,3
91,W. Oftana,,19:00,6,2-7,28.6,1-5,20,1-2,50,1-4,25,5,5,10,0,0,1,2,2,3,-8
71,N. Lucero,,11:31,5,2-3,66.7,2-3,66.7,0-0,0,1-2,50,0,3,3,8,3,0,0,1,2,3
8,J. Luciano,,13:15,5,2-4,50,2-4,50,0-0,0,1-2,50,1,2,3,0,0,0,0,0,4,-3
12,B. Angeles,,01:59,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,1,0,-8
10,J. Manacho,,04:07,0,0-1,0,0-1,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,2
15,E. Umpad,,05:26,0,0-0,0,0-0,0,0-0,0,0-2,0,0,0,0,0,0,0,0,0,1,6
,,,,,,,,,,,,,,,,,,,,,,
3,J. Barba,,29:49,19,5-19,26.3,3-9,33.3,2-10,20,7-8,87.5,3,11,14,4,2,1,0,3,6,1
20,R. Villegas,,25:57,12,4-11,36.4,2-6,33.3,2-5,40,2-2,100,1,2,3,2,2,0,0,0,2,1
12,N. Moralejo,,11:13,7,2-4,50,1-3,33.3,1-1,100,2-2,100,2,1,3,1,1,2,0,1,1,3
24,J. Daileg,,18:54,5,2-4,50,1-2,50,1-2,50,0-0,0,1,2,3,1,0,0,1,1,0,3
11,K. Caduyac,,05:27,5,2-4,50,1-1,100,1-3,33.3,0-0,0,0,0,0,0,0,0,0,1,0,-2
22,O. Gordon,,09:31,4,1-3,33.3,0-1,0,1-2,50,1-2,50,1,3,4,0,1,0,0,3,1,9
14,J. Panelo,,03:27,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
,starters ,,,,,,,,,,,,,,,,,,,,,
13,G. Montano,,24:45,14,3-6,50,0-1,0,3-5,60,5-6,83.3,0,6,6,1,1,0,1,3,4,-10
17,S. Penafiel,,21:22,11,5-7,71.4,5-6,83.3,0-1,0,1-2,50,1,0,1,3,1,0,0,0,1,2
18,V. Cunanan,,26:49,5,1-10,10,1-6,16.7,0-4,0,3-4,75,1,3,4,8,0,2,0,3,5,-10
15,G. Aviles,,20:52,4,2-4,50,2-4,50,0-0,0,0-1,0,2,3,5,1,0,1,0,3,1,-5
7,M. Guadana,,01:48,2,1-2,50,1-1,100,0-1,0,0-0,0,1,0,1,0,0,0,0,0,0,0
