NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
11,R. Escobido,,34:51,29,13-30,43.3,12-20,60,1-10,10,2-2,100,2,2,4,3,1,3,1,1,4,-14
4,R. Are,,33:39,20,7-17,41.2,4-11,36.4,3-6,50,3-4,75,2,0,2,3,3,7,0,4,4,8
18,T. Felebrico,,33:17,9,3-8,37.5,3-5,60,0-3,0,3-4,75,3,5,8,3,3,2,0,3,3,4
0,J. Barroga,,08:59,2,1-2,50,1-1,100,0-1,0,0-0,0,3,1,4,1,1,0,0,0,0,-14
24,L. Velasco,,21:17,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,2,3,5,0,1,1,1,3,0,1
,bench ,,,,,,,,,,,,,,,,,,,,,
17,R. Gabat,,24:24,12,5-13,38.5,4-7,57.1,1-6,16.7,1-2,50,3,4,7,1,1,2,0,2,2,12
52,A. Aguilar,,20:09,9,4-7,57.1,3-5,60,1-2,50,0-0,0,0,1,1,0,2,2,0,2,0,24
7,L. Gabat,,10:57,4,2-6,33.3,2-4,50,0-2,0,0-0,0,0,1,1,2,0,2,0,3,0,-2
13,H. Ricio,,11:39,3,1-2,50,0-0,0,1-2,50,0-0,0,0,1,1,1,0,1,0,3,0,-13
25,I. Suico,,08:46,2,0-1,0,0-0,0,0-1,0,2-2,100,0,2,2,0,0,0,0,1,1,-8
26,J. Lintol,,03:33,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,0,0,1,0,0,0
12,M. Pascual,,11:01,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,0,0,0,1,0,0,-9
77,C. Cruz,,02:21,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,
39,W. Ynot,,30:34,23,8-13,61.5,5-7,71.4,3-6,50,4-5,80,3,5,8,8,6,1,0,3,2,7
13,I. Torres,,13:44,8,3-5,60,1-3,33.3,2-2,100,0-0,0,1,2,3,2,4,3,0,1,0,5
8,A. Turco,,08:19,6,3-4,75,3-4,75,0-0,0,0-1,0,1,3,4,0,1,0,0,0,1,6
6,J. Morales,,10:34,6,2-5,40,0-2,0,2-3,66.7,0-0,0,1,1,2,0,2,0,0,0,0,10
17,J. Ancheta,,10:25,5,1-1,100,1-1,100,0-0,0,3-5,60,0,1,1,3,4,0,0,1,2,3
14,R. Ondoa,,05:40,4,2-2,100,2-2,100,0-0,0,0-0,0,0,0,0,0,0,0,1,0,0,5
1,Z. Jarque,,07:38,3,1-3,33.3,0-0,0,1-3,33.3,0-0,0,0,0,0,0,1,0,0,2,0,-4
9,M. Sangco,,20:47,2,1-2,50,1-2,50,0-0,0,0-0,0,1,3,4,1,1,2,1,1,0,-5
0,M. Oli,,02:47,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,2,0,2
,starters ,,,,,,,,,,,,,,,,,,,,,
34,A. Liwag,,36:30,17,7-12,58.3,7-12,58.3,0-0,0,3-7,42.9,4,7,11,4,1,0,1,1,7,-2
20,J. Sanchez,,32:14,8,2-8,25,2-7,28.6,0-1,0,4-6,66.7,2,8,10,4,3,0,1,2,3,-4
22,J. Eusebio,,10:37,7,3-4,75,3-3,100,0-1,0,1-6,16.7,2,1,3,0,1,0,0,0,4,1
72,G. Cometa,,21:35,4,2-6,33.3,2-4,50,0-2,0,0-0,0,1,1,2,4,5,1,0,1,0,1
11,J. Cajucom,,13:30,3,1-4,25,0-1,0,1-3,33.3,0-0,0,0,0,0,2,1,2,0,0,1,-15
