NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
4,K. Santos,,34:22,18,6-13,46.2,5-10,50,1-3,33.3,5-6,83.3,2,7,9,3,1,0,3,2,4,6
26,S. Estrada,,36:08,16,8-18,44.4,8-16,50,0-2,0,0-0,0,1,5,6,8,4,0,1,4,0,3
29,V. Cuajao,,34:22,12,4-12,33.3,0-0,0,4-12,33.3,0-0,0,0,3,3,2,0,1,0,3,2,6
1,J. Nunag,,28:32,7,3-9,33.3,2-6,33.3,1-3,33.3,0-0,0,1,9,10,1,0,0,1,5,1,4
7,N. Montecillo,,29:37,5,1-6,16.7,0-2,0,1-4,25,2-3,66.7,1,5,6,4,1,0,0,3,1,14
,bench ,,,,,,,,,,,,,,,,,,,,,
2,J. Miller,,10:22,4,2-4,50,2-3,66.7,0-1,0,0-0,0,0,1,1,0,0,0,0,1,1,-16
39,K. Monje,,11:44,2,1-3,33.3,1-1,100,0-2,0,0-0,0,0,2,2,0,0,0,0,0,0,-3
20,J. Jumao-os,,03:12,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,0,0,0,0,0,-4
8,R. Go,,03:29,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,1,0,-6
15,I. Dimaano,,07:29,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,1,0,-13
91,J. Baliling,,00:38,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-1
,,,,,,,,,,,,,,,,,,,,,,
1,J. Puno,,30:27,22,8-14,57.1,8-13,61.5,0-1,0,6-7,85.7,0,10,10,2,1,0,0,1,5,6
27,M. Songcuya,,15:50,8,4-6,66.7,4-6,66.7,0-0,0,0-0,0,3,5,8,0,0,0,1,0,2,-15
21,Y. Andrada,,27:53,8,3-15,20,1-4,25,2-11,18.2,0-0,0,2,1,3,0,0,0,0,1,1,-17
4,O. Tagle,,13:14,3,1-5,20,0-2,0,1-3,33.3,0-0,0,1,1,2,1,0,0,0,0,1,-8
12,N. Gonzales,,11:16,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,2,1,0,0,0,0,-15
,bench ,,,,,,,,,,,,,,,,,,,,,
33,D. Celzo,,22:02,8,2-3,66.7,2-3,66.7,0-0,0,4-4,100,4,1,5,1,1,1,1,2,3,16
9,B. Sajonia,,24:09,8,3-12,25,2-5,40,1-7,14.3,1-2,50,1,4,5,1,1,0,0,2,3,17
18,J. Payosing,,21:23,6,3-7,42.9,3-6,50,0-1,0,0-2,0,1,6,7,0,0,0,0,1,1,19
0,Z. Estacio,,19:07,3,1-4,25,0-1,0,1-3,33.3,0-4,0,0,1,1,1,0,1,0,2,3,18
13,RC. Calimag,,06:56,0,0-1,0,0-0,0,0-1,0,0-0,0,0,3,3,0,0,0,0,0,1,-3
11,J. Tagala,,01:46,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-3
77,J. Royo,,05:52,0,0-3,0,0-2,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,-5
