NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
0,C. Escamis,,34:38,15,4-14,28.6,2-6,33.3,2-8,25,5-6,83.3,1,4,5,8,3,4,0,2,4,10
72,C. Hubilla,,27:13,15,3-10,30,3-10,30,0-0,0,9-11,81.8,1,7,8,1,3,1,0,4,6,15
12,L. Mangubat,,29:19,9,3-13,23.1,1-5,20,2-8,25,1-1,100,3,1,4,1,1,2,0,2,2,9
34,Y. Concepcion,,21:36,7,3-4,75,3-4,75,0-0,0,1-2,50,6,4,10,0,2,1,0,4,3,1
1,M. Igliane,,17:57,6,1-5,20,0-3,0,1-2,50,3-4,75,2,3,5,2,1,1,0,5,2,9
,bench ,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,23:55,10,4-10,40,2-6,33.3,2-4,50,0-0,0,1,2,3,3,3,2,0,4,1,-1
11,A. Fermin,,08:27,5,1-2,50,1-1,100,0-1,0,3-4,75,0,2,2,0,0,0,0,3,2,1
7,J. Jabonete,,09:06,4,2-5,40,2-4,50,0-1,0,0-2,0,0,4,4,0,0,0,1,3,1,-5
18,J. Bancale,,16:19,2,1-6,16.7,1-5,20,0-1,0,0-0,0,0,2,2,1,1,2,0,3,1,2
35,E. Ryan,,06:33,2,0-0,0,0-0,0,0-0,0,2-6,33.3,4,2,6,0,0,0,0,3,4,2
2,N. Agemenyi,,04:53,2,1-2,50,1-1,100,0-1,0,0-0,0,0,0,0,0,1,0,0,2,0,-13
,,,,,,,,,,,,,,,,,,,,,,
4,L. Capulong,,26:30,19,5-8,62.5,4-7,57.1,1-1,100,8-15,53.3,3,3,6,0,1,0,0,4,12,0
12,R. Abiera,,20:42,18,6-14,42.9,2-4,50,4-10,40,2-3,66.7,1,0,1,0,3,0,1,4,3,-8
9,J. Camay,,22:27,11,3-4,75,3-4,75,0-0,0,5-6,83.3,1,2,3,2,2,0,0,1,4,2
42,C. Hernal,,17:34,4,2-7,28.6,2-7,28.6,0-0,0,0-0,0,1,2,3,2,0,2,1,5,4,-6
3,E. Geronimo,,08:40,0,0-0,0,0-0,0,0-0,0,0-2,0,0,0,0,4,2,1,0,0,1,-10
25,G. Borromeo,,20:41,0,0-6,0,0-6,0,0-0,0,0-2,0,0,1,1,1,1,0,0,1,1,1
47,X. Estacio,,02:10,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,1,0,2,0,-4
13,A. Acop,,01:02,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-2
24,J. Dela Cruz,,01:41,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-5
,starters ,,,,,,,,,,,,,,,,,,,,,
1,J. Ongotan,,27:59,6,2-10,20,2-7,28.6,0-3,0,2-2,100,2,4,6,2,1,2,1,2,2,-2
14,M. Vinoya,,17:02,6,3-5,60,3-4,75,0-1,0,0-2,0,0,4,4,2,2,1,0,4,3,0
10,W. Miller,,10:48,3,1-3,33.3,1-3,33.3,0-0,0,1-2,50,1,3,4,1,0,0,0,0,1,6
41,J. Libang,,09:19,3,1-2,50,1-2,50,0-0,0,1-2,50,0,1,1,0,1,0,0,1,2,2
5,T. Valencia,,13:19,1,0-6,0,0-4,0,0-2,0,1-2,50,3,3,6,1,1,0,0,2,1,-4
