NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
20,R. Villegas,,27:15,18,5-14,35.7,5-8,62.5,0-6,0,8-10,80,3,2,5,3,1,7,0,0,6,13
24,J. Daileg,,18:51,10,3-8,37.5,1-3,33.3,2-5,40,2-3,66.7,0,2,2,2,0,1,0,1,3,12
12,N. Moralejo,,20:56,8,3-5,60,2-2,100,1-3,33.3,1-1,100,1,0,1,0,1,0,0,1,2,11
14,J. Panelo,,12:45,6,2-5,40,1-3,33.3,1-2,50,1-2,50,1,4,5,0,1,0,1,1,2,3
22,O. Gordon,,08:01,3,1-3,33.3,0-0,0,1-3,33.3,0-0,0,0,1,1,0,0,0,0,1,0,5
10,L. Pallingayan,,00:45,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
11,K. Caduyac,,05:40,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,0,0,0,0,4,0,-10
0,D. Culanay,,00:31,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,-3
,starters ,,,,,,,,,,,,,,,,,,,,,
3,J. Barba,,22:54,8,3-9,33.3,1-2,50,2-7,28.6,0-0,0,0,3,3,1,4,1,0,1,1,-8
15,G. Aviles,,27:14,5,2-7,28.6,2-6,33.3,0-1,0,1-3,33.3,6,4,10,2,0,0,0,1,3,-1
17,S. Penafiel,,17:10,2,0-4,0,0-3,0,0-1,0,2-2,100,0,2,2,2,1,1,0,1,2,3
18,V. Cunanan,,18:17,2,1-4,25,1-2,50,0-2,0,0-0,0,0,0,0,2,1,0,0,0,1,-7
13,G. Montano,,19:33,2,1-5,20,1-2,50,0-3,0,0-0,0,0,0,0,0,1,0,0,1,2,-6
,,,,,,,,,,,,,,,,,,,,,,
19,M. Gojo Cruz,,29:13,14,4-11,36.4,2-5,40,2-6,33.3,4-4,100,2,3,5,3,2,1,0,3,2,-2
9,S. Orgo,,29:36,13,5-10,50,2-5,40,3-5,60,0-0,0,1,6,7,3,6,1,0,1,0,6
14,C. Abis,,21:13,10,5-6,83.3,5-5,100,0-1,0,0-0,0,1,3,4,2,3,1,1,2,2,-5
8,C. Pagaran,,27:03,4,2-10,20,2-6,33.3,0-4,0,0-0,0,2,4,6,1,1,1,0,1,0,-7
21,J. Nunez,,30:03,2,1-4,25,1-4,25,0-0,0,0-0,0,2,5,7,1,1,2,1,3,1,-2
,bench ,,,,,,,,,,,,,,,,,,,,,
20,E. Pizarro,,09:34,8,4-7,57.1,4-7,57.1,0-0,0,0-2,0,2,2,4,1,0,0,1,5,2,2
33,J. Manuel,,10:23,3,1-2,50,0-0,0,1-2,50,0-0,0,0,4,4,0,2,0,0,2,0,-8
91,J. Boral,,16:22,2,0-4,0,0-2,0,0-2,0,2-2,100,0,0,0,3,1,0,0,1,1,3
13,H. Montemayor,,07:40,2,1-2,50,1-2,50,0-0,0,0-0,0,0,1,1,1,2,1,0,3,1,0
25,A. Gelsano,,13:20,2,1-3,33.3,1-2,50,0-1,0,0-0,0,2,3,5,0,2,0,0,2,3,1
12,N. Sevilla,,05:27,2,1-2,50,1-2,50,0-0,0,0-0,0,1,2,3,0,0,0,0,0,0,2
