NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
1,J. Ongotan,,20:52,16,5-10,50,3-6,50,2-4,50,4-7,57.1,2,2,4,2,1,1,0,1,4,-8
12,R. Abiera,,16:30,10,2-7,28.6,1-2,50,1-5,20,5-7,71.4,0,3,3,1,3,1,0,3,3,5
4,L. Capulong,,28:13,8,4-10,40,4-8,50,0-2,0,0-1,0,1,1,2,2,2,2,0,3,2,-5
42,C. Hernal,,15:00,5,2-4,50,2-3,66.7,0-1,0,1-3,33.3,1,2,3,2,1,1,1,4,2,-1
24,J. Dela Cruz,,00:24,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,0
9,J. Camay,,09:43,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,0,0,1,-2
,starters ,,,,,,,,,,,,,,,,,,,,,
3,E. Geronimo,,25:50,14,6-7,85.7,5-6,83.3,1-1,100,1-2,50,2,0,2,1,2,0,0,0,2,3
5,T. Valencia,,21:21,8,3-10,30,2-8,25,1-2,50,1-4,25,1,3,4,1,2,5,0,2,2,0
14,M. Vinoya,,26:21,7,1-6,16.7,0-2,0,1-4,25,4-6,66.7,0,4,4,2,3,2,0,1,4,3
41,J. Libang,,10:01,4,2-4,50,2-4,50,0-0,0,0-0,0,3,1,4,0,0,1,0,1,0,7
25,G. Borromeo,,25:42,1,0-2,0,0-2,0,0-0,0,1-2,50,1,2,3,0,0,3,0,3,2,8
,,,,,,,,,,,,,,,,,,,,,,
34,A. Liwag,,35:30,18,7-11,63.6,7-11,63.6,0-0,0,4-9,44.4,7,10,17,1,5,2,2,1,9,5
14,R. Ondoa,,04:59,3,1-1,100,0-0,0,1-1,100,0-0,0,0,0,0,0,1,0,0,1,0,1
17,J. Ancheta,,15:31,2,1-4,25,1-3,33.3,0-1,0,0-0,0,0,0,0,5,3,0,0,3,3,-9
11,J. Cajucom,,13:14,2,1-3,33.3,1-1,100,0-2,0,0-0,0,0,2,2,1,3,1,0,1,0,-11
22,J. Eusebio,,11:06,0,0-3,0,0-1,0,0-2,0,0-0,0,0,4,4,0,1,1,0,1,0,1
,bench ,,,,,,,,,,,,,,,,,,,,,
72,G. Cometa,,22:21,15,6-13,46.2,3-7,42.9,3-6,50,0-0,0,1,1,2,1,2,2,0,3,0,6
20,J. Sanchez,,27:05,10,3-7,42.9,3-7,42.9,0-0,0,4-6,66.7,2,2,4,3,4,1,0,3,3,-5
13,I. Torres,,25:52,9,4-14,28.6,4-9,44.4,0-5,0,1-2,50,2,1,3,5,1,2,1,1,1,7
0,M. Oli,,15:21,7,2-6,33.3,1-1,100,1-5,20,2-2,100,1,1,2,0,0,1,0,2,1,7
6,J. Morales,,17:40,3,1-2,50,0-1,0,1-1,100,0-0,0,1,3,4,1,0,1,0,2,0,11
8,A. Turco,,04:29,2,0-0,0,0-0,0,0-0,0,2-2,100,1,2,3,1,1,0,0,2,2,-7
9,M. Sangco,,06:45,0,0-3,0,0-2,0,0-1,0,0-0,0,1,1,2,0,2,0,0,2,0,-16
