NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
14,C. Abis,,27:57,14,5-13,38.5,3-11,27.3,2-2,100,2-4,50,0,4,4,0,2,1,0,1,2,6
9,S. Orgo,,32:59,10,3-10,30,3-5,60,0-5,0,4-4,100,1,8,9,10,1,2,0,2,3,4
19,M. Gojo Cruz,,29:23,10,4-10,40,2-4,50,2-6,33.3,0-1,0,0,5,5,0,1,1,0,1,1,-9
91,J. Boral,,28:04,6,1-9,11.1,0-6,0,1-3,33.3,3-4,75,2,6,8,2,2,1,0,2,5,1
20,E. Pizarro,,05:39,0,0-2,0,0-2,0,0-0,0,0-0,0,1,0,1,0,0,0,0,3,1,-6
,bench ,,,,,,,,,,,,,,,,,,,,,
8,C. Pagaran,,24:36,8,3-8,37.5,3-6,50,0-2,0,2-2,100,1,1,2,2,0,0,1,0,1,3
21,J. Nunez,,25:06,4,2-2,100,2-2,100,0-0,0,0-0,0,2,2,4,0,0,0,1,2,1,6
25,A. Gelsano,,12:02,3,1-1,100,1-1,100,0-0,0,1-2,50,0,0,0,0,0,1,0,0,1,-7
13,H. Montemayor,,04:04,3,1-1,100,0-0,0,1-1,100,0-0,0,0,0,0,0,0,0,0,2,0,4
33,J. Manuel,,07:00,2,0-1,0,0-1,0,0-0,0,2-2,100,0,1,1,1,0,0,0,0,1,-5
28,R. Cauguiran,,03:05,2,1-1,100,1-1,100,0-0,0,0-0,0,1,0,1,0,1,1,0,0,0,-2
,,,,,,,,,,,,,,,,,,,,,,
1,J. Puno,,28:44,16,5-11,45.5,2-6,33.3,3-5,60,3-4,75,1,7,8,1,3,1,0,2,4,1
21,Y. Andrada,,31:02,11,4-10,40,1-3,33.3,3-7,42.9,0-0,0,3,2,5,2,1,0,2,0,0,3
12,N. Gonzales,,19:22,6,2-7,28.6,0-2,0,2-5,40,0-0,0,0,4,4,5,1,0,0,1,2,4
33,D. Celzo,,17:16,1,0-1,0,0-1,0,0-0,0,1-2,50,1,1,2,1,0,0,1,2,3,6
4,O. Tagle,,15:27,0,0-3,0,0-1,0,0-2,0,0-0,0,0,1,1,1,1,0,0,2,0,9
,bench ,,,,,,,,,,,,,,,,,,,,,
13,RC. Calimag,,11:18,10,4-10,40,2-5,40,2-5,40,0-0,0,1,0,1,1,0,0,0,0,1,2
9,B. Sajonia,,22:04,6,2-7,28.6,1-3,33.3,1-4,25,1-2,50,0,3,3,1,2,2,0,2,2,-11
0,Z. Estacio,,13:55,6,2-5,40,1-1,100,1-4,25,1-2,50,0,1,1,0,3,0,0,2,1,-2
27,M. Songcuya,,12:07,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,1,1,2,0,0,0,1,2,0,0
77,J. Royo,,04:39,3,1-2,50,0-0,0,1-2,50,0-0,0,0,0,0,0,0,1,0,0,0,0
18,J. Payosing,,10:40,0,0-2,0,0-0,0,0-2,0,0-0,0,1,4,5,3,1,0,0,1,0,-1
34,B. Lina,,12:03,0,0-1,0,0-1,0,0-0,0,0-0,0,1,0,1,0,0,0,0,1,0,-7
8,J. Bonzalida,,01:18,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,1
