NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
21,Y. Andrada,,38:07,18,8-18,44.4,6-10,60,2-8,25,0-0,0,2,7,9,1,2,2,0,0,0,8
18,J. Payosing,,27:54,15,6-14,42.9,5-8,62.5,1-6,16.7,2-4,50,2,5,7,1,0,1,0,3,3,-4
12,N. Gonzales,,17:12,6,2-7,28.6,0-2,0,2-5,40,0-0,0,0,2,2,2,0,0,0,1,0,2
1,J. Puno,,23:34,6,1-3,33.3,0-1,0,1-2,50,3-6,50,1,2,3,1,1,1,0,1,5,6
33,D. Celzo,,06:13,2,1-1,100,1-1,100,0-0,0,0-0,0,1,0,1,0,0,0,0,1,0,-11
,bench ,,,,,,,,,,,,,,,,,,,,,
9,B. Sajonia,,23:54,10,3-7,42.9,2-3,66.7,1-4,25,3-4,75,0,5,5,4,1,1,0,2,2,7
0,Z. Estacio,,18:01,9,4-6,66.7,3-3,100,1-3,33.3,0-0,0,0,1,1,2,1,0,0,1,0,5
34,B. Lina,,25:32,5,2-6,33.3,2-6,33.3,0-0,0,1-2,50,1,3,4,1,0,1,0,3,2,23
4,O. Tagle,,24:16,3,1-4,25,0-1,0,1-3,33.3,0-0,0,0,1,1,2,1,1,0,2,0,10
77,J. Royo,,04:31,2,1-1,100,1-1,100,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,1
27,M. Songcuya,,11:10,0,0-2,0,0-2,0,0-0,0,0-0,0,0,1,1,0,0,0,0,2,0,-3
13,RC. Calimag,,04:31,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,0,1,0,0,0,1,-9
,,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,35:55,20,7-14,50,2-6,33.3,5-8,62.5,1-1,100,0,4,4,5,2,1,0,2,3,-3
18,J. Bancale,,19:01,5,2-3,66.7,1-2,50,1-1,100,0-0,0,0,0,0,1,3,0,0,1,0,2
7,J. Jabonete,,13:56,2,1-1,100,1-1,100,0-0,0,0-0,0,0,4,4,1,1,1,1,3,0,-6
35,E. Ryan,,05:17,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,2,0,11
11,A. Fermin,,02:20,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
,starters ,,,,,,,,,,,,,,,,,,,,,
0,C. Escamis,,34:17,19,7-19,36.8,4-5,80,3-14,21.4,2-3,66.7,0,5,5,1,2,2,0,1,3,-10
34,Y. Concepcion,,19:26,9,3-4,75,3-3,100,0-1,0,3-4,75,5,0,5,0,2,1,0,0,3,-7
12,L. Mangubat,,29:15,6,2-11,18.2,0-4,0,2-7,28.6,0-0,0,1,1,2,3,1,0,0,1,2,-8
72,C. Hubilla,,37:04,6,3-16,18.8,3-16,18.8,0-0,0,0-1,0,2,9,11,1,2,0,2,0,2,-10
1,M. Igliane,,28:25,2,1-1,100,1-1,100,0-0,0,0-0,0,2,7,9,2,3,0,0,3,3,-2
