NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
29,V. Cuajao,,29:49,16,6-12,50,3-3,100,3-9,33.3,1-1,100,0,0,0,0,1,0,0,2,2,-14
26,S. Estrada,,29:51,11,3-6,50,3-5,60,0-1,0,5-6,83.3,0,4,4,4,6,1,0,4,4,-14
39,K. Monje,,16:21,9,3-6,50,0-1,0,3-5,60,0-0,0,0,1,1,2,0,1,1,1,0,-7
4,K. Santos,,24:31,8,3-8,37.5,3-8,37.5,0-0,0,2-4,50,2,8,10,2,3,2,4,1,3,-11
7,N. Montecillo,,25:34,1,0-6,0,0-0,0,0-6,0,1-2,50,0,1,1,3,0,1,0,1,2,-11
,bench ,,,,,,,,,,,,,,,,,,,,,
9,P. Javillonar,,24:00,10,4-7,57.1,2-4,50,2-3,66.7,0-0,0,0,4,4,0,2,0,0,2,3,-25
2,J. Miller,,14:25,9,3-4,75,2-3,66.7,1-1,100,2-4,50,1,2,3,2,3,1,0,2,2,-12
1,J. Nunag,,15:06,2,1-3,33.3,1-2,50,0-1,0,0-1,0,0,2,2,2,2,1,0,2,1,-3
17,C. Delfino,,14:00,2,1-4,25,1-2,50,0-2,0,0-0,0,1,1,2,1,1,1,0,3,1,-11
91,J. Baliling,,01:52,0,0-0,0,0-0,0,0-0,0,0-0,0,1,0,1,0,0,0,0,0,0,-3
19,J. Pradella,,04:26,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-4
,,,,,,,,,,,,,,,,,,,,,,
20,R. Villegas,,29:07,23,9-16,56.3,6-12,50,3-4,75,2-2,100,4,1,5,2,2,2,0,1,3,21
26,J. Bravo,,20:15,10,3-10,30,2-4,50,1-6,16.7,3-4,75,4,4,8,1,0,0,0,2,2,5
15,G. Aviles,,21:57,5,2-4,50,2-4,50,0-0,0,1-2,50,1,3,4,1,0,1,1,4,1,16
18,V. Cunanan,,32:51,4,1-4,25,1-2,50,0-2,0,2-3,66.7,1,5,6,8,2,3,0,2,4,18
4,D. Paulo,,03:32,0,0-3,0,0-2,0,0-1,0,0-0,0,1,0,1,0,0,0,0,0,0,-8
,bench ,,,,,,,,,,,,,,,,,,,,,
3,J. Barba,,27:48,19,8-22,36.4,8-17,47.1,0-5,0,3-4,75,6,5,11,7,2,2,0,1,3,26
13,G. Montano,,18:33,16,6-11,54.5,2-5,40,4-6,66.7,0-0,0,1,1,2,2,1,0,0,3,1,18
23,M. Versoza,,17:35,7,3-3,100,3-3,100,0-0,0,1-2,50,1,3,4,0,3,1,0,2,1,10
17,S. Penafiel,,09:48,4,1-4,25,1-3,33.3,0-1,0,2-2,100,0,1,1,1,0,1,0,1,1,0
24,J. Daileg,,14:17,3,1-3,33.3,0-0,0,1-3,33.3,0-0,0,2,4,6,1,1,0,0,2,2,11
12,N. Moralejo,,01:11,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,0
22,O. Gordon,,01:11,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
14,J. Panelo,,01:11,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,0
10,L. Pallingayan,,00:38,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
