NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
9,S. Orgo,,32:03,16,5-14,35.7,3-6,50,2-8,25,4-4,100,0,0,0,2,4,4,0,4,4,-5
14,C. Abis,,29:48,14,5-13,38.5,4-9,44.4,1-4,25,3-7,42.9,1,2,3,3,1,1,1,1,3,-12
19,M. Gojo Cruz,,28:52,8,3-9,33.3,1-3,33.3,2-6,33.3,0-0,0,1,5,6,6,3,1,2,2,0,-2
21,J. Nunez,,26:22,5,2-4,50,2-4,50,0-0,0,1-2,50,2,5,7,1,2,0,2,3,1,2
91,J. Boral,,24:36,3,0-7,0,0-5,0,0-2,0,3-4,75,4,4,8,1,1,2,0,2,4,-15
,bench ,,,,,,,,,,,,,,,,,,,,,
8,C. Pagaran,,25:28,10,4-7,57.1,4-6,66.7,0-1,0,2-6,33.3,0,5,5,1,2,0,0,4,3,-10
13,H. Montemayor,,07:20,7,2-2,100,1-1,100,1-1,100,2-2,100,0,0,0,0,0,0,0,0,1,1
25,A. Gelsano,,10:11,5,2-2,100,2-2,100,0-0,0,1-1,100,0,1,1,0,1,0,1,2,2,4
33,J. Manuel,,07:56,2,0-3,0,0-2,0,0-1,0,2-3,66.7,1,0,1,4,0,0,0,2,1,-3
28,R. Cauguiran,,07:19,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,1,0,0,0,4,0,0
,,,,,,,,,,,,,,,,,,,,,,
3,K. Gurtiza,,30:12,21,6-17,35.3,2-7,28.6,4-10,40,5-5,100,1,1,2,2,2,2,0,1,5,8
91,W. Oftana,,25:16,12,4-10,40,0-3,0,4-7,57.1,0-0,0,1,7,8,1,1,3,0,3,1,17
9,H. Pagsanjan,,23:46,7,2-5,40,2-4,50,0-1,0,3-4,75,4,3,7,2,1,1,0,3,3,-1
88,N. Ochavo,,22:41,6,1-8,12.5,0-5,0,1-3,33.3,3-4,75,2,1,3,7,2,2,0,1,5,13
15,E. Umpad,,16:11,4,2-4,50,2-4,50,0-0,0,0-0,0,3,2,5,1,3,0,0,1,1,-3
,bench ,,,,,,,,,,,,,,,,,,,,,
28,G. Loristo,,16:38,10,4-4,100,4-4,100,0-0,0,2-2,100,1,1,2,0,2,0,0,0,1,7
14,G. Quinal,,18:29,9,3-8,37.5,1-2,50,2-6,33.3,1-2,50,0,3,3,2,1,0,0,1,1,13
71,N. Lucero,,14:10,3,1-4,25,1-3,33.3,0-1,0,1-2,50,0,1,1,3,3,0,0,3,2,0
81,P. Bagay,,05:58,3,1-2,50,1-2,50,0-0,0,1-2,50,1,0,1,0,0,0,0,1,1,-4
12,B. Angeles,,06:12,2,1-1,100,1-1,100,0-0,0,0-2,0,1,0,1,0,0,0,0,0,1,8
10,J. Manacho,,07:38,1,0-2,0,0-2,0,0-0,0,1-2,50,1,2,3,0,0,0,1,0,2,7
19,J. Devera,,03:02,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,1,1,2,0,1,0,-5
16,K. Jacob,,04:04,0,0-1,0,0-1,0,0-0,0,0-0,0,1,1,2,0,0,0,0,1,0,-4
13,J. Bacud,,02:07,0,0-0,0,0-0,0,0-0,0,0-2,0,1,1,2,0,0,0,0,2,1,-6
8,J. Luciano,,03:29,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,2,0,0,1,0,-10
