NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
34,B. Lina,,21:04,20,7-11,63.6,7-11,63.6,0-0,0,6-7,85.7,3,4,7,1,3,1,0,2,4,16
1,J. Puno,,18:51,14,5-12,41.7,4-9,44.4,1-3,33.3,3-3,100,5,5,10,0,0,0,0,3,2,25
9,B. Sajonia,,17:17,8,2-6,33.3,0-4,0,2-2,100,2-2,100,0,0,0,4,3,2,1,3,1,17
13,R. Calimag,,09:40,3,1-1,100,0-0,0,1-1,100,0-0,0,0,2,2,1,1,0,0,2,0,3
27,M. Songcuya,,05:54,3,1-1,100,1-1,100,0-0,0,1-4,25,0,0,0,0,1,0,0,1,2,2
0,Z. Estacio,,20:08,2,1-7,14.3,1-6,16.7,0-1,0,0-0,0,1,3,4,6,1,0,0,2,1,17
3,RC. Calimag,,03:08,2,1-1,100,1-1,100,0-0,0,0-0,0,1,1,2,0,1,0,0,0,1,-6
8,J. Bonzalida,,05:03,0,0-1,0,0-0,0,0-1,0,0-0,0,1,2,3,0,0,0,0,1,0,6
77,J. Royo,,07:26,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,0,0,0,0,0,0,2
16,A. Sollano,,00:58,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
,starters ,,,,,,,,,,,,,,,,,,,,,
21,Y. Andrada,,31:54,15,5-8,62.5,1-2,50,4-6,66.7,1-2,50,0,5,5,4,2,0,0,2,1,7
18,J. Payosing,,15:26,7,2-8,25,1-6,16.7,1-2,50,2-2,100,0,2,2,2,0,1,0,1,1,-6
12,N. Gonzales,,12:27,4,2-4,50,2-4,50,0-0,0,0-0,0,0,0,0,0,0,1,0,3,0,-5
4,O. Tagle,,15:35,1,0-2,0,0-1,0,0-1,0,1-2,50,0,0,0,1,1,0,0,1,1,-5
33,D. Celzo,,15:03,0,0-3,0,0-3,0,0-0,0,0-0,0,1,5,6,2,0,0,0,1,1,-1
,,,,,,,,,,,,,,,,,,,,,,
4,L. Capulong,,26:45,16,6-16,37.5,4-8,50,2-8,25,2-4,50,0,5,5,0,2,1,1,2,7,-10
1,J. Ongotan,,21:48,10,3-8,37.5,3-4,75,0-4,0,4-6,66.7,4,2,6,0,1,2,0,3,4,-4
27,K. Flores,,13:41,4,2-7,28.6,2-5,40,0-2,0,0-0,0,1,0,1,0,0,0,0,1,0,-4
9,J. Camay,,08:52,2,1-3,33.3,1-1,100,0-2,0,0-1,0,1,1,2,1,0,0,0,1,1,13
12,R. Abiera,,12:36,2,1-7,14.3,1-3,33.3,0-4,0,0-0,0,0,1,1,1,0,1,0,1,0,-18
16,A. De Leon,,01:32,2,0-0,0,0-0,0,0-0,0,2-2,100,0,0,0,0,0,0,0,0,1,-2
13,A. Acop,,02:06,2,0-0,0,0-0,0,0-0,0,2-2,100,0,0,0,0,0,0,0,0,1,6
47,X. Estacio,,02:19,1,0-0,0,0-0,0,0-0,0,1-2,50,0,1,1,0,0,0,0,0,2,-4
42,C. Hernal,,08:01,0,0-0,0,0-0,0,0-0,0,0-0,0,1,1,2,0,0,0,0,2,0,-9
10,W. Miller,,01:36,0,0-3,0,0-3,0,0-0,0,0-0,0,1,0,1,0,0,0,0,0,0,-4
,starters ,,,,,,,,,,,,,,,,,,,,,
5,T. Valencia,,18:31,9,2-4,50,1-3,33.3,1-1,100,4-4,100,0,0,0,1,1,0,1,3,3,-7
14,M. Vinoya,,20:29,6,3-7,42.9,3-5,60,0-2,0,0-0,0,2,4,6,0,1,1,0,0,0,-1
3,E. Geronimo,,29:50,5,2-6,33.3,1-4,25,1-2,50,0-2,0,1,0,1,4,1,0,0,1,1,-27
25,G. Borromeo,,23:29,4,2-4,50,2-3,66.7,0-1,0,0-0,0,2,3,5,1,0,2,0,0,0,1
41,J. Libang,,08:19,2,1-3,33.3,1-3,33.3,0-0,0,0-1,0,0,1,1,1,1,0,0,1,2,0
