NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
34,Y. Concepcion,,28:04,19,7-11,63.6,7-11,63.6,0-0,0,5-9,55.6,5,4,9,0,1,0,5,3,6,1
0,C. Escamis,,31:13,14,5-15,33.3,3-7,42.9,2-8,25,2-8,25,1,3,4,7,2,1,0,3,9,10
72,C. Hubilla,,19:41,13,6-9,66.7,6-9,66.7,0-0,0,1-2,50,3,4,7,0,2,0,0,3,1,15
1,M. Igliane,,33:02,6,2-7,28.6,1-2,50,1-5,20,1-2,50,2,4,6,0,2,0,1,3,2,2
12,L. Mangubat,,22:28,3,1-6,16.7,0-2,0,1-4,25,0-2,0,0,2,2,3,0,1,0,2,3,4
,bench ,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,30:45,11,4-12,33.3,4-10,40,0-2,0,3-4,75,2,2,4,2,1,2,0,3,3,-5
7,J. Jabonete,,09:49,6,2-2,100,1-1,100,1-1,100,1-2,50,0,2,2,0,0,0,1,3,2,-1
2,N. Agemenyi,,06:49,3,1-5,20,0-2,0,1-3,33.3,0-0,0,4,3,7,0,1,1,0,1,0,0
18,J. Bancale,,09:11,0,0-3,0,0-0,0,0-3,0,0-0,0,0,1,1,0,1,0,0,0,0,-4
3,S. Abdulla,,02:32,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,0
6,J. Garcia,,03:58,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,2,1,-3
21,A. Pantaleon,,00:14,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-1
11,A. Fermin,,02:09,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,,,,
5,J. Guiab,,30:20,16,6-11,54.5,6-10,60,0-1,0,4-4,100,3,4,7,4,1,0,0,2,4,-4
9,S. Argente,,23:12,16,4-14,28.6,2-7,28.6,2-7,28.6,6-6,100,0,0,0,3,1,0,0,2,5,2
31,M. Raymundo,,27:53,5,2-8,25,2-7,28.6,0-1,0,1-2,50,2,2,4,1,2,0,0,4,2,-10
21,L. Benitez,,08:52,4,2-4,50,2-4,50,0-0,0,0-0,0,3,2,5,0,0,0,0,4,1,-11
7,J. Pangilinan,,17:04,0,0-8,0,0-6,0,0-2,0,0-0,0,1,1,2,1,2,1,0,1,1,-7
,bench ,,,,,,,,,,,,,,,,,,,,,
94,J. Lozano,,15:33,8,4-9,44.4,4-6,66.7,0-3,0,0-0,0,0,2,2,1,0,0,0,2,1,4
15,R. Bernardo,,17:46,8,2-4,50,2-4,50,0-0,0,4-6,66.7,1,0,1,1,0,0,0,3,3,-1
26,J. Medina,,06:09,5,2-4,50,2-4,50,0-0,0,1-2,50,1,2,3,1,0,1,0,0,1,4
19,K. De Jesus,,12:28,4,2-4,50,2-4,50,0-0,0,0-2,0,2,4,6,0,1,0,1,2,3,5
55,C. Ferrer,,07:29,3,1-4,25,0-2,0,1-2,50,0-0,0,0,0,0,1,0,0,0,0,0,-6
27,I. Panapanaan,,25:30,2,0-2,0,0-1,0,0-1,0,2-4,50,2,3,5,0,0,2,0,5,2,2
32,D. Garcia,,02:53,0,0-2,0,0-2,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,2
8,W. De Leon,,01:53,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-2
17,R. Samontanes,,02:53,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,2
