NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
34,A. Liwag,,29:35,18,5-7,71.4,5-7,71.4,0-0,0,8-15,53.3,2,4,6,1,2,0,1,3,8,-6
0,M. Oli,,11:50,12,4-6,66.7,1-1,100,3-5,60,1-2,50,1,1,2,1,0,0,0,3,2,2
20,J. Sanchez,,24:46,9,4-8,50,3-3,100,1-5,20,0-0,0,2,4,6,6,4,0,2,3,0,-1
17,J. Ancheta,,20:30,9,3-5,60,3-4,75,0-1,0,3-5,60,0,3,3,4,2,0,0,3,5,-2
9,M. Sangco,,22:03,5,2-5,40,2-3,66.7,0-2,0,1-1,100,2,3,5,3,0,2,0,2,1,20
,bench ,,,,,,,,,,,,,,,,,,,,,
13,I. Torres,,21:26,13,4-7,57.1,1-3,33.3,3-4,75,2-3,66.7,0,4,4,3,2,0,0,1,3,10
1,Z. Jarque,,04:36,9,3-4,75,0-0,0,3-4,75,0-0,0,0,2,2,0,1,0,0,1,0,5
72,G. Cometa,,13:08,6,2-2,100,2-2,100,0-0,0,2-4,50,0,1,1,0,1,0,0,2,2,-9
14,R. Ondoa,,07:59,5,2-3,66.7,2-3,66.7,0-0,0,1-2,50,1,3,4,0,1,0,0,2,1,9
11,J. Cajucom,,13:13,3,0-2,0,0-2,0,0-0,0,3-4,75,0,0,0,1,0,0,0,1,3,9
6,J. Morales,,08:07,2,0-3,0,0-0,0,0-3,0,2-2,100,0,0,0,0,0,0,0,0,1,-8
22,J. Eusebio,,16:16,0,0-3,0,0-0,0,0-3,0,0-0,0,1,4,5,4,1,0,1,2,0,3
3,J. Arciaga,,03:33,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,5
42,I. Galas,,02:52,0,0-2,0,0-1,0,0-1,0,0-0,0,0,0,0,0,0,0,1,0,0,-7
,,,,,,,,,,,,,,,,,,,,,,
4,R. Are,,29:59,29,10-22,45.5,8-17,47.1,2-5,40,7-11,63.6,5,2,7,2,1,3,0,4,8,-3
7,L. Gabat,,27:39,21,6-12,50,4-8,50,2-4,50,7-8,87.5,1,3,4,1,1,1,0,5,4,-12
18,T. Felebrico,,28:33,12,4-5,80,4-5,80,0-0,0,4-6,66.7,2,9,11,3,1,0,0,5,4,-10
25,I. Suico,,27:37,5,2-8,25,1-3,33.3,1-5,20,0-0,0,0,0,0,0,0,2,0,5,2,-3
12,M. Pascual,,21:21,0,0-2,0,0-1,0,0-1,0,0-0,0,0,0,0,2,0,0,0,1,1,-3
,bench ,,,,,,,,,,,,,,,,,,,,,
52,A. Aguilar,,17:26,6,2-5,40,1-3,33.3,1-2,50,1-2,50,1,3,4,1,0,0,0,4,1,4
17,R. Gabat,,20:26,6,2-9,22.2,2-4,50,0-5,0,2-3,66.7,5,1,6,0,0,0,0,1,2,5
13,H. Ricio,,15:53,4,2-4,50,2-3,66.7,0-1,0,0-1,0,2,2,4,0,2,0,1,1,1,-1
11,R. Escobido,,10:32,2,1-7,14.3,1-3,33.3,0-4,0,0-0,0,0,0,0,1,1,0,0,1,0,-5
0,J. Barroga,,00:29,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
