NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
13,G. Montano,,19:34,12,5-9,55.6,3-5,60,2-4,50,0-0,0,1,1,2,0,0,2,0,3,1,5
24,J. Daileg,,18:24,7,3-5,60,2-2,100,1-3,33.3,0-0,0,0,5,5,1,1,0,0,0,1,-2
3,J. Barba,,26:32,4,0-11,0,0-5,0,0-6,0,4-4,100,1,5,6,5,1,1,0,1,5,-3
14,J. Panelo,,03:39,2,1-1,100,1-1,100,0-0,0,0-0,0,1,2,3,0,1,0,0,2,0,4
23,M. Versoza,,12:31,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,2,0,2,0,1,0,0,5,1,-9
22,O. Gordon,,03:39,2,1-2,50,1-1,100,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,4
12,N. Moralejo,,03:52,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,1,0,0,0,0,0,-3
10,L. Pallingayan,,03:14,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,4
,starters ,,,,,,,,,,,,,,,,,,,,,
18,V. Cunanan,,28:49,11,4-11,36.4,2-3,66.7,2-8,25,1-1,100,0,2,2,1,2,1,0,2,1,0
26,J. Bravo,,21:21,9,2-8,25,1-3,33.3,1-5,20,4-6,66.7,1,6,7,0,1,0,1,3,4,-4
20,R. Villegas,,29:53,6,1-7,14.3,1-4,25,0-3,0,4-4,100,2,2,4,3,1,3,0,1,3,9
15,G. Aviles,,17:54,5,2-5,40,2-5,40,0-0,0,1-2,50,1,2,3,0,1,0,0,1,2,2
17,S. Penafiel,,10:30,4,1-1,100,1-1,100,0-0,0,2-2,100,0,0,0,0,0,0,0,0,1,3
,,,,,,,,,,,,,,,,,,,,,,
34,B. Lina,,26:32,12,4-7,57.1,4-7,57.1,0-0,0,4-9,44.4,2,6,8,1,1,0,0,2,6,9
1,J. Puno,,24:06,10,4-7,57.1,3-3,100,1-4,25,1-1,100,1,4,5,1,0,0,1,2,2,0
9,B. Sajonia,,20:58,8,2-12,16.7,1-7,14.3,1-5,20,3-4,75,0,4,4,1,1,2,1,2,3,5
0,Z. Estacio,,26:18,8,3-6,50,1-2,50,2-4,50,0-0,0,1,2,3,0,3,0,0,3,0,1
27,M. Songcuya,,15:16,2,1-1,100,1-1,100,0-0,0,0-0,0,2,4,6,1,1,1,1,3,1,2
13,R. Calimag,,03:25,0,0-4,0,0-2,0,0-2,0,0-0,0,1,0,1,0,0,0,0,0,0,-3
77,J. Royo,,03:24,0,0-0,0,0-0,0,0-0,0,0-2,0,0,0,0,0,1,0,0,1,1,-7
,starters ,,,,,,,,,,,,,,,,,,,,,
21,Y. Andrada,,29:44,11,4-14,28.6,2-7,28.6,2-7,28.6,1-1,100,1,3,4,1,0,0,0,1,0,-12
18,J. Payosing,,18:03,6,3-5,60,3-4,75,0-1,0,0-0,0,1,5,6,1,5,0,1,1,2,-4
4,O. Tagle,,18:08,5,2-6,33.3,1-3,33.3,1-3,33.3,0-0,0,0,1,1,2,0,1,0,1,0,-6
12,N. Gonzales,,08:15,0,0-2,0,0-0,0,0-2,0,0-0,0,1,0,1,2,0,0,0,1,0,8
33,D. Celzo,,05:47,0,0-1,0,0-1,0,0-0,0,0-2,0,2,0,2,1,1,0,0,2,2,-3
