NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
31,M. Raymundo,,33:01,20,10-13,76.9,10-12,83.3,0-1,0,0-0,0,0,7,7,5,1,2,0,2,1,6
5,J. Guiab,,30:05,17,7-10,70,7-10,70,0-0,0,3-7,42.9,5,6,11,1,2,1,0,2,9,3
15,R. Bernardo,,15:02,2,0-5,0,0-0,0,0-5,0,2-2,100,0,0,0,2,2,0,0,4,1,6
7,J. Pangilinan,,15:24,2,1-5,20,1-3,33.3,0-2,0,0-0,0,1,1,2,1,4,0,1,0,0,-6
8,W. De Leon,,09:02,0,0-1,0,0-1,0,0-0,0,0-0,0,1,3,4,1,1,0,0,1,0,-2
,bench ,,,,,,,,,,,,,,,,,,,,,
9,S. Argente,,26:59,20,4-12,33.3,2-7,28.6,2-5,40,10-11,90.9,0,3,3,5,1,0,0,1,6,2
16,V. Sarmiento,,11:48,8,4-4,100,4-4,100,0-0,0,0-0,0,0,3,3,1,2,0,0,2,0,-5
94,J. Lozano,,19:59,7,3-8,37.5,2-4,50,1-4,25,0-2,0,2,4,6,4,3,0,0,2,2,-4
14,M. Barrera,,04:28,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,1,1,2,0,1,0,0,1,1,-4
27,I. Panapanaan,,19:44,2,1-2,50,1-2,50,0-0,0,0-2,0,1,3,4,4,1,1,1,2,2,-2
32,D. Garcia,,03:08,2,1-1,100,1-1,100,0-0,0,0-0,0,0,0,0,0,2,0,0,1,0,-6
19,K. De Jesus,,06:18,1,0-0,0,0-0,0,0-0,0,1-2,50,0,1,1,0,1,0,0,1,1,6
21,L. Benitez,,02:58,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,1,0,1,1,0,-3
55,C. Ferrer,,01:59,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,2,0,-1
,,,,,,,,,,,,,,,,,,,,,,
4,R. Are,,35:33,28,9-21,42.9,8-16,50,1-5,20,9-13,69.2,2,3,5,3,2,1,0,2,11,8
11,R. Escobido,,25:36,17,7-15,46.7,6-10,60,1-5,20,2-2,100,0,1,1,2,1,3,0,3,2,13
18,T. Felebrico,,36:03,8,4-9,44.4,4-8,50,0-1,0,0-2,0,1,4,5,7,3,4,0,2,4,3
7,L. Gabat,,22:30,5,2-6,33.3,1-3,33.3,1-3,33.3,0-1,0,0,4,4,3,2,3,0,4,1,5
24,L. Velasco,,08:42,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,1,1,2,0,0,1,0,0,0,9
,bench ,,,,,,,,,,,,,,,,,,,,,
52,A. Aguilar,,15:47,13,4-8,50,1-4,25,3-4,75,2-4,50,1,1,2,0,1,0,0,3,2,-7
17,R. Gabat,,22:44,11,5-13,38.5,4-7,57.1,1-6,16.7,0-0,0,1,2,3,2,0,1,0,2,0,-5
13,H. Ricio,,09:40,2,1-1,100,1-1,100,0-0,0,0-0,0,0,1,1,0,0,0,1,2,1,-7
77,C. Cruz,,02:27,1,0-1,0,0-0,0,0-1,0,1-2,50,1,0,1,0,0,0,0,1,1,-5
25,I. Suico,,11:24,0,0-1,0,0-0,0,0-1,0,0-0,0,0,1,1,0,0,0,0,3,0,-2
12,M. Pascual,,09:29,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-2
