NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
72,C. Hubilla,,33:35,19,9-16,56.3,8-14,57.1,1-2,50,0-1,0,3,7,10,9,8,1,1,1,1,14
7,J. Jabonete,,21:21,13,6-10,60,5-8,62.5,1-2,50,0-2,0,1,3,4,1,0,1,0,1,4,6
12,L. Mangubat,,32:17,10,3-7,42.9,1-3,33.3,2-4,50,2-2,100,0,2,2,2,0,0,0,3,3,15
0,C. Escamis,,35:29,5,2-8,25,2-3,66.7,0-5,0,1-2,50,1,1,2,4,3,2,0,3,4,18
34,Y. Concepcion,,20:50,3,1-6,16.7,1-5,20,0-1,0,1-2,50,3,4,7,3,0,1,0,2,1,4
,bench ,,,,,,,,,,,,,,,,,,,,,
5,J. Recto,,21:38,14,6-7,85.7,5-6,83.3,1-1,100,1-1,100,0,6,6,3,2,3,0,3,2,-6
18,J. Bancale,,15:05,9,4-4,100,3-3,100,1-1,100,0-1,0,2,1,3,2,3,3,0,3,1,9
10,M. Cuenco,,05:58,7,2-3,66.7,1-1,100,1-2,50,2-2,100,0,0,0,0,1,0,0,2,1,-8
3,S. Abdulla,,05:29,4,1-2,50,0-0,0,1-2,50,1-2,50,0,1,1,1,0,0,0,1,2,-1
6,J. Garcia,,03:58,2,0-0,0,0-0,0,0-0,0,2-2,100,0,0,0,0,0,0,0,1,1,-11
35,E. Ryan,,02:35,0,0-0,0,0-0,0,0-0,0,0-2,0,0,0,0,0,0,0,0,4,1,-5
11,A. Fermin,,01:38,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,5
,,,,,,,,,,,,,,,,,,,,,,
2,J. Miller,,14:35,14,3-3,100,1-1,100,2-2,100,6-8,75,0,4,4,2,2,1,0,2,8,10
8,R. Go,,10:04,6,1-3,33.3,1-3,33.3,0-0,0,4-5,80,1,0,1,1,0,1,1,1,4,4
15,I. Dimaano,,10:08,5,2-3,66.7,2-3,66.7,0-0,0,1-4,25,1,1,2,0,1,0,0,3,2,1
20,J. Jumao-os,,18:07,4,1-5,20,1-5,20,0-0,0,2-4,50,2,3,5,3,2,0,0,1,3,0
17,C. Delfino,,11:00,2,1-3,33.3,1-2,50,0-1,0,0-0,0,0,0,0,1,0,0,0,1,0,5
1,J. Nunag,,08:07,2,1-2,50,1-2,50,0-0,0,0-0,0,0,2,2,0,1,0,0,0,0,4
24,M. Sarza,,00:28,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,2
,starters ,,,,,,,,,,,,,,,,,,,,,
39,K. Monje,,23:40,14,6-9,66.7,4-4,100,2-5,40,0-0,0,0,0,0,0,0,0,1,2,1,-11
29,V. Cuajao,,33:56,13,5-10,50,4-4,100,1-6,16.7,2-2,100,0,2,2,2,1,4,0,3,5,-10
7,N. Montecillo,,28:23,7,3-8,37.5,2-5,40,1-3,33.3,0-0,0,0,0,0,4,1,3,0,3,0,-17
4,K. Santos,,27:28,6,2-6,33.3,2-6,33.3,0-0,0,2-2,100,0,6,6,2,5,0,1,1,2,-16
6,K. Tagotongan,,13:59,5,2-6,33.3,1-2,50,1-4,25,0-0,0,0,1,1,0,2,0,0,5,0,-12
