NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
18,T. Felebrico,,32:48,30,12-18,66.7,11-16,68.8,1-2,50,5-8,62.5,1,10,11,1,0,0,0,3,6,-7
17,R. Gabat,,29:07,21,8-14,57.1,4-7,57.1,4-7,57.1,1-1,100,2,2,4,2,0,0,0,2,2,-7
4,R. Are,,30:20,14,4-13,30.8,4-11,36.4,0-2,0,6-8,75,5,4,9,6,6,3,0,4,6,-6
11,R. Escobido,,30:21,9,3-15,20,2-9,22.2,1-6,16.7,2-2,100,1,6,7,10,1,0,2,3,2,-7
25,I. Suico,,08:04,0,0-2,0,0-1,0,0-1,0,0-0,0,0,2,2,0,1,0,0,1,0,-3
,bench ,,,,,,,,,,,,,,,,,,,,,
7,L. Gabat,,13:44,9,3-6,50,0-1,0,3-5,60,0-0,0,1,2,3,0,1,0,0,1,0,12
13,H. Ricio,,13:07,6,2-4,50,1-2,50,1-2,50,1-3,33.3,1,4,5,0,1,0,0,4,4,-9
12,M. Pascual,,06:55,3,1-3,33.3,0-1,0,1-2,50,0-0,0,0,1,1,0,0,0,0,1,0,1
24,L. Velasco,,07:16,2,1-2,50,1-2,50,0-0,0,0-0,0,1,1,2,0,0,0,0,3,0,-3
52,A. Aguilar,,10:01,0,0-4,0,0-4,0,0-0,0,0-0,0,0,0,0,1,0,0,0,2,0,-6
2,R. Maliwat,,06:35,0,0-2,0,0-1,0,0-1,0,0-0,0,1,1,2,0,0,0,0,1,0,3
0,J. Barroga,,04:06,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,1,0,0,-3
77,C. Cruz,,02:10,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,2
20,K. Ramilo,,03:26,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-4
26,J. Lintol,,01:55,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,2
,,,,,,,,,,,,,,,,,,,,,,
3,K. Gurtiza,,29:18,27,6-21,28.6,1-10,10,5-11,45.5,10-12,83.3,2,3,5,4,1,1,2,1,8,6
91,W. Oftana,,26:05,17,6-12,50,3-5,60,3-7,42.9,2-2,100,3,8,11,3,0,2,1,1,2,12
9,H. Pagsanjan,,28:38,16,7-11,63.6,6-8,75,1-3,33.3,1-4,25,2,7,9,3,1,1,1,2,5,17
88,N. Ochavo,,13:59,3,1-2,50,0-0,0,1-2,50,0-0,0,0,1,1,5,2,0,0,1,1,10
16,K. Jacob,,17:15,3,1-3,33.3,1-3,33.3,0-0,0,1-1,100,1,5,6,1,0,0,0,1,3,11
,bench ,,,,,,,,,,,,,,,,,,,,,
14,G. Quinal,,11:42,11,3-5,60,1-3,33.3,2-2,100,3-4,75,1,1,2,1,1,0,0,1,1,0
71,N. Lucero,,11:53,9,4-8,50,4-7,57.1,0-1,0,1-3,33.3,0,1,1,2,1,0,0,5,2,-9
8,J. Luciano,,15:55,5,2-3,66.7,1-2,50,1-1,100,0-0,0,1,2,3,0,0,0,0,1,0,7
13,J. Bacud,,08:14,3,1-3,33.3,0-2,0,1-1,100,0-0,0,0,1,1,0,1,0,1,1,0,3
28,G. Loristo,,05:40,3,1-1,100,1-1,100,0-0,0,1-3,33.3,0,0,0,0,0,0,0,2,2,-8
61,A. Doromal,,15:42,2,1-6,16.7,1-5,20,0-1,0,0-0,0,0,2,2,3,1,1,0,3,1,5
81,P. Bagay,,06:05,2,1-1,100,1-1,100,0-0,0,0-0,0,1,0,1,1,0,0,0,0,0,-11
12,B. Angeles,,03:47,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,0
10,J. Manacho,,05:40,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,1,-8
