NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,bench ,,,,,,,,,,,,,,,,,,,,,
13,I. Torres,,17:26,16,6-12,50,3-6,50,3-6,50,1-2,50,0,1,1,2,1,2,0,3,2,16
22,J. Eusebio,,14:21,9,4-6,66.7,3-3,100,1-3,33.3,0-1,0,0,3,3,1,0,0,0,0,2,14
11,J. Cajucom,,13:18,5,2-2,100,1-1,100,1-1,100,0-0,0,0,0,0,0,1,1,1,1,0,6
72,G. Cometa,,12:41,4,2-8,25,2-6,33.3,0-2,0,0-0,0,0,0,0,2,3,1,0,2,0,1
14,R. Ondoa,,14:26,4,2-2,100,2-2,100,0-0,0,0-0,0,0,4,4,0,1,0,1,1,1,9
63,E. Serrano,,05:42,2,1-1,100,1-1,100,0-0,0,0-0,0,1,1,2,0,0,0,1,1,0,-3
8,A. Turco,,09:13,2,1-1,100,1-1,100,0-0,0,0-0,0,0,2,2,0,0,0,1,1,1,-3
6,J. Morales,,09:27,1,0-0,0,0-0,0,0-0,0,1-2,50,0,0,0,1,0,0,0,1,1,-20
1,Z. Jarque,,06:42,0,0-0,0,0-0,0,0-0,0,0-0,0,2,1,3,0,1,0,0,2,0,-12
42,I. Galas,,03:26,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,0,1,0,0,1,0,-9
,starters ,,,,,,,,,,,,,,,,,,,,,
34,A. Liwag,,25:03,12,4-8,50,4-8,50,0-0,0,4-5,80,1,10,11,3,0,1,0,3,4,21
20,J. Sanchez,,20:40,10,5-7,71.4,5-5,100,0-2,0,0-0,0,0,1,1,2,2,1,0,2,2,18
17,J. Ancheta,,16:58,9,4-8,50,3-6,50,1-2,50,0-0,0,1,4,5,2,2,0,0,2,0,4
0,M. Oli,,14:19,6,2-5,40,0-2,0,2-3,66.7,0-0,0,1,0,1,1,0,0,0,2,0,12
9,M. Sangco,,16:11,0,0-2,0,0-2,0,0-0,0,0-0,0,0,4,4,3,0,0,0,1,0,21
,,,,,,,,,,,,,,,,,,,,,,
5,J. Guiab,,30:53,17,5-10,50,5-9,55.6,0-1,0,7-9,77.8,1,2,3,3,0,2,0,2,8,3
31,M. Raymundo,,23:56,13,6-14,42.9,6-14,42.9,0-0,0,1-3,33.3,0,2,2,5,1,3,2,3,3,-5
7,J. Pangilinan,,19:11,8,3-7,42.9,1-2,50,2-5,40,0-0,0,0,2,2,2,3,1,0,2,1,0
17,R. Samontanes,,06:09,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,2,0,0,0,0,0,-1
27,I. Panapanaan,,27:07,0,0-1,0,0-1,0,0-0,0,0-0,0,2,5,7,0,0,0,2,3,0,-17
,bench ,,,,,,,,,,,,,,,,,,,,,
9,S. Argente,,22:40,14,4-10,40,2-2,100,2-8,25,4-4,100,0,3,3,2,0,0,0,1,2,-17
8,W. De Leon,,12:26,4,1-6,16.7,1-6,16.7,0-0,0,2-2,100,3,0,3,1,0,0,0,0,2,0
15,R. Bernardo,,19:58,4,2-4,50,2-3,66.7,0-1,0,0-0,0,0,2,2,0,0,2,0,1,2,7
1,S. Mosqueda,,07:21,3,1-2,50,1-1,100,0-1,0,1-4,25,0,0,0,0,1,0,0,0,2,-5
94,J. Lozano,,20:17,2,1-7,14.3,1-3,33.3,0-4,0,0-0,0,0,3,3,2,1,0,0,1,2,-17
16,V. Sarmiento,,05:26,0,0-4,0,0-4,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,1,-13
55,C. Ferrer,,04:31,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,1,0,0,0,0,-10
