NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
72,C. Hubilla,,36:21,17,6-12,50,5-10,50,1-2,50,4-5,80,3,6,9,2,3,0,0,3,3,13
0,C. Escamis,,32:48,7,3-15,20,2-7,28.6,1-8,12.5,0-0,0,1,0,1,2,2,2,0,2,1,6
12,L. Mangubat,,19:33,4,1-10,10,1-6,16.7,0-4,0,2-2,100,3,1,4,2,3,2,0,1,2,9
34,Y. Concepcion,,21:14,3,1-6,16.7,0-5,0,1-1,100,0-0,0,4,3,7,2,1,2,0,2,0,-4
1,M. Igliane,,17:32,3,1-6,16.7,0-1,0,1-5,20,0-0,0,1,2,3,2,0,1,1,3,1,8
,bench ,,,,,,,,,,,,,,,,,,,,,
10,M. Cuenco,,25:13,11,3-8,37.5,0-1,0,3-7,42.9,2-6,33.3,2,3,5,3,2,0,0,2,6,-8
3,S. Abdulla,,07:11,5,2-2,100,1-1,100,1-1,100,0-0,0,0,1,1,0,1,1,0,1,1,11
5,J. Recto,,21:58,4,2-7,28.6,2-5,40,0-2,0,0-0,0,4,1,5,2,3,0,0,4,0,-10
7,J. Jabonete,,14:40,4,2-7,28.6,2-4,50,0-3,0,0-2,0,0,3,3,0,0,0,0,2,3,-6
18,J. Bancale,,02:09,0,0-2,0,0-0,0,0-2,0,0-0,0,0,0,0,0,0,0,0,1,1,-2
11,A. Fermin,,01:17,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,0,0,0,0,-2
,,,,,,,,,,,,,,,,,,,,,,
9,B. Sajonia,,25:51,12,3-5,60,3-4,75,0-1,0,6-6,100,0,3,3,3,4,3,0,4,5,-3
1,J. Puno,,24:37,11,4-10,40,2-5,40,2-5,40,1-4,25,2,2,4,0,1,0,1,2,3,-2
27,M. Songcuya,,21:20,6,3-3,100,3-3,100,0-0,0,0-2,0,0,4,4,2,1,0,0,2,1,14
77,J. Royo,,05:37,0,0-1,0,0-1,0,0-0,0,0-0,0,0,0,0,2,0,0,0,0,0,-1
13,R. Calimag,,03:53,0,0-1,0,0-0,0,0-1,0,0-2,0,0,1,1,0,1,0,0,1,0,2
8,J. Bonzalida,,00:54,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,1,0,-6
,starters ,,,,,,,,,,,,,,,,,,,,,
21,Y. Andrada,,36:43,9,3-7,42.9,0-1,0,3-6,50,0-0,0,0,5,5,1,1,3,3,2,1,13
0,Z. Estacio,,25:54,6,1-5,20,0-0,0,1-5,20,3-4,75,0,4,4,2,3,2,0,0,2,13
34,B. Lina,,19:25,6,1-5,20,1-5,20,0-0,0,4-8,50,0,3,3,1,0,0,0,2,6,-22
18,J. Payosing,,17:05,3,1-5,20,1-4,25,0-1,0,1-2,50,1,2,3,0,1,0,0,2,2,-7
4,O. Tagle,,18:35,2,0-1,0,0-0,0,0-1,0,2-2,100,0,0,0,0,2,0,0,2,1,-16
