NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
29,V. Cuajao,,44:23,34,12-19,63.2,5-7,71.4,7-12,58.3,3-5,60,0,0,0,1,1,0,2,0,2,16
4,K. Santos,,30:51,13,6-9,66.7,6-9,66.7,0-0,0,1-2,50,3,8,11,0,1,0,3,2,2,7
15,C. Dimaano,,20:03,4,1-2,50,1-2,50,0-0,0,2-2,100,2,5,7,3,3,0,0,5,1,16
7,N. Montecillo,,33:36,2,1-8,12.5,1-2,50,0-6,0,0-0,0,0,5,5,6,4,2,0,5,2,-1
20,J. Jumao-os,,07:49,2,1-3,33.3,1-3,33.3,0-0,0,0-0,0,0,2,2,0,1,0,0,0,0,-8
,bench ,,,,,,,,,,,,,,,,,,,,,
26,J. Estrada,,44:00,30,11-23,47.8,9-18,50,2-5,40,6-6,100,2,5,7,5,6,1,0,2,7,-2
9,P. Javillonar,,27:45,8,2-8,25,2-7,28.6,0-1,0,4-6,66.7,3,1,4,1,1,0,0,3,4,1
2,J. Miller,,19:31,6,1-5,20,0-2,0,1-3,33.3,3-4,75,1,3,4,4,1,1,0,1,4,15
1,J. Nunag,,07:37,2,0-1,0,0-1,0,0-0,0,2-2,100,0,1,1,0,1,0,0,1,2,-9
6,K. Tagotongan,,04:35,0,0-1,0,0-0,0,0-1,0,0-0,0,0,2,2,1,0,0,0,2,0,-2
24,M. Sarza,,05:58,0,0-2,0,0-2,0,0-0,0,0-2,0,1,2,3,0,1,0,0,1,2,-10
8,R. Go,,02:19,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,1,0,0,0,1,-2
91,J. Baliling,,01:28,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,0,0,-6
,,,,,,,,,,,,,,,,,,,,,,
4,P. Are,,28:21,27,10-18,55.6,8-10,80,2-8,25,5-6,83.3,1,1,2,4,2,5,0,5,6,-6
18,T. Felebrico,,42:32,19,8-20,40,7-16,43.8,1-4,25,2-3,66.7,4,8,12,3,1,0,0,2,4,-7
17,R. Gabat,,08:15,6,2-7,28.6,1-4,25,1-3,33.3,1-1,100,1,0,1,0,0,0,0,1,1,-7
2,J. Maliwat,,10:10,3,1-1,100,0-0,0,1-1,100,0-0,0,0,0,0,1,0,0,0,3,0,1
25,V. Suico,,10:35,1,0-0,0,0-0,0,0-0,0,1-2,50,0,1,1,0,1,0,0,4,1,-4
12,J. Pascual,,12:35,0,0-0,0,0-0,0,0-0,0,0-0,0,0,0,0,0,0,0,0,2,1,-2
,starters ,,,,,,,,,,,,,,,,,,,,,
52,N. Aguilar,,31:19,14,5-12,41.7,2-5,40,3-7,42.9,1-2,50,2,3,5,0,2,2,0,1,1,-2
24,L. Velasco,,37:30,12,6-9,66.7,6-9,66.7,0-0,0,0-0,0,7,4,11,2,1,1,2,2,1,0
11,R. Escobido,,31:08,7,2-15,13.3,1-9,11.1,1-6,16.7,2-3,66.7,1,4,5,5,4,2,0,2,2,15
13,H. Ricio,,17:51,6,2-5,40,2-4,50,0-1,0,2-3,66.7,1,2,3,0,1,1,0,1,2,-5
7,P. Gabat,,19:39,3,1-6,16.7,0-3,0,1-3,33.3,0-0,0,0,2,2,1,1,2,0,5,3,2
