PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
I. Galas,CSB,3.4499999999999997,5.797101449275362,14.492753623188406,40.0,5.797101449275362,11.594202898550725,50.0,0.0,2.898550724637681,0.0,8.695652173913043,11.594202898550725,75.0,20.28985507246377,0.0,0.0,0.0,0.0,2.898550724637681,0.0,2.898550724637681,2.898550724637681,2.898550724637681,8.695652173913043,-55.072463768115945,3.0,3.0
J. Barba,LPU,26.167592592600002,7.069813523935581,15.03131524007925,47.0338983051,4.967977070873651,8.662113867164315,57.3529411765,2.1018364530619293,6.3692013729149375,33.0,4.012596864936411,5.477513180706846,73.2558139535,20.2540603658695,1.4012243020412862,5.286437139519398,6.687661441560684,3.311984713915767,2.929832631540871,1.4012243020412862,0.06369201372914937,1.4649163157704355,2.3566045079785267,4.840593043415352,-0.06369201372914937,10.0,18.0
R. Are,SSCR,27.917647058817646,6.13147914032999,15.297092288245956,40.0826446281,4.740834386853085,9.860935524654417,48.0769230769,1.3906447534769049,5.436156763591538,25.5813953488,5.562579013907619,7.648546144122978,72.7272727273,19.216182048044505,2.2123893805314396,2.338811630847522,4.551201011378962,4.677623261695044,2.4652338811636043,2.718078381795769,0.06321112515804114,2.7812895069538097,3.286978508218139,6.005056890013908,-4.1719342604307155,5.0,17.0
J. Guiab,JRU,27.62314814813889,6.214594576477799,10.377769584021177,59.8837209302,5.7922434887560055,8.809036972483092,65.7534246575,0.42235108772179214,1.568732611538085,26.9230769231,5.128548922336047,6.757617403548674,75.8928571429,17.980089163013435,2.715114135354378,4.1028391378688385,6.817953273223216,2.715114135354378,1.8704119599107936,0.7843663057690425,0.060335869674541735,0.8447021754435843,2.2927630476325858,5.0682130526615055,-0.9653739147926678,4.0,18.0
S. Argente,JRU,22.85648148147778,5.1772331375337535,16.042130848696136,32.2727272727,2.333400850719438,6.125177233138525,38.0952380952,2.8438322868143153,9.916953615557613,28.6764705882,4.666801701438876,5.687664573628631,82.0512820513,17.8651002633207,0.8750253190197893,2.4792384038894033,3.3542637229091925,3.28134494632421,1.7500506380395786,0.9479440956047718,0.0,0.9479440956047718,2.260482074134456,4.229289041928982,-0.21875632975494733,4.0,18.0
R. Escobido,SSCR,23.83333333333889,6.363636363634881,18.811188811184426,33.8289962825,4.8251748251737006,10.76923076922826,44.8051948052,1.53846153846118,8.041958041956168,19.1304347826,2.237762237761716,2.7272727272720916,82.0512820513,16.503496503492656,1.53846153846118,2.7272727272720916,4.265734265733271,3.4965034965026818,2.30769230769177,2.097902097901609,0.2097902097901609,2.30769230769177,3.216783216782467,2.237762237761716,-0.559440559440429,6.0,18.0
R. Villegas,LPU,24.43796296297222,5.4559921191204275,11.525783351641902,47.3372781065,3.8191944833842992,7.365589360812577,51.8518518519,1.6367976357361282,4.160193990829326,39.3442622951,3.6827946804062885,4.432993596785347,83.0769230769,16.23157655438327,1.4321979312691122,2.182396847648171,3.614594778917283,2.7961959610492193,1.7049975372251336,1.6367976357361282,0.06819990148900534,1.7049975372251336,1.4321979312691122,3.546394877428278,3.887394384873305,10.0,18.0
K. Gurtiza,EAC,28.282407407405557,5.126862006875438,16.912751677853457,30.3135888502,2.8875429693896146,9.075135046653074,31.8181818182,2.2393190374858234,7.837616631200382,28.5714285714,3.5946963496482955,5.303650351940108,67.7777777778,16.087739400884995,1.7089540022918126,3.241119659518955,4.950073661810768,3.241119659518955,1.5910951055820326,1.0607300703880218,0.8250122769684614,1.885742347356483,1.5910951055820326,3.7125552463580758,0.23571779341956037,9.0,18.0
J. Culanay,LPU,1.87083333335,8.01781737186621,16.03563474373242,50.0,8.01781737186621,8.01781737186621,100.0,0.0,8.01781737186621,0.0,0.0,0.0,0.0,16.03563474373242,0.0,0.0,0.0,0.0,0.0,4.008908685933105,0.0,4.008908685933105,4.008908685933105,0.0,-24.05345211559863,3.0,4.0
M. Barrera,JRU,16.129166666675,6.393696719190703,11.741152157059291,54.4554455446,5.347455437868589,8.253681219318908,64.7887323944,1.0462412813221151,3.487470937740383,30.0,1.9762335313862174,2.2087315939022427,89.4736842105,15.809868251089739,1.0462412813221151,2.0924825626442303,3.138723843966345,1.8599845001282045,1.5112374063541663,0.5812451562900639,0.5812451562900639,1.1624903125801278,2.7899767501923067,2.557478687676281,-10.811159906995188,4.0,16.0
A. Aguilar,SSCR,15.41666666667222,5.4054054054034575,13.297297297292507,40.6504065041,2.4864864864855907,5.837837837835734,42.5925925926,2.918918918917867,7.459459459456772,39.1304347826,1.7297297297291065,2.4864864864855907,69.5652173913,15.459459459453889,1.0810810810806917,3.7837837837824204,4.8648648648631125,1.7297297297291065,2.1621621621613833,1.2972972972968297,0.0,1.2972972972968297,3.351351351350144,2.3783783783775214,4.648648648646973,6.0,18.0
C. Hubilla,MU,25.288888888883335,5.536028119509125,11.401581722322364,48.5549132948,5.206502636205011,10.478910369070842,49.6855345912,0.3295254833041146,0.9226713532515207,35.7142857143,3.888400702988552,5.733743409491593,67.816091954,15.289982425310917,2.240773286467979,5.272407732865833,7.513181019333813,2.108963093146333,3.097539543058677,0.6590509666082291,0.2636203866432916,0.9226713532515207,3.7565905096669066,4.415641476275135,6.458699472760646,15.0,18.0
J. Bagay,EAC,10.13425925926111,6.084970306074722,12.663316582912259,48.0519480519,5.427135678390968,10.52535404294006,51.5625,0.6578346276837538,2.1379625399721998,30.7692307692,2.302421196893138,4.933759707628153,46.6666666667,15.130196436726335,3.453631795339707,2.9602558245768917,6.413887619916599,1.4801279122884459,1.151210598446569,0.8222932846046922,0.0,0.8222932846046922,3.289173138418769,3.618090452260646,-5.0982183645490915,9.0,18.0
J. Estrada,CSJL,33.566666666670585,5.625328582276345,12.564986272561182,44.769874477,5.1521701033932885,10.830071849989974,47.572815534,0.4731584788830571,1.7349144225712094,27.2727272727,3.2595361878610603,3.785267831064457,86.1111111111,14.983351831296808,1.156609615047473,5.572755417956006,6.729365033003479,5.204743267713628,4.310999474267854,0.8937437934457745,0.8411706291254348,1.7349144225712094,2.8389508732983426,3.6275483381034377,0.5257316432033967,8.0,17.0
B. Sajonia,SBU,20.53125,4.383561643835616,12.32876712328767,35.5555555556,2.4657534246575343,6.4840182648401825,38.0281690141,1.917808219178082,5.844748858447488,32.8125,4.292237442922374,5.7534246575342465,74.6031746032,14.977168949771688,0.91324200913242,4.383561643835616,5.296803652968036,2.648401826484018,2.73972602739726,1.36986301369863,0.547945205479452,1.917808219178082,2.557077625570776,4.748858447488584,5.844748858447488,8.0,16.0
Z. Jarque,CSB,6.046296296288889,5.513016845336003,10.474732006138407,52.6315789474,2.7565084226680017,2.7565084226680017,100.0,2.7565084226680017,7.718223583470405,35.7142857143,1.1026033690672008,1.1026033690672008,100.0,14.88514548240721,2.2052067381344016,4.410413476268803,6.615620214403204,0.5513016845336004,4.961715160802403,0.0,1.1026033690672008,1.1026033690672008,9.372128637071205,0.5513016845336004,-4.961715160802403,8.0,9.0
H. Pagsanjan,EAC,24.447222222233332,5.453925690259991,11.521418020674233,47.3372781065,4.567662765592743,8.112714464261737,56.3025210084,0.8862629246672487,3.408703556412495,26.0,2.9996591296429953,5.181229405746992,57.8947368421,14.793773434830227,1.5680036359497476,5.044881263490492,6.61288489944024,1.9088739915909971,1.2271332803084982,1.3634814225649978,0.6817407112824989,2.045222133847497,3.4768776275407447,3.7495739120537444,3.067833200771245,9.0,18.0
G. Cometa,CSB,17.29444444443889,5.974943784132982,12.528107934472382,47.6923076923,4.336652746548132,7.9987150658554445,54.2168674699,1.6382910375848498,4.529392868616939,36.170212766,1.1564407324128354,1.9274012206880589,60.0,14.74461933826365,1.7346610986192528,2.216511403791267,3.9511725024105204,3.4693221972385055,2.987471892066491,1.2528107934472383,0.0,1.2528107934472383,2.698361708963282,1.445550915516044,7.324124638614624,14.0,18.0
C. Escamis,MU,31.51574074073333,4.653759144461534,13.69685930017656,33.9768339768,2.8557158386468506,5.711431677293701,50.0,1.7980433058146839,7.9854276228828605,22.5165562914,3.5960866116293677,4.759526397744751,75.5555555556,14.70164820636712,0.7403707729825169,2.697064958722026,3.437435731704542,3.8076211181958004,2.2211123189475503,1.7980433058146839,0.2644181332080417,2.0624614390227256,1.7451596791730755,3.9133883714790176,6.346035196993001,15.0,18.0
B. Lina,SBU,22.005555555566666,4.998737692499369,9.391567785907906,53.2258064516,4.998737692499369,9.391567785907906,53.2258064516,0.0,0.0,0.0,4.695783892953953,6.967937389544576,67.3913043478,14.693259277952691,2.2721534965906227,4.089876293863121,6.362029790453743,1.3632920979543734,1.66624589749979,0.4544306993181245,0.0,0.4544306993181245,3.029537995454163,5.150214592272078,6.513506690226452,5.0,9.0
M. Guadana,LPU,24.44358974359231,5.003671457043428,13.500472044475663,37.0629370629,3.870764712052463,7.3638938424412705,52.5641025641,1.1329067449909647,6.136578202034392,18.461538461499998,3.3043113395569805,4.531626979963859,72.9166666667,14.444560998634799,1.1329067449909647,3.587538025804722,4.7204447707956865,2.9266757578933253,1.793769012902361,1.6049512220705333,0.3776355816636549,1.9825868037341883,1.5105423266546196,3.4931291303888075,1.038497849575051,7.0,13.0
P. Javillonar,CSJL,23.177380952385715,4.900097591041162,10.447377882785874,46.9026548673,3.1434588319886703,5.454825620215634,57.6271186441,1.7566387590524923,4.992552262570241,35.1851851852,2.6811854743432777,3.8830962042212986,69.0476190476,14.238019415478094,1.5717294159943351,3.79064153269222,5.362370948686555,0.5547280291744712,2.034002773639728,0.2773640145872356,0.1849093430581571,0.4622733576453927,3.328368175046827,3.420822846575906,-2.773640145872356,7.0,14.0
N. Quinal,EAC,14.08425925923889,4.970087436730612,14.910262310191836,33.3333333333,2.0117020577242952,4.970087436730612,40.4761904762,2.958385379006317,9.940174873461224,29.7619047619,1.3016895667627792,2.0117020577242952,64.7058823529,14.20024981923032,1.6566958122435373,2.840049963846064,4.496745776089601,1.6566958122435373,1.5383603970832846,0.9466833212820213,0.11833541516025266,1.065018736442274,3.55006245480758,1.6566958122435373,1.065018736442274,9.0,18.0
K. Monje,CSJL,19.265476190478573,5.116480257059245,10.455416177468893,48.9361702128,3.44806278193123,6.3399864054864565,54.3859649123,1.6684174751280147,4.115429771982437,40.5405405405,2.2245566335040197,3.0031514552304266,74.0740740741,14.125934622750524,0.7785948217264069,2.8919236235552255,3.6705184452816324,1.223506148427211,1.6684174751280147,0.7785948217264069,0.22245566335040196,1.001050485076809,2.7806957918800244,2.1133288018288185,-3.6705184452816324,5.0,14.0
J. Ancheta,CSB,18.166666666670586,5.245547760387427,10.685375067455869,49.0909090909,3.6913113869393004,6.2169454937925055,59.375,1.5542363734481264,4.4684295736633635,34.7826086957,1.9427954668101581,2.9141932002152373,66.6666666667,13.988127361033138,0.5828386400430474,4.371289800322856,4.954128440365903,4.274150026982348,3.3027522935772686,0.8742579600645711,0.0,0.8742579600645711,2.6227738801937135,4.17701025364184,5.245547760387427,13.0,17.0
J. Capulong,AU,25.396296296305554,5.0532302756289,12.075251567736593,41.847826087,4.528219337901222,9.581449613530122,47.2602739726,0.5250109377276779,2.49380195420647,21.0526315789,3.3469447280139466,6.497010354380014,51.5151515152,13.978416216999426,1.9687910164787923,5.7751203150044566,7.7439113314832495,1.312527344319195,1.3781537115351545,1.4437800787511141,1.1812746098872753,2.62505468863839,3.412571095229907,5.643867580572538,-2.8875601575022283,7.0,18.0
M. Cuenco,MU,26.208333333333332,4.833068362480128,10.747217806041334,44.9704142012,2.2257551669316378,4.769475357710652,46.6666666667,2.60731319554849,5.977742448330684,43.6170212766,1.6534181240063592,2.798092209856916,59.0909090909,13.926868044515103,1.1446740858505564,2.3529411764705883,3.4976152623211445,3.3068362480127185,1.4626391096979332,0.699523052464229,0.06359300476947537,0.7631160572337043,2.988871224165342,2.670906200317965,1.6534181240063592,15.0,18.0
E. Serrano,CSB,3.7833333333375,4.955947136558419,6.938325991181785,71.4285714286,4.955947136558419,6.938325991181785,71.4285714286,0.0,0.0,0.0,3.9647577092467348,5.947136563870102,66.6666666667,13.87665198236357,3.9647577092467348,4.955947136558419,8.920704845805153,0.9911894273116837,0.0,0.9911894273116837,2.973568281935051,3.9647577092467348,4.955947136558419,3.9647577092467348,2.973568281935051,8.0,8.0
A. Liwag,CSB,31.670370370366665,5.578294936265417,10.156706817917222,54.9222797927,5.578294936265417,10.051455970063158,55.497382199,0.0,0.10525084785406447,0.0,2.6838966202786443,5.367793240557289,50.0,13.840486492809479,3.2101508595489663,7.472810197638577,10.682961057187544,2.210267804935354,1.947140685300193,0.5262542392703223,1.157759326394709,1.6840135656650315,2.1576423810083214,5.473044088411353,8.94632206759548,14.0,18.0
T. Ongotan,AU,25.162962962955554,4.967618486901668,13.843096850165983,35.8851674641,4.5702090079495346,10.332646452755471,44.2307692308,0.39740947895213347,3.5104503974105126,11.320754717,3.3779805710931345,4.901383573742979,68.9189189189,13.710627023848605,2.9143361789823126,4.106564615838713,7.020900794821025,2.1195172210780453,1.9208124816019785,2.0532823079193565,0.6623491315868891,2.7156314395062457,2.9143361789823126,4.172799528997402,-0.7285840447455781,7.0,18.0
J. Miller-Aquinginoc,CSJL,15.248039215688236,3.8191988683850293,8.911464026231736,42.8571428571,2.8933324760492645,5.555198354014587,52.0833333333,0.9258663923357647,3.356265672217147,27.5862068966,5.092265157846706,6.133864849224441,83.0188679245,13.65652928695253,1.6202661865875883,3.8191988683850293,5.439465054972617,3.587732270301088,3.703465569343059,1.9674660837135,0.0,1.9674660837135,2.3146659808394117,6.712531344434294,-0.23146659808394118,8.0,17.0
R. Abiera,AU,12.04411764704706,3.9560439560478207,15.091575091589833,26.213592233,1.7582417582434757,5.714285714291297,30.7692307692,2.1978021978043447,9.377289377298537,23.4375,3.5164835164869515,4.981684981689847,70.5882352941,13.626373626386938,1.0256410256420274,2.783882783885503,3.8095238095275303,1.7582417582434757,2.051282051284055,1.172161172162317,0.29304029304057927,1.4652014652028964,2.1978021978043447,2.783882783885503,-8.937728937737669,7.0,17.0
