PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Capulong,AU,25.396296296305554,5.0532302756289,12.075251567736593,41.847826087,4.528219337901222,9.581449613530122,47.2602739726,0.5250109377276779,2.49380195420647,21.0526315789,3.3469447280139466,6.497010354380014,51.5151515152,13.978416216999426,1.9687910164787923,5.7751203150044566,7.7439113314832495,1.312527344319195,1.3781537115351545,1.4437800787511141,1.1812746098872753,2.62505468863839,3.412571095229907,5.643867580572538,-2.8875601575022283,7.0,18.0
T. Ongotan,AU,25.162962962955554,4.967618486901668,13.843096850165983,35.8851674641,4.5702090079495346,10.332646452755471,44.2307692308,0.39740947895213347,3.5104503974105126,11.320754717,3.3779805710931345,4.901383573742979,68.9189189189,13.710627023848605,2.9143361789823126,4.106564615838713,7.020900794821025,2.1195172210780453,1.9208124816019785,2.0532823079193565,0.6623491315868891,2.7156314395062457,2.9143361789823126,4.172799528997402,-0.7285840447455781,7.0,18.0
R. Abiera,AU,12.04411764704706,3.9560439560478207,15.091575091589833,26.213592233,1.7582417582434757,5.714285714291297,30.7692307692,2.1978021978043447,9.377289377298537,23.4375,3.5164835164869515,4.981684981689847,70.5882352941,13.626373626386938,1.0256410256420274,2.783882783885503,3.8095238095275303,1.7582417582434757,2.051282051284055,1.172161172162317,0.29304029304057927,1.4652014652028964,2.1978021978043447,2.783882783885503,-8.937728937737669,7.0,17.0
S. Valencia,AU,24.977450980394117,4.80433332024926,13.211916630685465,36.3636363636,4.097813714330251,9.679318601090422,42.3357664234,0.7065196059190089,3.5325980295950443,20.0,2.5434705813084317,4.521725477881657,56.25,12.85865682772596,1.5543431330218194,3.3206421478193415,4.874985280841161,2.6141225419003327,1.9076029359813238,1.695647054205621,0.28260784236760356,1.9782548965732247,2.40216666012463,3.8152058719626476,-3.7445539113707467,7.0,17.0
K. Vinoya,AU,24.2712962963,4.394765955822776,10.849578453437477,40.5063291139,3.227406248807351,6.386144279554971,50.5376344086,1.1673597070154247,4.463434173882506,26.1538461538,1.7167054514932718,3.296074466867082,52.0833333333,11.673597070154248,0.7553503986570396,4.463434173882506,5.218784572539546,2.0600465417919263,2.2660511959711185,1.3046961431348865,0.34334109029865434,1.648037233433541,2.8840651585086965,2.8153969404489656,0.0,7.0,18.0
J. Hernal,AU,16.72450980392941,3.2710006448193814,8.441291986630661,38.75,3.059968345153615,7.491646638134712,40.8450704225,0.21103229966576653,0.9496453484959494,22.2222222222,3.3765167946522645,6.11993669030723,55.1724137931,10.129550383956794,4.115129843482447,4.5371944428139805,8.652324286296428,1.8992906969918988,1.3717099478274826,1.477226097660366,1.2661937979945992,2.743419895654965,4.220645993315331,4.326162143148214,-0.21103229966576653,7.0,17.0
C. Libang,AU,5.950000000005882,4.745427582793134,10.67721206128455,44.4444444444,4.745427582793134,10.084033613435409,47.0588235294,0.0,0.5931784478491418,0.0,0.5931784478491418,2.6693030153211375,22.2222222222,10.084033613435409,3.2624814631702796,3.855659911019421,7.1181413741897,1.4829461196228544,1.779535343547425,2.372713791396567,0.0,2.372713791396567,5.0420168067177045,3.2624814631702796,-8.897676717737127,7.0,17.0
Y. Camay,AU,14.09166666666111,3.5481963335318545,7.924305144887808,44.776119403,2.956830277943212,5.204021289180052,56.8181818182,0.5913660555886424,2.720283855707755,21.7391304348,2.3654642223545697,3.5481963335318545,66.6666666667,10.05322294500692,0.7096392667063709,1.8923713778836557,2.602010644590026,3.0751034890609406,2.602010644590026,0.8279124778240994,0.11827321111772848,0.9461856889418279,3.6664695446495825,3.6664695446495825,0.9461856889418279,7.0,18.0
K. Flores,AU,5.661904761914286,4.541631623205144,14.381833473482956,31.5789473684,3.7846930193376203,9.840201850277813,38.4615384615,0.7569386038675241,4.541631623205144,16.6666666667,0.0,0.7569386038675241,0.0,9.840201850277813,2.270815811602572,0.7569386038675241,3.0277544154700964,0.7569386038675241,1.5138772077350482,0.7569386038675241,0.7569386038675241,1.5138772077350482,4.541631623205144,0.7569386038675241,-16.652649285085527,4.0,7.0
E. Geronimo,AU,20.835185185188887,4.07963736556678,7.999288952091725,51.0,3.679672917962194,6.479424051194298,56.7901234568,0.39996444760458627,1.5198649008974279,26.3157894737,1.279886232334676,2.239800906585683,57.1428571429,9.839125411072821,1.279886232334676,2.159808017064766,3.439694249399442,2.719758243711187,2.159808017064766,1.1199004532928416,0.23997866856275174,1.3598791218555935,1.6798506799392625,1.7598435694601795,0.23997866856275174,7.0,18.0
J. De Leon,AU,4.6333333333125,3.237410071957003,7.2841726619032565,44.4444444444,2.4280575539677525,4.046762589946254,60.0,0.8093525179892508,3.237410071957003,25.0,2.4280575539677525,3.237410071957003,75.0,9.71223021587101,1.6187050359785016,3.237410071957003,4.856115107935505,7.2841726619032565,4.046762589946254,4.046762589946254,0.0,4.046762589946254,4.046762589946254,4.046762589946254,5.665467625924755,2.0,8.0
W. Miller,AU,7.701960784317646,3.207739307534009,9.164969450097168,35.0,2.74949083502915,7.102851323825305,38.7096774194,0.4582484725048584,2.0621181262718626,22.2222222222,2.0621181262718626,2.9786150712815793,69.23076923080001,8.935845213844738,2.0621181262718626,3.665987780038867,5.72810590631073,0.9164969450097168,1.374745417514575,1.145621181262146,0.0,1.145621181262146,1.6038696537670045,3.207739307534009,-5.72810590631073,6.0,17.0
A. Acop,AU,5.049999999988889,1.980198019806337,8.580858085827462,23.0769230769,1.980198019806337,6.600660066021123,30.0,0.0,1.980198019806337,0.0,1.980198019806337,2.6402640264084494,75.0,5.940594059419011,3.3003300330105616,2.6402640264084494,5.940594059419011,5.280528052816899,0.6600660066021123,1.980198019806337,0.0,1.980198019806337,2.6402640264084494,3.3003300330105616,5.940594059419011,1.0,9.0
A. Borromeo,AU,18.24537037036667,2.649073839127663,6.2116214158855545,42.6470588235,2.649073839127663,5.480842425781371,48.3333333333,0.0,0.7307789901041828,0.0,0.63943161634116,1.7356001014974343,36.8421052632,5.937579294596485,1.91829484902348,4.019284445573006,5.937579294596485,2.55772646536464,1.27886323268232,1.6442527277344112,0.09134737376302285,1.7356001014974343,3.2885054554688224,2.3750317178385942,0.9134737376302285,7.0,18.0
A. Estacio,AU,3.9312500000125,1.9077901430781945,5.723370429234584,33.3333333333,1.9077901430781945,5.723370429234584,33.3333333333,0.0,0.0,0.0,1.9077901430781945,3.815580286156389,50.0,5.723370429234584,0.9538950715390973,4.7694753576954865,5.723370429234584,0.0,0.9538950715390973,0.9538950715390973,0.9538950715390973,1.9077901430781945,4.7694753576954865,4.7694753576954865,-26.709062003094726,1.0,8.0
J. Dela Cruz,AU,2.3333333333399997,2.5714285714212246,10.285714285684898,25.0,2.5714285714212246,10.285714285684898,25.0,0.0,0.0,0.0,0.0,2.5714285714212246,0.0,5.142857142842449,0.0,2.5714285714212246,2.5714285714212246,2.5714285714212246,2.5714285714212246,0.0,0.0,0.0,5.142857142842449,2.5714285714212246,-35.99999999989715,2.0,5.0
B. Rosalin,AU,2.983333333325,2.5139664804539494,7.541899441361849,33.3333333333,2.5139664804539494,7.541899441361849,33.3333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.027932960907899,0.0,2.5139664804539494,2.5139664804539494,2.5139664804539494,0.0,0.0,2.5139664804539494,2.5139664804539494,5.027932960907899,0.0,-47.76536312862505,2.0,4.0
J. Espiritu,AU,2.57916666665,1.4539579967783778,8.723747980670266,16.6666666667,0.0,5.815831987113511,0.0,1.4539579967783778,2.9079159935567556,50.0,0.0,0.0,0.0,4.361873990335133,1.4539579967783778,2.9079159935567556,4.361873990335133,7.269789983891888,1.4539579967783778,0.0,0.0,0.0,5.815831987113511,0.0,-33.44103392590269,0.0,8.0
