,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
Z. Jarque,CSB,54.41666666660001,10.0,19.0,52.63157894736842,5.0,5.0,100.0,5.0,14.0,35.714285714285715,2.0,2.0,100.0,27.0,4.0,8.0,12.0,1.0,9.0,0.0,2.0,2.0,17.0,1.0,-9.0,8.0,9.0
J. Ancheta,CSB,308.7666666667,54.0,110.0,49.09090909090909,38.0,64.0,59.375,16.0,46.0,34.78260869565217,20.0,30.0,66.66666666666667,144.0,6.0,45.0,51.0,44.0,34.0,8.0,0.0,8.0,27.0,43.0,54.0,13.0,17.0
J. Arciaga,CSB,7.0166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-3.0,2.0,2.0
J. Cajucom,CSB,168.86666666669998,11.0,39.0,28.205128205128204,6.0,21.0,28.571428571428573,5.0,18.0,27.77777777777778,6.0,10.0,60.0,33.0,2.0,11.0,13.0,11.0,10.0,8.0,2.0,10.0,16.0,13.0,5.0,12.0,16.0
A. Turco,CSB,73.90000000020001,8.0,14.0,57.142857142857146,8.0,14.0,57.142857142857146,0.0,0.0,0.0,5.0,9.0,55.55555555555556,21.0,5.0,11.0,16.0,2.0,2.0,0.0,7.0,7.0,10.0,8.0,-10.0,11.0,14.0
J. Eusebio,CSB,208.9666666668,25.0,76.0,32.89473684210526,15.0,28.0,53.57142857142857,10.0,48.0,20.833333333333332,12.0,29.0,41.37931034482759,72.0,15.0,47.0,62.0,12.0,11.0,4.0,7.0,11.0,21.0,22.0,64.0,14.0,18.0
G. Cometa,CSB,311.23333333320005,62.0,130.0,47.69230769230769,45.0,83.0,54.21686746987952,17.0,47.0,36.170212765957444,12.0,20.0,60.0,153.0,18.0,23.0,41.0,36.0,31.0,13.0,0.0,13.0,28.0,15.0,76.0,14.0,18.0
G. Carillo,CSB,14.6,2.0,5.0,40.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-8.0,3.0,3.0
J. Morales,CSB,190.78333333339998,15.0,59.0,25.423728813559322,5.0,15.0,33.333333333333336,10.0,44.0,22.727272727272727,5.0,10.0,50.0,45.0,9.0,23.0,32.0,8.0,6.0,3.0,2.0,5.0,22.0,6.0,-2.0,13.0,17.0
J. Sanchez,CSB,441.0666666666,69.0,145.0,47.58620689655172,64.0,112.0,57.142857142857146,5.0,33.0,15.151515151515152,45.0,66.0,68.18181818181819,188.0,42.0,66.0,108.0,42.0,44.0,17.0,8.0,25.0,40.0,57.0,106.0,14.0,18.0
I. Galas,CSB,10.35,2.0,5.0,40.0,2.0,4.0,50.0,0.0,1.0,0.0,3.0,4.0,75.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,-19.0,3.0,3.0
E. Serrano,CSB,30.2666666667,5.0,7.0,71.42857142857143,5.0,7.0,71.42857142857143,0.0,0.0,0.0,4.0,6.0,66.66666666666667,14.0,4.0,5.0,9.0,1.0,0.0,1.0,3.0,4.0,5.0,4.0,3.0,8.0,8.0
I. Torres,CSB,309.21666666650003,45.0,122.0,36.885245901639344,23.0,53.0,43.39622641509434,22.0,69.0,31.884057971014492,17.0,23.0,73.91304347826087,129.0,8.0,29.0,37.0,40.0,27.0,18.0,4.0,22.0,24.0,22.0,158.0,14.0,18.0
W. Ynot,CSB,336.41666666669994,50.0,129.0,38.75968992248062,30.0,55.0,54.54545454545455,20.0,74.0,27.027027027027028,22.0,29.0,75.86206896551724,142.0,20.0,56.0,76.0,60.0,31.0,19.0,0.0,19.0,21.0,19.0,117.0,11.0,14.0
M. Oli,CSB,150.8166666665,19.0,53.0,35.84905660377358,8.0,14.0,57.142857142857146,11.0,39.0,28.205128205128204,6.0,8.0,75.0,55.0,12.0,9.0,21.0,9.0,4.0,3.0,0.0,3.0,26.0,9.0,20.0,12.0,16.0
M. Sangco,CSB,332.68333333320004,32.0,81.0,39.50617283950617,22.0,54.0,40.74074074074074,10.0,27.0,37.03703703703704,15.0,28.0,53.57142857142857,89.0,16.0,53.0,69.0,23.0,11.0,11.0,6.0,17.0,28.0,19.0,58.0,14.0,18.0
R. Ondoa,CSB,128.3833333334,22.0,39.0,56.41025641025641,21.0,36.0,58.333333333333336,1.0,3.0,33.333333333333336,3.0,7.0,42.857142857142854,48.0,14.0,25.0,39.0,2.0,9.0,3.0,3.0,6.0,13.0,5.0,60.0,13.0,16.0
A. Liwag,CSB,570.0666666666,106.0,193.0,54.92227979274612,106.0,191.0,55.49738219895288,0.0,2.0,0.0,51.0,102.0,50.0,263.0,61.0,142.0,203.0,42.0,37.0,10.0,22.0,32.0,41.0,104.0,170.0,14.0,18.0
