,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
K. Tagotongan,CSJL,31.9499999999,2.0,7.0,28.571428571428573,1.0,2.0,50.0,1.0,5.0,20.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,8.0,2.0,-26.0,3.0,6.0
P. Javillonar,CSJL,220.3333333334,33.0,73.0,45.205479452054796,22.0,39.0,56.41025641025641,11.0,34.0,32.35294117647059,23.0,33.0,69.6969696969697,100.0,13.0,26.0,39.0,5.0,15.0,2.0,2.0,4.0,20.0,31.0,-52.0,6.0,10.0
J. Baliling,CSJL,24.8333333333,1.0,9.0,11.11111111111111,0.0,0.0,0.0,1.0,9.0,11.11111111111111,0.0,0.0,0.0,3.0,2.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,-13.0,6.0,11.0
J. Pradella,CSJL,30.3499999999,2.0,6.0,33.333333333333336,2.0,4.0,50.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,1.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,6.0,4.0,8.0,4.0,7.0
K. Monje,CSJL,162.1333333333,26.0,58.0,44.827586206896555,17.0,34.0,50.0,9.0,24.0,37.5,16.0,21.0,76.19047619047619,77.0,3.0,17.0,20.0,7.0,12.0,2.0,2.0,4.0,19.0,16.0,-37.0,4.0,10.0
N. Montecillo,CSJL,344.03333333330005,31.0,102.0,30.392156862745097,12.0,31.0,38.70967741935484,19.0,71.0,26.760563380281692,11.0,15.0,73.33333333333333,92.0,11.0,40.0,51.0,42.0,26.0,17.0,0.0,17.0,35.0,22.0,14.0,7.0,14.0
J. Estrada,CSJL,76.25,20.0,44.0,45.45454545454545,18.0,38.0,47.36842105263158,2.0,6.0,33.333333333333336,17.0,19.0,89.47368421052632,59.0,3.0,11.0,14.0,10.0,12.0,4.0,0.0,4.0,4.0,15.0,1.0,1.0,2.0
S. Estrada,CSJL,358.75,66.0,136.0,48.529411764705884,65.0,125.0,52.0,1.0,11.0,9.090909090909092,36.0,44.0,81.81818181818181,169.0,17.0,65.0,82.0,59.0,52.0,7.0,11.0,18.0,38.0,39.0,7.0,6.0,11.0
I. Dimaano,CSJL,120.99999999999999,8.0,19.0,42.10526315789474,7.0,13.0,53.84615384615385,1.0,6.0,16.666666666666668,7.0,13.0,53.84615384615385,24.0,7.0,16.0,23.0,3.0,4.0,1.0,1.0,2.0,18.0,9.0,-33.0,5.0,9.0
C. Dimaano,CSJL,34.8666666667,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,2.0,100.0,4.0,2.0,6.0,8.0,4.0,3.0,0.0,0.0,0.0,10.0,2.0,11.0,1.0,2.0
K. Santos,CSJL,339.8333333333,43.0,97.0,44.329896907216494,41.0,88.0,46.59090909090909,2.0,9.0,22.22222222222222,26.0,33.0,78.78787878787878,114.0,25.0,67.0,92.0,16.0,29.0,8.0,32.0,40.0,19.0,33.0,3.0,7.0,14.0
C. Delfino,CSJL,83.96666666660002,4.0,21.0,19.047619047619047,4.0,14.0,28.571428571428573,0.0,7.0,0.0,2.0,4.0,50.0,10.0,5.0,4.0,9.0,9.0,4.0,5.0,2.0,7.0,16.0,8.0,-9.0,5.0,10.0
V. Cuajao,CSJL,460.50000000010004,60.0,155.0,38.70967741935484,21.0,29.0,72.41379310344827,39.0,126.0,30.952380952380953,16.0,22.0,72.72727272727273,175.0,4.0,24.0,28.0,20.0,10.0,13.0,3.0,16.0,24.0,21.0,-26.0,7.0,14.0
J. Jumao-os,CSJL,112.3166666667,15.0,42.0,35.714285714285715,12.0,27.0,44.44444444444444,3.0,15.0,20.0,8.0,12.0,66.66666666666667,41.0,3.0,15.0,18.0,5.0,8.0,4.0,1.0,5.0,13.0,9.0,-4.0,7.0,12.0
M. Sarza,CSJL,6.4333333334,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,-8.0,1.0,2.0
E. Galoy,CSJL,17.2333333333,1.0,5.0,20.0,1.0,3.0,33.333333333333336,0.0,2.0,0.0,3.0,4.0,75.0,5.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,5.0,-20.0,2.0,3.0
J. Miller,CSJL,205.73333333329998,29.0,60.0,48.333333333333336,21.0,38.0,55.26315789473684,8.0,22.0,36.36363636363637,35.0,43.0,81.3953488372093,101.0,9.0,27.0,36.0,24.0,24.0,14.0,0.0,14.0,15.0,42.0,6.0,7.0,13.0
J. Nunag,CSJL,190.61666666670004,17.0,40.0,42.5,15.0,34.0,44.11764705882353,2.0,6.0,33.333333333333336,6.0,12.0,50.0,42.0,10.0,49.0,59.0,7.0,12.0,3.0,5.0,8.0,25.0,9.0,56.0,7.0,14.0
R. Go,CSJL,102.5833333333,13.0,31.0,41.935483870967744,13.0,25.0,52.0,0.0,6.0,0.0,15.0,21.0,71.42857142857143,41.0,9.0,16.0,25.0,4.0,3.0,1.0,2.0,3.0,12.0,16.0,-8.0,4.0,10.0
