PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
K. Tagotongan,CSJL,5.3249999999833335,0.3333333333333333,1.1666666666666667,28.5714285714,0.16666666666666666,0.3333333333333333,50.0,0.16666666666666666,0.8333333333333334,20.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,-4.333333333333333,3.0,6.0
J. Baliling,CSJL,2.2575757575727273,0.09090909090909091,0.8181818181818182,11.1111111111,0.0,0.0,0.0,0.09090909090909091,0.8181818181818182,11.1111111111,0.0,0.0,0.0,0.2727272727272727,0.18181818181818182,0.36363636363636365,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,-1.1818181818181819,6.0,11.0
V. Cuajao,CSJL,33.15256410256923,4.3076923076923075,11.076923076923077,38.8888888889,1.5384615384615385,2.0,76.9230769231,2.769230769230769,9.076923076923077,30.5084745763,1.0769230769230769,1.3846153846153846,77.7777777778,12.461538461538462,0.3076923076923077,1.7692307692307692,2.076923076923077,1.4615384615384615,0.6153846153846154,0.9230769230769231,0.23076923076923078,1.1538461538461537,1.6153846153846154,1.3846153846153846,-0.5384615384615384,7.0,13.0
S. Estrada,CSJL,32.61363636363637,6.0,12.363636363636363,48.5294117647,5.909090909090909,11.363636363636363,52.0,0.09090909090909091,1.0,9.0909090909,3.272727272727273,4.0,81.8181818182,15.363636363636363,1.5454545454545454,5.909090909090909,7.454545454545454,5.363636363636363,4.7272727272727275,0.6363636363636364,1.0,1.6363636363636365,3.4545454545454546,3.5454545454545454,0.6363636363636364,6.0,11.0
J. Estrada,CSJL,44.0,11.0,23.0,47.8260869565,9.0,18.0,50.0,2.0,5.0,40.0,6.0,6.0,100.0,30.0,2.0,5.0,7.0,5.0,6.0,1.0,0.0,1.0,2.0,7.0,-2.0,1.0,1.0
R. Go,CSJL,8.344444444444443,1.1111111111111112,2.5555555555555554,43.4782608696,1.1111111111111112,2.111111111111111,52.6315789474,0.0,0.4444444444444444,0.0,1.3333333333333333,1.6666666666666667,80.0,3.5555555555555554,0.8888888888888888,0.6666666666666666,1.5555555555555556,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3333333333333333,1.1111111111111112,1.3333333333333333,-1.0,4.0,9.0
J. Miller,CSJL,15.131944444441666,2.0833333333333335,4.333333333333333,48.0769230769,1.4166666666666667,2.5833333333333335,54.8387096774,0.6666666666666666,1.75,38.0952380952,2.25,2.75,81.8181818182,7.083333333333333,0.6666666666666666,2.0833333333333335,2.75,1.8333333333333333,1.75,1.0833333333333333,0.0,1.0833333333333333,1.0833333333333333,2.8333333333333335,0.08333333333333333,7.0,12.0
K. Santos,CSJL,24.876923076923074,3.3076923076923075,7.461538461538462,44.3298969072,3.1538461538461537,6.769230769230769,46.5909090909,0.15384615384615385,0.6923076923076923,22.2222222222,1.8461538461538463,2.230769230769231,82.7586206897,8.615384615384615,1.9230769230769231,4.923076923076923,6.846153846153846,1.2307692307692308,2.076923076923077,0.6153846153846154,2.4615384615384617,3.076923076923077,1.3076923076923077,2.3076923076923075,0.3076923076923077,7.0,13.0
P. Javillonar,CSJL,23.898148148155556,3.6666666666666665,7.888888888888889,46.4788732394,2.4444444444444446,4.111111111111111,59.4594594595,1.2222222222222223,3.7777777777777777,32.3529411765,2.4444444444444446,3.4444444444444446,70.9677419355,11.0,1.4444444444444444,2.888888888888889,4.333333333333333,0.5555555555555556,1.6666666666666667,0.2222222222222222,0.2222222222222222,0.4444444444444444,2.2222222222222223,3.2222222222222223,-5.222222222222222,6.0,9.0
J. Nunag,CSJL,13.184615384615386,1.2307692307692308,3.0,41.0256410256,1.0769230769230769,2.5384615384615383,42.4242424242,0.15384615384615385,0.46153846153846156,33.3333333333,0.38461538461538464,0.7692307692307693,50.0,3.0,0.5384615384615384,3.5384615384615383,4.076923076923077,0.46153846153846156,0.8461538461538461,0.23076923076923078,0.3076923076923077,0.5384615384615384,1.6153846153846154,0.6153846153846154,4.230769230769231,7.0,13.0
J. Pradella,CSJL,4.3357142857,0.2857142857142857,0.8571428571428571,33.3333333333,0.2857142857142857,0.5714285714285714,50.0,0.0,0.2857142857142857,0.0,0.0,0.5714285714285714,0.0,0.5714285714285714,0.14285714285714285,0.8571428571428571,1.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571,0.5714285714285714,1.1428571428571428,4.0,7.0
N. Montecillo,CSJL,25.246153846153845,2.230769230769231,7.538461538461538,29.5918367347,0.9230769230769231,2.230769230769231,41.3793103448,1.3076923076923077,5.3076923076923075,24.6376811594,0.8461538461538461,1.1538461538461537,73.3333333333,6.615384615384615,0.8461538461538461,2.8461538461538463,3.6923076923076925,3.076923076923077,1.7692307692307692,1.2307692307692308,0.0,1.2307692307692308,2.4615384615384617,1.6153846153846154,1.7692307692307692,7.0,13.0
M. Sarza,CSJL,3.2166666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,1.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,-4.0,1.0,2.0
