,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Devera,EAC,18.5833333332,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,0.0,5.0,6.0,2.0,-10.0,2.0,6.0
J. Luciano,EAC,185.4000000002,17.0,41.0,41.46341463414634,11.0,27.0,40.74074074074074,6.0,14.0,42.857142857142854,5.0,10.0,50.0,45.0,8.0,27.0,35.0,7.0,8.0,1.0,0.0,1.0,17.0,12.0,-77.0,6.0,13.0
N. Ochavo,EAC,195.45,14.0,56.0,25.0,7.0,30.0,23.333333333333332,7.0,26.0,26.923076923076923,24.0,33.0,72.72727272727273,59.0,19.0,19.0,38.0,52.0,18.0,13.0,0.0,13.0,18.0,35.0,55.0,6.0,13.0
J. Manacho,EAC,39.550000000100006,4.0,11.0,36.36363636363637,4.0,11.0,36.36363636363637,0.0,0.0,0.0,3.0,7.0,42.857142857142854,11.0,1.0,11.0,12.0,2.0,2.0,0.0,1.0,1.0,3.0,6.0,-11.0,5.0,9.0
P. Bagay,EAC,121.16666666660001,28.0,49.0,57.142857142857146,24.0,39.0,61.53846153846154,4.0,10.0,40.0,12.0,22.0,54.54545454545455,72.0,15.0,9.0,24.0,4.0,3.0,1.0,0.0,1.0,11.0,15.0,-4.0,6.0,13.0
N. Lucero,EAC,153.55,17.0,77.0,22.07792207792208,17.0,65.0,26.153846153846153,0.0,12.0,0.0,20.0,29.0,68.96551724137932,54.0,2.0,16.0,18.0,43.0,28.0,8.0,1.0,9.0,35.0,27.0,-39.0,6.0,12.0
B. Angeles,EAC,52.1666666667,4.0,6.0,66.66666666666667,3.0,3.0,100.0,1.0,3.0,33.333333333333336,0.0,2.0,0.0,9.0,2.0,10.0,12.0,6.0,5.0,0.0,0.0,0.0,9.0,2.0,-30.0,6.0,11.0
G. Quinal,EAC,192.2499999998,35.0,99.0,35.35353535353536,15.0,35.0,42.857142857142854,20.0,64.0,31.25,10.0,14.0,71.42857142857143,100.0,12.0,16.0,28.0,11.0,11.0,7.0,0.0,7.0,22.0,11.0,32.0,6.0,13.0
R. Postanes,EAC,12.150000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,-10.0,0.0,4.0
J. Bacud,EAC,107.7166666667,10.0,21.0,47.61904761904762,9.0,19.0,47.36842105263158,1.0,2.0,50.0,2.0,7.0,28.571428571428573,23.0,15.0,18.0,33.0,4.0,3.0,3.0,1.0,4.0,9.0,8.0,-2.0,5.0,11.0
G. Loristo,EAC,201.6833333333,21.0,34.0,61.76470588235294,18.0,27.0,66.66666666666667,3.0,7.0,42.857142857142854,11.0,23.0,47.82608695652174,56.0,6.0,29.0,35.0,4.0,13.0,2.0,15.0,17.0,26.0,21.0,-19.0,6.0,13.0
D. Ednilag,EAC,14.850000000000001,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,5.0,20.0,5.0,3.0,2.0,5.0,0.0,2.0,1.0,1.0,2.0,6.0,4.0,3.0,0.0,3.0
E. Umpad,EAC,92.19999999979999,6.0,12.0,50.0,6.0,12.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,10.0,10.0,20.0,2.0,12.0,0.0,4.0,4.0,14.0,9.0,-33.0,4.0,11.0
A. Doromal,EAC,184.71666666660002,17.0,81.0,20.987654320987655,10.0,47.0,21.27659574468085,7.0,34.0,20.58823529411765,7.0,17.0,41.1764705882353,48.0,3.0,20.0,23.0,23.0,17.0,4.0,1.0,5.0,15.0,13.0,-15.0,5.0,11.0
K. Gurtiza,EAC,366.2833333333,65.0,211.0,30.805687203791468,32.0,110.0,29.09090909090909,33.0,101.0,32.67326732673267,46.0,67.0,68.65671641791045,209.0,22.0,30.0,52.0,39.0,19.0,14.0,6.0,20.0,20.0,48.0,4.0,6.0,13.0
H. Pagsanjan,EAC,314.88333333350005,53.0,112.0,47.32142857142857,46.0,84.0,54.76190476190476,7.0,28.0,25.0,31.0,51.0,60.78431372549019,144.0,15.0,56.0,71.0,18.0,14.0,12.0,5.0,17.0,39.0,39.0,28.0,6.0,13.0
W. Oftana,EAC,272.0,39.0,104.0,37.5,18.0,43.0,41.86046511627907,21.0,61.0,34.42622950819672,12.0,23.0,52.17391304347826,111.0,19.0,62.0,81.0,14.0,10.0,24.0,13.0,37.0,37.0,23.0,59.0,6.0,13.0
K. Jacob,EAC,98.8333333333,11.0,19.0,57.89473684210526,11.0,19.0,57.89473684210526,0.0,0.0,0.0,7.0,14.0,50.0,29.0,5.0,16.0,21.0,2.0,3.0,4.0,0.0,4.0,6.0,12.0,47.0,4.0,7.0
