PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Luciano,EAC,14.427777777791666,1.4166666666666667,3.4166666666666665,41.4634146341,0.9166666666666666,2.25,40.7407407407,0.5,1.1666666666666667,42.8571428571,0.4166666666666667,0.8333333333333334,50.0,3.75,0.6666666666666666,2.0833333333333335,2.75,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.0,0.08333333333333333,1.25,1.0,-6.166666666666667,6.0,12.0
J. Manacho,EAC,4.394444444455555,0.4444444444444444,1.2222222222222223,36.3636363636,0.4444444444444444,1.2222222222222223,36.3636363636,0.0,0.0,0.0,0.3333333333333333,0.7777777777777778,42.8571428571,1.2222222222222223,0.1111111111111111,1.2222222222222223,1.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6666666666666666,-1.2222222222222223,5.0,9.0
K. Gurtiza,EAC,28.143055555550003,5.083333333333333,16.083333333333332,31.6062176166,2.5,8.416666666666666,29.702970297,2.5833333333333335,7.666666666666667,33.6956521739,3.8333333333333335,5.416666666666667,70.76923076919999,16.583333333333332,1.6666666666666667,2.25,3.9166666666666665,2.9166666666666665,1.5,1.0,0.5,1.5,1.5833333333333333,3.75,1.25,6.0,12.0
R. Postanes,EAC,3.0375,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1.0,25.0,0.25,0.25,0.25,0.5,0.0,0.25,0.25,0.0,0.25,0.25,0.5,-2.5,0.0,4.0
K. Jacob,EAC,14.119047619042858,1.5714285714285714,2.7142857142857144,57.8947368421,1.5714285714285714,2.7142857142857144,57.8947368421,0.0,0.0,0.0,1.0,2.0,50.0,4.142857142857143,0.7142857142857143,2.2857142857142856,3.0,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.0,0.5714285714285714,0.8571428571428571,1.7142857142857142,6.714285714285714,4.0,7.0
B. Angeles,EAC,4.80833333334,0.4,0.6,66.6666666667,0.3,0.3,100.0,0.1,0.3,33.3333333333,0.0,0.2,0.0,0.9,0.2,0.9,1.1,0.5,0.5,0.0,0.0,0.0,0.8,0.2,-2.3,6.0,10.0
P. Bagay,EAC,8.995833333325,2.25,3.9166666666666665,57.4468085106,1.9166666666666667,3.1666666666666665,60.5263157895,0.3333333333333333,0.75,44.4444444444,0.9166666666666666,1.6666666666666667,55.0,5.75,1.1666666666666667,0.6666666666666666,1.8333333333333333,0.25,0.25,0.08333333333333333,0.0,0.08333333333333333,0.75,1.1666666666666667,-0.4166666666666667,6.0,12.0
N. Ochavo,EAC,15.261111111108333,1.0833333333333333,4.416666666666667,24.5283018868,0.5833333333333334,2.4166666666666665,24.1379310345,0.5,2.0,25.0,2.0,2.75,72.7272727273,4.666666666666667,1.4166666666666667,1.3333333333333333,2.75,4.166666666666667,1.3333333333333333,1.0833333333333333,0.0,1.0833333333333333,1.4166666666666667,2.9166666666666665,4.166666666666667,6.0,12.0
N. Lucero,EAC,12.856060606063636,1.3636363636363635,6.090909090909091,22.3880597015,1.3636363636363635,5.090909090909091,26.7857142857,0.0,1.0,0.0,1.7272727272727273,2.4545454545454546,70.3703703704,4.454545454545454,0.18181818181818182,1.2727272727272727,1.4545454545454546,3.6363636363636362,2.272727272727273,0.6363636363636364,0.09090909090909091,0.7272727272727273,2.8181818181818183,2.1818181818181817,-3.5454545454545454,6.0,11.0
J. Devera,EAC,3.0972222221999997,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,50.0,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.0,0.8333333333333334,1.0,0.3333333333333333,-1.6666666666666667,2.0,6.0
