,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
C. Ferrer,JRU,43.0166666666,4.0,11.0,36.36363636363637,3.0,9.0,33.333333333333336,1.0,2.0,50.0,1.0,2.0,50.0,10.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,-13.0,3.0,10.0
L. Benitez,JRU,94.68333333339999,9.0,19.0,47.36842105263158,9.0,19.0,47.36842105263158,0.0,0.0,0.0,0.0,4.0,0.0,18.0,11.0,19.0,30.0,3.0,11.0,3.0,8.0,11.0,26.0,9.0,-22.0,2.0,8.0
M. Barrera,JRU,151.4666666668,24.0,53.0,45.283018867924525,19.0,36.0,52.77777777777778,5.0,17.0,29.41176470588235,12.0,13.0,92.3076923076923,65.0,7.0,5.0,12.0,8.0,6.0,2.0,2.0,4.0,10.0,12.0,-59.0,3.0,10.0
W. De Leon,JRU,95.28333333340001,3.0,21.0,14.285714285714286,3.0,21.0,14.285714285714286,0.0,0.0,0.0,11.0,16.0,68.75,17.0,9.0,9.0,18.0,4.0,5.0,4.0,0.0,4.0,9.0,12.0,-40.0,3.0,12.0
M. Raymundo,JRU,302.61666666680003,49.0,129.0,37.98449612403101,47.0,118.0,39.83050847457627,2.0,11.0,18.181818181818183,30.0,39.0,76.92307692307692,130.0,28.0,41.0,69.0,34.0,22.0,19.0,8.0,27.0,25.0,35.0,-4.0,3.0,12.0
D. Garcia,JRU,33.5999999999,6.0,14.0,42.857142857142854,6.0,11.0,54.54545454545455,0.0,3.0,0.0,1.0,2.0,50.0,13.0,1.0,4.0,5.0,1.0,4.0,4.0,1.0,5.0,6.0,2.0,3.0,1.0,5.0
J. Pangilinan,JRU,174.5666666667,17.0,68.0,25.0,6.0,27.0,22.22222222222222,11.0,41.0,26.829268292682926,11.0,17.0,64.70588235294117,56.0,9.0,15.0,24.0,13.0,21.0,8.0,1.0,9.0,11.0,13.0,-54.0,3.0,12.0
V. Sarmiento,JRU,91.4166666666,10.0,25.0,40.0,10.0,25.0,40.0,0.0,0.0,0.0,4.0,12.0,33.333333333333336,24.0,9.0,26.0,35.0,7.0,9.0,3.0,3.0,6.0,17.0,13.0,-52.0,3.0,10.0
R. Samontanes,JRU,53.3833333332,1.0,12.0,8.333333333333334,0.0,1.0,0.0,1.0,11.0,9.090909090909092,0.0,0.0,0.0,3.0,1.0,3.0,4.0,8.0,5.0,4.0,0.0,4.0,3.0,3.0,1.0,3.0,9.0
K. De Jesus,JRU,50.6166666667,4.0,11.0,36.36363636363637,4.0,11.0,36.36363636363637,0.0,0.0,0.0,1.0,4.0,25.0,9.0,2.0,7.0,9.0,3.0,2.0,0.0,1.0,1.0,7.0,7.0,7.0,1.0,7.0
I. Panapanaan,JRU,267.08333333329995,10.0,33.0,30.303030303030305,10.0,29.0,34.48275862068966,0.0,4.0,0.0,17.0,32.0,53.125,37.0,23.0,32.0,55.0,25.0,13.0,12.0,17.0,29.0,33.0,23.0,-13.0,3.0,12.0
S. Mosqueda,JRU,68.2999999999,11.0,29.0,37.93103448275862,9.0,21.0,42.857142857142854,2.0,8.0,25.0,4.0,7.0,57.142857142857146,28.0,3.0,5.0,8.0,3.0,3.0,3.0,1.0,4.0,2.0,8.0,-25.0,3.0,9.0
J. Guiab,JRU,318.4333333331,69.0,116.0,59.48275862068966,65.0,99.0,65.65656565656566,4.0,17.0,23.529411764705884,48.0,64.0,75.0,190.0,31.0,45.0,76.0,30.0,18.0,10.0,1.0,11.0,22.0,55.0,9.0,3.0,12.0
R. Bernardo,JRU,100.78333333329999,10.0,28.0,35.714285714285715,7.0,15.0,46.666666666666664,3.0,13.0,23.076923076923077,10.0,14.0,71.42857142857143,33.0,1.0,8.0,9.0,5.0,9.0,6.0,0.0,6.0,11.0,10.0,41.0,2.0,7.0
S. Argente,JRU,263.9833333332,46.0,140.0,32.857142857142854,20.0,53.0,37.735849056603776,26.0,87.0,29.885057471264368,51.0,64.0,79.6875,169.0,4.0,26.0,30.0,25.0,14.0,9.0,0.0,9.0,21.0,44.0,0.0,3.0,12.0
J. Lozano,JRU,109.2499999999,16.0,48.0,33.333333333333336,13.0,28.0,46.42857142857143,3.0,20.0,15.0,5.0,8.0,62.5,40.0,4.0,15.0,19.0,12.0,6.0,1.0,1.0,2.0,9.0,9.0,-26.0,2.0,7.0
J. Medina,JRU,108.64999999999999,18.0,42.0,42.857142857142854,15.0,36.0,41.666666666666664,3.0,6.0,50.0,7.0,14.0,50.0,46.0,5.0,12.0,17.0,9.0,9.0,5.0,4.0,9.0,11.0,11.0,8.0,2.0,7.0
P. Ramos,JRU,71.6833333333,5.0,23.0,21.73913043478261,4.0,17.0,23.529411764705884,1.0,6.0,16.666666666666668,9.0,12.0,75.0,20.0,2.0,2.0,4.0,15.0,10.0,2.0,1.0,3.0,9.0,10.0,-51.0,1.0,7.0
