PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Guiab,JRU,27.62314814813889,5.722222222222222,9.555555555555555,59.8837209302,5.333333333333333,8.11111111111111,65.7534246575,0.3888888888888889,1.4444444444444444,26.9230769231,4.722222222222222,6.222222222222222,75.8928571429,16.555555555555557,2.5,3.7777777777777777,6.277777777777778,2.5,1.7222222222222223,0.7222222222222222,0.05555555555555555,0.7777777777777778,2.111111111111111,4.666666666666667,-0.8888888888888888,4.0,18.0
S. Argente,JRU,22.85648148147778,3.9444444444444446,12.222222222222221,32.2727272727,1.7777777777777777,4.666666666666667,38.0952380952,2.1666666666666665,7.555555555555555,28.6764705882,3.5555555555555554,4.333333333333333,82.0512820513,13.61111111111111,0.6666666666666666,1.8888888888888888,2.5555555555555554,2.5,1.3333333333333333,0.7222222222222222,0.0,0.7222222222222222,1.7222222222222223,3.2222222222222223,-0.16666666666666666,4.0,18.0
M. Raymundo,JRU,24.824074074077778,3.7777777777777777,10.11111111111111,37.3626373626,3.611111111111111,9.055555555555555,39.8773006135,0.16666666666666666,1.0555555555555556,15.7894736842,1.9444444444444444,2.611111111111111,74.4680851064,9.666666666666666,2.111111111111111,3.0555555555555554,5.166666666666667,3.2777777777777777,1.9444444444444444,1.5,0.5,2.0,2.3333333333333335,2.7222222222222223,0.2222222222222222,4.0,18.0
M. Barrera,JRU,16.129166666675,3.4375,6.3125,54.4554455446,2.875,4.4375,64.7887323944,0.5625,1.875,30.0,1.0625,1.1875,89.4736842105,8.5,0.5625,1.125,1.6875,1.0,0.8125,0.3125,0.3125,0.625,1.5,1.375,-5.8125,4.0,16.0
J. Medina,JRU,15.3770833333375,2.375,5.875,40.4255319149,2.0,5.0,40.0,0.375,0.875,42.8571428571,0.875,1.75,50.0,6.0,0.625,1.625,2.25,1.375,1.125,0.625,0.5,1.125,1.625,1.5,-1.5,2.0,8.0
R. Bernardo,JRU,12.491666666666667,1.6666666666666667,4.083333333333333,40.8163265306,1.3333333333333333,2.6666666666666665,50.0,0.3333333333333333,1.4166666666666667,23.5294117647,1.0,1.3333333333333333,75.0,4.666666666666667,0.4166666666666667,1.3333333333333333,1.75,0.75,1.3333333333333333,0.5833333333333334,0.0,0.5833333333333334,2.25,1.1666666666666667,2.5,3.0,12.0
J. Pangilinan,JRU,13.400925925922222,1.3888888888888888,5.333333333333333,26.0416666667,0.3888888888888889,1.8888888888888888,20.5882352941,1.0,3.4444444444444446,29.0322580645,0.7777777777777778,1.1666666666666667,66.6666666667,4.555555555555555,0.6666666666666666,1.1666666666666667,1.8333333333333333,1.1111111111111112,1.6111111111111112,0.6666666666666666,0.05555555555555555,0.7222222222222222,1.1111111111111112,0.9444444444444444,-3.9444444444444446,4.0,18.0
J. Lozano,JRU,13.490277777766666,1.5833333333333333,5.083333333333333,31.1475409836,1.1666666666666667,2.5833333333333335,45.1612903226,0.4166666666666667,2.5,16.6666666667,0.5,0.8333333333333334,60.0,4.083333333333333,0.5,1.75,2.25,1.5,0.6666666666666666,0.25,0.16666666666666666,0.4166666666666667,1.4166666666666667,1.1666666666666667,-1.9166666666666667,3.0,12.0
V. Sarmiento,JRU,9.8875,1.1875,2.5625,46.3414634146,1.1875,2.5,47.5,0.0,0.0625,0.0,1.0,1.625,61.5384615385,3.375,0.8125,2.3125,3.125,0.9375,1.0,0.375,0.1875,0.5625,1.75,1.4375,-3.5,4.0,16.0
P. Ramos,JRU,12.060606060600001,0.9090909090909091,3.272727272727273,27.7777777778,0.8181818181818182,2.3636363636363638,34.615384615400004,0.09090909090909091,0.9090909090909091,10.0,1.0,1.6363636363636365,61.1111111111,2.909090909090909,0.2727272727272727,0.9090909090909091,1.1818181818181819,1.9090909090909092,1.2727272727272727,0.45454545454545453,0.09090909090909091,0.5454545454545454,1.5454545454545454,1.3636363636363635,-4.363636363636363,2.0,11.0
K. De Jesus,JRU,9.012820512823076,1.1538461538461537,2.3846153846153846,48.3870967742,1.1538461538461537,2.3846153846153846,48.3870967742,0.0,0.0,0.0,0.3076923076923077,1.1538461538461537,26.6666666667,2.6153846153846154,0.6153846153846154,1.3846153846153846,2.0,0.8461538461538461,0.46153846153846156,0.15384615384615385,0.23076923076923078,0.38461538461538464,1.6153846153846154,1.0769230769230769,2.076923076923077,2.0,13.0
D. Garcia,JRU,6.71999999998,1.2,2.8,42.8571428571,1.2,2.2,54.5454545455,0.0,0.6,0.0,0.2,0.4,50.0,2.6,0.2,0.8,1.0,0.2,0.8,0.8,0.2,1.0,1.2,0.4,0.6,1.0,5.0
I. Panapanaan,JRU,19.804629629627776,0.7222222222222222,2.4444444444444446,29.5454545455,0.7222222222222222,2.2222222222222223,32.5,0.0,0.2222222222222222,0.0,1.0555555555555556,1.8888888888888888,55.8823529412,2.5,1.5555555555555556,2.388888888888889,3.9444444444444446,1.6111111111111112,0.7777777777777778,0.9444444444444444,1.2777777777777777,2.2222222222222223,2.5,1.5555555555555556,-2.611111111111111,4.0,18.0
M. De Leon,JRU,9.326851851855556,0.5555555555555556,2.1666666666666665,25.641025641,0.5555555555555556,2.1666666666666665,25.641025641,0.0,0.0,0.0,1.0,1.6111111111111112,62.0689655172,2.111111111111111,0.8333333333333334,1.4444444444444444,2.2777777777777777,0.3888888888888889,0.4444444444444444,0.3333333333333333,0.0,0.3333333333333333,1.1111111111111112,1.2777777777777777,-2.888888888888889,4.0,18.0
S. Mosqueda,JRU,7.721428571421429,0.7857142857142857,2.7857142857142856,28.2051282051,0.6428571428571429,1.9285714285714286,33.3333333333,0.14285714285714285,0.8571428571428571,16.6666666667,0.35714285714285715,0.6428571428571429,55.5555555556,2.0714285714285716,0.21428571428571427,0.5714285714285714,0.7857142857142857,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.7142857142857143,-1.2857142857142858,4.0,14.0
L. Benitez,JRU,10.05833333334,0.9,1.9,47.3684210526,0.9,1.9,47.3684210526,0.0,0.0,0.0,0.0,0.4,0.0,1.8,1.1,1.9,3.0,0.3,1.1,0.3,0.8,1.1,3.0,1.0,-2.5,3.0,10.0
C. Ferrer,JRU,4.565476190471428,0.35714285714285715,1.1428571428571428,31.25,0.21428571428571427,0.9285714285714286,23.0769230769,0.14285714285714285,0.21428571428571427,66.6666666667,0.07142857142857142,0.14285714285714285,50.0,0.9285714285714286,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,0.6428571428571429,0.14285714285714285,-0.7142857142857143,3.0,14.0
R. Samontes,JRU,5.784722222208334,0.3333333333333333,1.4166666666666667,23.5294117647,0.25,0.3333333333333333,75.0,0.08333333333333333,1.0833333333333333,7.6923076923,0.0,0.0,0.0,0.75,0.16666666666666666,0.3333333333333333,0.5,0.75,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.5,0.25,-0.8333333333333334,3.0,12.0
