,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
N. Moralejo,LPU,110.46666666649999,14.0,30.0,46.666666666666664,9.0,16.0,56.25,5.0,14.0,35.714285714285715,9.0,12.0,75.0,42.0,3.0,9.0,12.0,8.0,6.0,5.0,0.0,5.0,8.0,13.0,-4.0,5.0,13.0
M. Guadana,LPU,232.41666666670002,42.0,109.0,38.53211009174312,31.0,57.0,54.3859649122807,11.0,52.0,21.153846153846153,26.0,37.0,70.27027027027027,121.0,8.0,25.0,33.0,22.0,13.0,11.0,2.0,13.0,11.0,28.0,3.0,3.0,9.0
M. Versoza,LPU,79.85000000010001,8.0,16.0,50.0,8.0,16.0,50.0,0.0,0.0,0.0,2.0,8.0,25.0,18.0,8.0,11.0,19.0,2.0,6.0,1.0,3.0,4.0,13.0,8.0,-24.0,2.0,5.0
O. Gordon,LPU,73.0500000001,4.0,22.0,18.181818181818183,2.0,13.0,15.384615384615385,2.0,9.0,22.22222222222222,3.0,6.0,50.0,13.0,2.0,10.0,12.0,3.0,5.0,4.0,0.0,4.0,12.0,7.0,-18.0,5.0,11.0
R. Colian,LPU,1.5166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-10.0,1.0,1.0
R. Villegas,LPU,324.95000000010003,56.0,125.0,44.8,38.0,80.0,47.5,18.0,45.0,40.0,42.0,50.0,84.0,172.0,15.0,23.0,38.0,29.0,19.0,20.0,1.0,21.0,16.0,38.0,39.0,6.0,14.0
S. Penafiel,LPU,199.6000000001,24.0,64.0,37.5,23.0,49.0,46.93877551020408,1.0,15.0,6.666666666666667,15.0,22.0,68.18181818181819,64.0,7.0,9.0,16.0,14.0,6.0,4.0,1.0,5.0,17.0,14.0,-58.0,6.0,14.0
V. Cunanan,LPU,354.1333333332,28.0,85.0,32.94117647058823,22.0,40.0,55.0,6.0,45.0,13.333333333333334,19.0,26.0,73.07692307692308,81.0,11.0,43.0,54.0,67.0,19.0,26.0,2.0,28.0,28.0,35.0,0.0,6.0,13.0
L. Pallingayan,LPU,28.0333333334,2.0,3.0,66.66666666666667,2.0,3.0,66.66666666666667,0.0,0.0,0.0,1.0,2.0,50.0,5.0,1.0,3.0,4.0,5.0,4.0,1.0,0.0,1.0,4.0,1.0,-12.0,4.0,9.0
K. Caduyac,LPU,44.6833333334,3.0,15.0,20.0,2.0,2.0,100.0,1.0,13.0,7.6923076923076925,4.0,5.0,80.0,11.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,-25.0,3.0,8.0
J. Panelo,LPU,82.2,7.0,20.0,35.0,6.0,17.0,35.294117647058826,1.0,3.0,33.333333333333336,6.0,10.0,60.0,21.0,6.0,15.0,21.0,1.0,4.0,1.0,1.0,2.0,13.0,9.0,-6.0,6.0,13.0
J. Daileg,LPU,241.6999999999,32.0,81.0,39.50617283950617,18.0,38.0,47.36842105263158,14.0,43.0,32.55813953488372,15.0,21.0,71.42857142857143,93.0,12.0,43.0,55.0,10.0,6.0,4.0,3.0,7.0,18.0,20.0,41.0,6.0,14.0
J. Barba,LPU,372.16666666680004,84.0,193.0,43.523316062176164,58.0,109.0,53.211009174311926,26.0,84.0,30.952380952380953,48.0,64.0,75.0,242.0,21.0,68.0,89.0,43.0,40.0,16.0,0.0,16.0,33.0,55.0,-8.0,6.0,14.0
D. Paulo,LPU,25.300000000000004,3.0,9.0,33.333333333333336,2.0,5.0,40.0,1.0,4.0,25.0,0.0,2.0,0.0,7.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,4.0,1.0,-8.0,1.0,5.0
G. Aviles,LPU,276.6666666667,21.0,58.0,36.206896551724135,20.0,54.0,37.03703703703704,1.0,4.0,25.0,7.0,17.0,41.1764705882353,50.0,18.0,48.0,66.0,11.0,7.0,3.0,4.0,7.0,34.0,24.0,6.0,6.0,14.0
J. Bravo,LPU,109.08333333339999,16.0,48.0,33.333333333333336,11.0,22.0,50.0,5.0,26.0,19.23076923076923,17.0,22.0,77.27272727272727,54.0,10.0,24.0,34.0,5.0,8.0,0.0,2.0,2.0,16.0,15.0,-15.0,2.0,5.0
G. Montano,LPU,285.2333333334,46.0,103.0,44.66019417475728,27.0,50.0,54.0,19.0,53.0,35.84905660377358,18.0,24.0,75.0,129.0,10.0,26.0,36.0,21.0,19.0,9.0,6.0,15.0,37.0,28.0,15.0,6.0,14.0
D. Culanay,LPU,7.483333333400001,2.0,4.0,50.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-6.0,3.0,4.0
