,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
S. Abdulla,MU,28.9499999999,4.0,6.0,66.66666666666667,2.0,3.0,66.66666666666667,2.0,3.0,66.66666666666667,1.0,2.0,50.0,11.0,0.0,2.0,2.0,2.0,3.0,4.0,0.0,4.0,3.0,3.0,5.0,6.0,7.0
E. Ryan,MU,76.3166666666,4.0,11.0,36.36363636363637,4.0,10.0,40.0,0.0,1.0,0.0,4.0,14.0,28.571428571428573,12.0,9.0,8.0,17.0,3.0,0.0,1.0,3.0,4.0,16.0,10.0,-1.0,8.0,11.0
M. Cuenco,MU,380.5000000001,61.0,138.0,44.20289855072464,28.0,62.0,45.16129032258065,33.0,76.0,43.421052631578945,21.0,36.0,58.333333333333336,176.0,16.0,31.0,47.0,44.0,19.0,11.0,1.0,12.0,36.0,32.0,-4.0,11.0,14.0
A. Fermin,MU,35.7666666665,3.0,9.0,33.333333333333336,3.0,6.0,50.0,0.0,3.0,0.0,3.0,4.0,75.0,9.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,-6.0,9.0,11.0
J. Jabonete,MU,177.1333333334,30.0,72.0,41.666666666666664,27.0,54.0,50.0,3.0,18.0,16.666666666666668,3.0,15.0,20.0,66.0,15.0,43.0,58.0,6.0,7.0,6.0,5.0,11.0,22.0,18.0,-4.0,10.0,13.0
L. Mangubat,MU,378.2,44.0,136.0,32.35294117647059,14.0,40.0,35.0,30.0,96.0,31.25,13.0,19.0,68.42105263157895,131.0,17.0,38.0,55.0,27.0,22.0,13.0,0.0,13.0,30.0,25.0,72.0,11.0,14.0
N. Agemenyi,MU,58.8166666665,5.0,17.0,29.41176470588235,4.0,9.0,44.44444444444444,1.0,8.0,12.5,1.0,4.0,25.0,12.0,7.0,13.0,20.0,1.0,3.0,1.0,0.0,1.0,15.0,5.0,-33.0,8.0,10.0
C. Escamis,MU,457.69999999990006,70.0,208.0,33.65384615384615,43.0,88.0,48.86363636363637,27.0,120.0,22.5,49.0,67.0,73.13432835820896,216.0,13.0,39.0,52.0,56.0,34.0,27.0,5.0,32.0,29.0,60.0,76.0,11.0,14.0
J. Bancale,MU,177.15000000000003,23.0,56.0,41.07142857142857,16.0,34.0,47.05882352941177,7.0,22.0,31.818181818181817,10.0,13.0,76.92307692307692,63.0,14.0,17.0,31.0,20.0,14.0,7.0,0.0,7.0,24.0,14.0,11.0,10.0,13.0
Y. Concepcion,MU,216.11666666660003,25.0,52.0,48.07692307692308,24.0,47.0,51.06382978723404,1.0,5.0,20.0,17.0,26.0,65.38461538461539,68.0,35.0,32.0,67.0,7.0,12.0,10.0,7.0,17.0,32.0,18.0,4.0,11.0,14.0
J. Recto,MU,167.6833333334,21.0,50.0,42.0,18.0,36.0,50.0,3.0,14.0,21.428571428571427,8.0,13.0,61.53846153846154,53.0,12.0,36.0,48.0,20.0,23.0,12.0,5.0,17.0,26.0,14.0,-23.0,6.0,8.0
A. Pantaleon,MU,6.2,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,-5.0,5.0,5.0
J. Garcia,MU,36.0,2.0,15.0,13.333333333333334,0.0,1.0,0.0,2.0,14.0,14.285714285714286,2.0,2.0,100.0,8.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,9.0,2.0,-24.0,5.0,6.0
C. Hubilla,MU,355.03333333330005,67.0,137.0,48.90510948905109,63.0,128.0,49.21875,4.0,9.0,44.44444444444444,45.0,70.0,64.28571428571429,183.0,26.0,60.0,86.0,22.0,34.0,9.0,3.0,12.0,46.0,50.0,64.0,11.0,14.0
M. Igliane,MU,272.26666666660003,15.0,51.0,29.41176470588235,9.0,25.0,36.0,6.0,26.0,23.076923076923077,14.0,22.0,63.63636363636363,50.0,21.0,45.0,66.0,16.0,16.0,5.0,6.0,11.0,37.0,21.0,69.0,10.0,13.0
