,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
Z. Jalbuena,SBU,18.0833333333,2.0,5.0,40.0,1.0,4.0,25.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,1.0,5.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,2.0,3.0
A. Sollano,SBU,5.8666666666000005,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-21.0,2.0,4.0
N. Gonzales,SBU,203.4500000001,15.0,55.0,27.272727272727273,6.0,28.0,21.428571428571427,9.0,27.0,33.333333333333336,1.0,2.0,50.0,40.0,6.0,21.0,27.0,22.0,13.0,5.0,0.0,5.0,20.0,9.0,-34.0,7.0,13.0
D. Celzo,SBU,185.5666666668,12.0,33.0,36.36363636363637,12.0,33.0,36.36363636363637,0.0,0.0,0.0,16.0,28.0,57.142857142857146,40.0,20.0,20.0,40.0,7.0,13.0,4.0,3.0,7.0,29.0,25.0,6.0,10.0,17.0
O. Tagle,SBU,177.28333333320003,10.0,41.0,24.390243902439025,1.0,11.0,9.090909090909092,9.0,30.0,30.0,5.0,7.0,71.42857142857143,34.0,2.0,7.0,9.0,13.0,8.0,4.0,0.0,4.0,12.0,5.0,-18.0,7.0,12.0
J. Payosing,SBU,334.10000000009995,49.0,132.0,37.121212121212125,42.0,95.0,44.21052631578947,7.0,37.0,18.91891891891892,30.0,54.0,55.55555555555556,135.0,27.0,72.0,99.0,29.0,18.0,11.0,4.0,15.0,27.0,37.0,26.0,10.0,18.0
R. Jalbuena,SBU,28.85,2.0,7.0,28.571428571428573,2.0,5.0,40.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,2.0,3.0,5.0,3.0,4.0,1.0,1.0,2.0,6.0,4.0,3.0,2.0,5.0
J. Puno,SBU,453.45000000000005,66.0,149.0,44.29530201342282,47.0,103.0,45.63106796116505,19.0,46.0,41.30434782608695,52.0,73.0,71.23287671232876,203.0,34.0,83.0,117.0,26.0,27.0,12.0,3.0,15.0,23.0,60.0,80.0,10.0,18.0
J. Bonzalida,SBU,56.93333333339999,5.0,15.0,33.333333333333336,3.0,6.0,50.0,2.0,9.0,22.22222222222222,0.0,0.0,0.0,12.0,4.0,7.0,11.0,3.0,1.0,1.0,1.0,2.0,13.0,3.0,-16.0,7.0,11.0
J. Royo,SBU,118.40000000010001,7.0,25.0,28.0,5.0,14.0,35.714285714285715,2.0,11.0,18.181818181818183,2.0,7.0,28.571428571428573,18.0,4.0,8.0,12.0,11.0,10.0,4.0,1.0,5.0,9.0,10.0,-2.0,7.0,12.0
P. Estacio,SBU,68.6833333334,7.0,22.0,31.818181818181817,4.0,10.0,40.0,3.0,12.0,25.0,1.0,3.0,33.333333333333336,18.0,1.0,7.0,8.0,9.0,4.0,1.0,0.0,1.0,11.0,5.0,-15.0,2.0,5.0
R. Calimag,SBU,73.01666666679999,5.0,22.0,22.727272727272727,1.0,7.0,14.285714285714286,4.0,15.0,26.666666666666668,1.0,7.0,14.285714285714286,15.0,3.0,12.0,15.0,3.0,4.0,0.0,1.0,1.0,10.0,4.0,-23.0,5.0,10.0
I. Culdora,SBU,11.100000000000001,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,4.0,8.0,50.0,6.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,5.0,1.0,2.0
Y. Andrada,SBU,533.8166666664,83.0,199.0,41.70854271356784,43.0,86.0,50.0,40.0,113.0,35.39823008849557,17.0,27.0,62.96296296296296,223.0,23.0,81.0,104.0,29.0,26.0,9.0,8.0,17.0,26.0,26.0,30.0,10.0,18.0
M. Songcuya,SBU,268.4500000001,22.0,47.0,46.808510638297875,22.0,44.0,50.0,0.0,3.0,0.0,12.0,22.0,54.54545454545455,56.0,28.0,51.0,79.0,10.0,17.0,6.0,11.0,17.0,37.0,28.0,55.0,10.0,18.0
B. Lina,SBU,198.0500000001,33.0,62.0,53.225806451612904,33.0,62.0,53.225806451612904,0.0,0.0,0.0,31.0,46.0,67.3913043478261,97.0,15.0,27.0,42.0,9.0,11.0,3.0,0.0,3.0,20.0,34.0,43.0,5.0,9.0
B. Sajonia,SBU,328.5,48.0,135.0,35.55555555555556,27.0,71.0,38.028169014084504,21.0,64.0,32.8125,47.0,63.0,74.60317460317461,164.0,10.0,48.0,58.0,29.0,30.0,15.0,6.0,21.0,28.0,52.0,64.0,8.0,16.0
K. Culdora,SBU,6.883333333300001,1.0,2.0,50.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,-7.0,3.0,3.0
RC. Calimag,SBU,165.6833333334,25.0,74.0,33.78378378378378,14.0,33.0,42.42424242424242,11.0,41.0,26.829268292682926,5.0,9.0,55.55555555555556,66.0,4.0,16.0,20.0,9.0,6.0,2.0,1.0,3.0,15.0,11.0,2.0,9.0,15.0
J. Tagala,SBU,25.083333333400002,2.0,3.0,66.66666666666667,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,5.0,1.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,-12.0,4.0,6.0
E. Tagle,SBU,93.9333333333,15.0,36.0,41.666666666666664,3.0,9.0,33.333333333333336,12.0,27.0,44.44444444444444,1.0,2.0,50.0,43.0,1.0,8.0,9.0,6.0,5.0,3.0,0.0,3.0,7.0,7.0,19.0,2.0,5.0
Z. Estacio,SBU,215.51666666659997,21.0,55.0,38.18181818181818,9.0,20.0,45.0,12.0,35.0,34.285714285714285,6.0,14.0,42.857142857142854,60.0,4.0,24.0,28.0,24.0,14.0,5.0,1.0,6.0,18.0,13.0,96.0,8.0,13.0
A. Royo,SBU,77.5833333333,8.0,16.0,50.0,6.0,9.0,66.66666666666667,2.0,7.0,28.571428571428573,0.0,0.0,0.0,18.0,1.0,6.0,7.0,14.0,1.0,3.0,0.0,3.0,6.0,4.0,52.0,2.0,5.0
