,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
H. Ricio,SSCR,202.98333333339997,21.0,57.0,36.8421052631579,16.0,34.0,47.05882352941177,5.0,23.0,21.73913043478261,6.0,11.0,54.54545454545455,53.0,14.0,25.0,39.0,7.0,11.0,10.0,2.0,12.0,34.0,13.0,-61.0,3.0,13.0
R. Maliwat,SSCR,62.7333333333,5.0,16.0,31.25,2.0,8.0,25.0,3.0,8.0,37.5,0.0,0.0,0.0,13.0,2.0,4.0,6.0,4.0,3.0,2.0,0.0,2.0,9.0,3.0,-22.0,2.0,8.0
C. Cruz,SSCR,27.716666666600002,4.0,8.0,50.0,2.0,5.0,40.0,2.0,3.0,66.66666666666667,1.0,2.0,50.0,11.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,6.0
J. Barroga,SSCR,51.9166666666,3.0,7.0,42.857142857142854,3.0,4.0,75.0,0.0,3.0,0.0,2.0,3.0,66.66666666666667,8.0,7.0,6.0,13.0,2.0,3.0,2.0,1.0,3.0,5.0,2.0,-38.0,2.0,10.0
J. Pascual,SSCR,12.5833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-2.0,0.0,1.0
M. Pascual,SSCR,122.75,6.0,22.0,27.272727272727273,2.0,5.0,40.0,4.0,17.0,23.529411764705884,0.0,0.0,0.0,16.0,0.0,7.0,7.0,9.0,1.0,1.0,1.0,2.0,6.0,1.0,-38.0,3.0,12.0
L. Gabat,SSCR,173.7499999999,27.0,74.0,36.486486486486484,17.0,43.0,39.53488372093023,10.0,31.0,32.25806451612903,16.0,19.0,84.21052631578948,80.0,6.0,13.0,19.0,12.0,12.0,11.0,0.0,11.0,41.0,12.0,-15.0,3.0,12.0
V. Suico,SSCR,10.5833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,-4.0,0.0,1.0
R. Gabat,SSCR,281.4166666665,43.0,129.0,33.333333333333336,31.0,63.0,49.20634920634921,12.0,66.0,18.181818181818183,17.0,23.0,73.91304347826087,115.0,22.0,27.0,49.0,10.0,9.0,6.0,1.0,7.0,29.0,23.0,-46.0,3.0,13.0
R. Escobido,SSCR,329.3,64.0,203.0,31.527093596059114,48.0,116.0,41.37931034482759,16.0,87.0,18.39080459770115,21.0,25.0,84.0,165.0,16.0,34.0,50.0,38.0,24.0,22.0,3.0,25.0,31.0,23.0,-37.0,3.0,13.0
I. Suico,SSCR,93.36666666680001,5.0,22.0,22.727272727272727,2.0,8.0,25.0,3.0,14.0,21.428571428571427,3.0,6.0,50.0,16.0,4.0,7.0,11.0,2.0,4.0,4.0,0.0,4.0,20.0,5.0,-28.0,3.0,10.0
K. Ramilo,SSCR,14.049999999999999,1.0,2.0,50.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-7.0,0.0,4.0
N. Aguilar,SSCR,31.3166666667,5.0,12.0,41.666666666666664,2.0,5.0,40.0,3.0,7.0,42.857142857142854,1.0,2.0,50.0,14.0,2.0,3.0,5.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,-2.0,0.0,1.0
R. Are,SSCR,355.5666666666,66.0,175.0,37.714285714285715,53.0,118.0,44.91525423728814,13.0,57.0,22.80701754385965,73.0,98.0,74.48979591836735,218.0,30.0,33.0,63.0,54.0,31.0,31.0,1.0,32.0,40.0,76.0,-42.0,3.0,12.0
