PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
P. Are,SSCR,28.35,10.0,18.0,55.5555555556,8.0,10.0,80.0,2.0,8.0,25.0,5.0,6.0,83.3333333333,27.0,1.0,1.0,2.0,4.0,2.0,5.0,0.0,5.0,5.0,6.0,-6.0,0.0,1.0
R. Are,SSCR,29.63055555555,5.5,14.583333333333334,37.7142857143,4.416666666666667,9.833333333333334,44.9152542373,1.0833333333333333,4.75,22.8070175439,6.083333333333333,8.166666666666666,74.4897959184,18.166666666666668,2.5,2.75,5.25,4.5,2.5833333333333335,2.5833333333333335,0.08333333333333333,2.6666666666666665,3.3333333333333335,6.333333333333333,-3.5,3.0,12.0
N. Aguilar,SSCR,26.0666666667,5.5,11.0,50.0,2.5,5.0,50.0,3.0,6.0,50.0,1.0,2.0,50.0,15.0,1.5,3.5,5.0,0.5,3.0,1.0,0.0,1.0,1.5,2.0,10.0,1.0,2.0
T. Felebrico,SSCR,30.883333333328572,4.928571428571429,10.571428571428571,46.6216216216,4.357142857142857,8.285714285714286,52.5862068966,0.5714285714285714,2.2857142857142856,25.0,3.142857142857143,4.571428571428571,68.75,13.571428571428571,2.357142857142857,6.428571428571429,8.785714285714286,2.142857142857143,1.7857142857142858,1.0714285714285714,0.0,1.0714285714285714,2.9285714285714284,4.0,-3.357142857142857,4.0,14.0
R. Escobido,SSCR,24.59404761905,4.857142857142857,15.0,32.380952381,3.7142857142857144,8.714285714285714,42.6229508197,1.1428571428571428,6.285714285714286,18.1818181818,1.6428571428571428,1.9285714285714286,85.1851851852,12.5,1.2857142857142858,2.5714285714285716,3.857142857142857,2.857142857142857,1.8571428571428572,1.6428571428571428,0.21428571428571427,1.8571428571428572,2.357142857142857,1.7142857142857142,-2.4285714285714284,4.0,14.0
R. Gabat,SSCR,21.565476190464288,3.4285714285714284,10.142857142857142,33.8028169014,2.4285714285714284,5.0,48.5714285714,1.0,5.142857142857143,19.4444444444,1.2142857142857142,1.6428571428571428,73.9130434783,9.071428571428571,1.7857142857142858,2.357142857142857,4.142857142857143,0.7857142857142857,0.6428571428571429,0.5714285714285714,0.14285714285714285,0.7142857142857143,2.142857142857143,1.6428571428571428,-2.7142857142857144,4.0,14.0
A. Aguilar,SSCR,14.347222222225,2.5,7.166666666666667,34.8837209302,1.0833333333333333,3.0833333333333335,35.1351351351,1.4166666666666667,4.083333333333333,34.693877551,1.1666666666666667,1.5833333333333333,73.6842105263,7.583333333333333,0.5833333333333334,2.0833333333333335,2.6666666666666665,0.75,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.75,1.3333333333333333,0.5833333333333334,3.0,12.0
L. Gabat,SSCR,14.479166666658335,2.25,6.166666666666667,36.4864864865,1.4166666666666667,3.5833333333333335,39.5348837209,0.8333333333333334,2.5833333333333335,32.2580645161,1.3333333333333333,1.5833333333333333,84.2105263158,6.666666666666667,0.5,1.0833333333333333,1.5833333333333333,1.0,1.0,0.9166666666666666,0.0,0.9166666666666666,3.4166666666666665,1.0,-1.25,3.0,12.0
P. Gabat,SSCR,19.15,2.5,6.0,41.6666666667,1.5,3.5,42.8571428571,1.0,2.5,40.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,3.5,2.5,2.0,0.0,2.0,4.5,2.0,4.0,1.0,2.0
J. Maliwat,SSCR,14.0166666667,2.0,3.5,57.1428571429,0.5,0.5,100.0,1.5,3.0,50.0,0.0,0.0,0.0,5.5,0.5,2.0,2.5,3.0,0.0,0.0,0.0,0.0,3.0,0.5,9.5,1.0,2.0
L. Velasco,SSCR,19.007692307684614,1.9230769230769231,3.8461538461538463,50.0,1.9230769230769231,3.769230769230769,51.0204081633,0.0,0.07692307692307693,0.0,1.0769230769230769,1.4615384615384615,73.6842105263,4.923076923076923,2.1538461538461537,2.230769230769231,4.384615384615385,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.8461538461538461,1.3846153846153846,2.3076923076923075,1.6923076923076923,-0.5384615384615384,4.0,13.0
H. Ricio,SSCR,14.989285714292858,1.5,4.071428571428571,36.8421052632,1.1428571428571428,2.4285714285714284,47.0588235294,0.35714285714285715,1.6428571428571428,21.7391304348,0.42857142857142855,0.7857142857142857,54.5454545455,3.7857142857142856,1.0,1.8571428571428572,2.857142857142857,0.5,0.7857142857142857,0.7142857142857143,0.14285714285714285,0.8571428571428571,2.4285714285714284,0.9285714285714286,-4.5,4.0,14.0
K. Ramilo,SSCR,3.7866666666599995,0.6,1.2,50.0,0.0,0.2,0.0,0.6,1.0,60.0,0.0,0.0,0.0,1.8,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.6,0.4,-1.8,1.0,5.0
R. Maliwat,SSCR,7.8416666666625,0.625,2.0,31.25,0.25,1.0,25.0,0.375,1.0,37.5,0.0,0.0,0.0,1.625,0.25,0.5,0.75,0.5,0.375,0.25,0.0,0.25,1.125,0.375,-2.75,2.0,8.0
I. Suico,SSCR,9.33666666668,0.5,2.2,22.7272727273,0.2,0.8,25.0,0.3,1.4,21.4285714286,0.3,0.6,50.0,1.6,0.4,0.7,1.1,0.2,0.4,0.4,0.0,0.4,2.0,0.5,-2.8,3.0,10.0
C. Cruz,SSCR,4.880952380942857,0.5714285714285714,1.4285714285714286,40.0,0.2857142857142857,0.7142857142857143,40.0,0.2857142857142857,0.7142857142857143,40.0,0.14285714285714285,0.2857142857142857,50.0,1.5714285714285714,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.2857142857142857,0.14285714285714285,2.0,7.0
M. Pascual,SSCR,10.229166666666666,0.5,1.8333333333333333,27.2727272727,0.16666666666666666,0.4166666666666667,40.0,0.3333333333333333,1.4166666666666667,23.5294117647,0.0,0.0,0.0,1.3333333333333333,0.0,0.5833333333333334,0.5833333333333334,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.5,0.08333333333333333,-3.1666666666666665,3.0,12.0
J. Lintol,SSCR,4.216666666654546,0.45454545454545453,0.8181818181818182,55.5555555556,0.45454545454545453,0.8181818181818182,55.5555555556,0.0,0.0,0.0,0.09090909090909091,0.18181818181818182,50.0,1.0,0.36363636363636365,0.2727272727272727,0.6363636363636364,0.0,0.2727272727272727,0.0,0.09090909090909091,0.09090909090909091,0.2727272727272727,0.18181818181818182,-1.3636363636363635,3.0,11.0
J. Barroga,SSCR,5.19166666666,0.3,0.7,42.8571428571,0.3,0.4,75.0,0.0,0.3,0.0,0.2,0.3,66.6666666667,0.8,0.7,0.6,1.3,0.2,0.3,0.2,0.1,0.3,0.5,0.2,-3.8,2.0,10.0
F. Chuidian,SSCR,1.7416666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.0,2.0
V. Suico,SSCR,8.725,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,50.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.5,0.5,-3.0,1.0,2.0
K. Barroga,SSCR,5.4833333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,-4.0,1.0,1.0
J. Pascual,SSCR,16.56666666665,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,1.0,0.0,0.0,0.0,2.5,0.5,-3.0,1.0,2.0
