,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
E. Pizarro,UPHSD,163.9833333334,25.0,48.0,52.083333333333336,25.0,48.0,52.083333333333336,0.0,0.0,0.0,9.0,19.0,47.36842105263158,59.0,20.0,19.0,39.0,15.0,14.0,14.0,3.0,17.0,33.0,22.0,12.0,6.0,13.0
A. Gelsano,UPHSD,176.2333333332,17.0,45.0,37.77777777777778,16.0,30.0,53.333333333333336,1.0,15.0,6.666666666666667,10.0,17.0,58.8235294117647,45.0,14.0,25.0,39.0,21.0,13.0,5.0,3.0,8.0,23.0,17.0,21.0,5.0,12.0
C. Pagaran,UPHSD,353.3500000001,56.0,160.0,35.0,40.0,88.0,45.45454545454545,16.0,72.0,22.22222222222222,24.0,40.0,60.0,152.0,10.0,52.0,62.0,26.0,19.0,9.0,10.0,19.0,19.0,31.0,-18.0,6.0,14.0
N. Sevilla,UPHSD,23.5833333333,3.0,10.0,30.0,3.0,9.0,33.333333333333336,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,5.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,-6.0,2.0,4.0
J. Boral,UPHSD,319.6833333334,35.0,121.0,28.925619834710744,24.0,74.0,32.432432432432435,11.0,47.0,23.404255319148938,29.0,43.0,67.44186046511628,110.0,25.0,53.0,78.0,23.0,18.0,7.0,4.0,11.0,23.0,40.0,-62.0,6.0,14.0
B. Manuel,UPHSD,3.6166666667,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C. Abis,UPHSD,300.43333333329997,43.0,112.0,38.392857142857146,37.0,91.0,40.65934065934066,6.0,21.0,28.571428571428573,12.0,23.0,52.17391304347826,104.0,22.0,32.0,54.0,23.0,23.0,9.0,6.0,15.0,16.0,22.0,-19.0,5.0,12.0
J. Nunez,UPHSD,345.48333333349996,21.0,59.0,35.59322033898305,21.0,56.0,37.5,0.0,3.0,0.0,18.0,34.0,52.94117647058823,60.0,29.0,44.0,73.0,16.0,16.0,5.0,11.0,16.0,38.0,37.0,8.0,6.0,14.0
H. Montemayor,UPHSD,128.3333333333,13.0,29.0,44.827586206896555,5.0,11.0,45.45454545454545,8.0,18.0,44.44444444444444,8.0,9.0,88.88888888888889,42.0,4.0,14.0,18.0,7.0,8.0,4.0,0.0,4.0,17.0,8.0,-27.0,6.0,14.0
J. Manuel,UPHSD,155.0166666666,12.0,46.0,26.08695652173913,10.0,30.0,33.333333333333336,2.0,16.0,12.5,10.0,17.0,58.8235294117647,36.0,6.0,20.0,26.0,14.0,16.0,6.0,2.0,8.0,17.0,12.0,-44.0,5.0,12.0
S. Orgo,UPHSD,340.8833333333,35.0,99.0,35.35353535353536,19.0,44.0,43.18181818181818,16.0,55.0,29.09090909090909,17.0,23.0,73.91304347826087,103.0,11.0,47.0,58.0,42.0,31.0,18.0,0.0,18.0,23.0,29.0,21.0,5.0,12.0
K. Thompson,UPHSD,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M. Gojo Cruz,UPHSD,400.4666666665,62.0,157.0,39.49044585987261,36.0,79.0,45.56962025316456,26.0,78.0,33.333333333333336,31.0,42.0,73.80952380952381,181.0,14.0,64.0,78.0,37.0,26.0,16.0,11.0,27.0,19.0,31.0,55.0,6.0,14.0
R. Cauguiran,UPHSD,29.5833333333,1.0,5.0,20.0,1.0,5.0,20.0,0.0,0.0,0.0,4.0,6.0,66.66666666666667,6.0,4.0,9.0,13.0,1.0,3.0,3.0,1.0,4.0,8.0,4.0,-6.0,2.0,6.0
R. Danag,UPHSD,0.9333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
J. Abis,UPHSD,63.5333333333,12.0,23.0,52.17391304347826,12.0,20.0,60.0,0.0,3.0,0.0,0.0,0.0,0.0,24.0,7.0,9.0,16.0,9.0,5.0,0.0,0.0,0.0,6.0,3.0,7.0,1.0,2.0
A. Manuel,UPHSD,60.483333333400005,3.0,11.0,27.272727272727273,2.0,5.0,40.0,1.0,6.0,16.666666666666668,2.0,2.0,100.0,9.0,1.0,10.0,11.0,10.0,6.0,2.0,0.0,2.0,4.0,3.0,-8.0,1.0,2.0
R. Movida,UPHSD,5.3833333333999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,2.0,4.0
G. Gelsano,UPHSD,20.7,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,-6.0,1.0,2.0
A. Javier,UPHSD,6.9333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,3.0
