PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
M. Gojo Cruz,UPHSD,28.7511111111,4.73025197094015,11.616942340397133,40.7185628743,2.8520636883609725,6.121502550628429,46.5909090909,1.878188282579177,5.495439789768703,34.1772151899,2.2955634564856604,3.2694388622674566,70.2127659574,13.634255680945136,1.1130004637506234,4.8693770289089775,5.982377492659601,2.7825011593765585,1.9477508115635909,1.1825629927350374,0.8347503478129675,2.017313340548005,1.4608131086726932,2.7129386303921446,3.965064152111596,6.0,15.0
C. Pagaran,UPHSD,25.15555555556,5.088339222613942,14.072438162541683,36.1581920904,3.736749116607114,7.791519434627599,47.9591836735,1.3515901060068285,6.280918727914085,21.5189873418,1.9876325088335713,3.2597173144870566,60.9756097561,13.515901060068284,0.7950530035334284,4.293286219080514,5.088339222613942,2.067137809186914,1.6696113074201997,0.7950530035334284,0.8745583038867712,1.6696113074201997,1.590106007066857,2.544169611306971,-1.3515901060068285,6.0,15.0
C. Abis,UPHSD,25.036111111108337,4.29379784755401,11.183845556419746,38.3928571429,3.6946632641743804,9.086874514591045,40.6593406593,0.5991345833796292,2.0969710418287026,28.5714285714,1.1982691667592584,2.2966825696219124,52.1739130435,10.384999445246907,2.196826805725307,3.195384444691356,5.392211250416664,2.2966825696219124,2.2966825696219124,0.8987018750694439,0.5991345833796292,1.497836458449073,1.597692222345678,2.196826805725307,-1.8972595140354929,5.0,12.0
E. Pizarro,UPHSD,13.280952380957142,4.1950519899590555,8.228755826458148,50.9803921569,4.1950519899590555,8.228755826458148,50.9803921569,0.0,0.0,0.0,1.6134815345996367,3.388311222659237,47.619047619,10.003585514517749,3.2269630691992734,3.549659376119201,6.776622445318474,2.904266762279346,2.7429186088193824,2.5815704553594188,0.8067407672998184,3.388311222659237,5.808533524558692,3.7110075295791645,2.7429186088193824,6.0,14.0
J. Boral,UPHSD,23.037777777779997,3.21211536606509,11.19899681682153,28.6821705426,2.17034822031425,6.85830037619303,31.6455696203,1.0417671457508402,4.3406964406285,24.0,2.5176039355645305,3.7329989389405105,67.4418604651,9.983601813445551,2.2571621491268203,4.86158001350392,7.11874216263074,2.0835342915016803,1.5626507186262601,0.7813253593131301,0.34725571525028004,1.1285810745634102,2.2571621491268203,3.4725571525028003,-6.16378894569247,6.0,15.0
H. Montemayor,UPHSD,9.11444444444,2.8526148969902976,7.021821284899195,40.625,1.097159575765499,2.413751066684098,45.4545454545,1.7554553212247987,4.608070218215096,38.0952380952,1.7554553212247987,1.9748872363778982,88.8888888889,9.216140436430193,0.8777276606123994,3.0720468121433977,3.9497744727557964,1.5360234060716988,1.7554553212247987,0.8777276606123994,0.0,0.8777276606123994,3.9497744727557964,1.7554553212247987,-8.118980860664694,6.0,15.0
S. Orgo,UPHSD,28.406944444441667,3.0802327286953584,8.712658289738298,35.3535353535,1.672126338434623,3.8722925732170217,43.1818181818,1.4081063902607351,4.840365716521276,29.0909090909,1.496113039652031,2.0241529359998065,73.9130434783,9.064684887303484,0.9680731433042554,4.136312521390909,5.104385664695164,3.6962792744344295,2.7282061311301744,1.584119689043327,0.0,1.584119689043327,2.0241529359998065,2.552192832347582,1.8481396372172147,5.0,12.0
J. Abis,UPHSD,31.144444444433333,4.495183731717622,10.274705672497422,43.75,4.495183731717622,8.990367463435245,50.0,0.0,1.2843382090621778,0.0,0.0,0.0,0.0,8.990367463435245,2.5686764181243555,3.8530146271865333,6.421691045310889,4.174099179452078,1.9265073135932667,0.9632536567966333,0.0,0.9632536567966333,2.247591865858811,1.6054227613277223,3.8530146271865333,1.0,3.0
A. Gelsano,UPHSD,14.686111111099999,2.8938906752433473,7.66029884623239,37.7777777778,2.7236618119937384,5.10686589748826,53.3333333333,0.17022886324960865,2.55343294874413,6.6666666667,1.7022886324960866,2.8938906752433473,58.8235294118,7.66029884623239,2.3832040854945213,4.255721581240216,6.638925666734738,3.574806128241782,2.2129752222449124,0.8511443162480433,0.510686589748826,1.3618309059968692,3.915263854740999,2.8938906752433473,3.574806128241782,5.0,12.0
N. Sevilla,UPHSD,5.895833333325,3.8162544169665242,12.720848056555083,30.0,3.8162544169665242,11.448763250899574,33.3333333333,0.0,1.2720848056555083,0.0,0.0,0.0,0.0,7.6325088339330485,1.2720848056555083,5.088339222622033,6.360424028277541,0.0,3.8162544169665242,1.2720848056555083,0.0,1.2720848056555083,1.2720848056555083,2.5441696113110166,-7.6325088339330485,2.0,4.0
